Date,nom_ar,nom_fr,unite,valeur
2025-06-19,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19,Pluie Totale,Pluie Totale,mm,739.2
2025-06-19,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18,Pluie Totale,Pluie Totale,mm,739.2
2025-06-17,Pluie Totale,Pluie Totale,mm,739.2
2025-06-17,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-16,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-16,Pluie Totale,Pluie Totale,mm,739.2
2025-06-16,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-14,Pluie Totale,Pluie Totale,mm,739.2
2025-06-13,Pluie Totale,Pluie Totale,mm,739.2
2025-06-13,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-13,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-12,Pluie Totale,Pluie Totale,mm,739.2
2025-06-12,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-12,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-11,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-11,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-11,Pluie Totale,Pluie Totale,mm,739.2
2025-06-01,Pluie Totale,Pluie Totale,mm,736.0
2025-06-01,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-01,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-28,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-28,Pluie Totale,Pluie Totale,mm,736.0
2025-05-28,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-25,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-25,Pluie Totale,Pluie Totale,mm,736.0
2025-05-25,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24,Pluie Totale,Pluie Totale,mm,736.0
2025-05-24,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-20,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-20,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-20,Pluie Totale,Pluie Totale,mm,732.8
