Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,664.9
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,677.7
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-19 09:00:00,Température,Température,°C,28.5
2025-06-19 06:00:00,Température,Température,°C,28.7
2025-06-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,677.5
2025-06-19 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,665.3
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,665.4
2025-06-19 05:00:00,Température,Température,°C,28.8
2025-06-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,677.5
2025-06-19 03:00:00,L'humidité du sol,L'humidité du sol,mV,665.5
2025-06-19 03:00:00,Température,Température,°C,28.9
2025-06-19 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-19 03:00:00,L'humidité du sol,L'humidité du sol,mV,677.6
2025-06-19 01:00:00,Température,Température,°C,29.0
2025-06-19 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-19 01:00:00,L'humidité du sol,L'humidité du sol,mV,677.7
2025-06-19 01:00:00,L'humidité du sol,L'humidité du sol,mV,665.7
2025-06-19 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-19 00:00:00,L'humidité du sol,L'humidité du sol,mV,665.6
2025-06-19 00:00:00,L'humidité du sol,L'humidité du sol,mV,677.7
2025-06-19 00:00:00,Température,Température,°C,29.1
2025-06-18 23:00:00,Température,Température,°C,29.1
2025-06-18 23:00:00,L'humidité du sol,L'humidité du sol,mV,677.5
2025-06-18 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-18 23:00:00,L'humidité du sol,L'humidité du sol,mV,665.7
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,665.6
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,677.5
2025-06-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.2
2025-06-18 21:00:00,Température,Température,°C,29.1
2025-06-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,665.4
