Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:04,L'humidité du sol,L'humidité du sol,mV,654.0
2025-06-19 10:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.2
2025-06-19 10:00:04,Température,Température,°c,28.2
2025-06-19 08:00:04,Température,Température,°c,28.1
2025-06-19 08:00:04,L'humidité du sol,L'humidité du sol,mV,653.7
2025-06-19 08:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.1
2025-06-19 07:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.2
2025-06-19 07:00:04,L'humidité du sol,L'humidité du sol,mV,653.8
2025-06-19 07:00:04,Température,Température,°c,28.2
2025-06-19 06:00:04,Température,Température,°c,28.6
2025-06-19 06:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.2
2025-06-19 06:00:04,L'humidité du sol,L'humidité du sol,mV,654.0
2025-06-19 05:00:04,L'humidité du sol,L'humidité du sol,mV,654.6
2025-06-19 05:00:04,Température,Température,°c,28.9
2025-06-19 05:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.2
2025-06-19 04:00:04,Température,Température,°c,29.3
2025-06-19 04:00:04,L'humidité du sol,L'humidité du sol,mV,655.1
2025-06-19 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.2
2025-06-19 03:00:04,Température,Température,°c,29.8
2025-06-19 03:00:04,L'humidité du sol,L'humidité du sol,mV,655.7
2025-06-19 03:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.2
2025-06-19 02:00:04,Température,Température,°c,30.3
2025-06-19 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.3
2025-06-19 02:00:04,L'humidité du sol,L'humidité du sol,mV,656.4
2025-06-19 01:00:04,L'humidité du sol,L'humidité du sol,mV,657.0
2025-06-19 01:00:04,Température,Température,°c,30.9
2025-06-19 01:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.3
2025-06-19 00:00:04,L'humidité du sol,L'humidité du sol,mV,657.9
2025-06-19 00:00:04,Température,Température,°c,31.5
2025-06-19 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.3
2025-06-18 22:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.4
2025-06-18 22:00:04,L'humidité du sol,L'humidité du sol,mV,659.9
2025-06-18 22:00:04,Température,Température,°c,33.0
2025-06-18 20:00:04,L'humidité du sol,L'humidité du sol,mV,662.3
2025-06-18 20:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.5
2025-06-18 20:00:04,Température,Température,°c,34.8
2025-06-18 18:00:04,L'humidité du sol,L'humidité du sol,mV,665.1
2025-06-18 18:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.7
2025-06-18 18:00:04,Température,Température,°c,36.3
2025-06-18 16:00:04,L'humidité du sol,L'humidité du sol,mV,666.0
2025-06-18 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.7
