Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.6
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,526.7
2025-06-19 09:00:00,Température,Température,°c,27.3
2025-06-19 08:00:00,Température,Température,°c,27.5
2025-06-19 08:00:00,L'humidité du sol,L'humidité du sol,mV,526.8
2025-06-19 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.6
2025-06-19 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.6
2025-06-19 07:00:00,L'humidité du sol,L'humidité du sol,mV,527.1
2025-06-19 07:00:00,Température,Température,°c,27.7
2025-06-19 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.7
2025-06-19 06:00:00,Température,Température,°c,28.2
2025-06-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,527.5
2025-06-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.7
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,528.0
2025-06-19 05:00:00,Température,Température,°c,28.8
2025-06-19 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.7
2025-06-19 04:00:00,Température,Température,°c,29.4
2025-06-19 04:00:00,L'humidité du sol,L'humidité du sol,mV,528.7
2025-06-19 03:00:00,Température,Température,°c,30.1
2025-06-19 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.7
2025-06-19 03:00:00,L'humidité du sol,L'humidité du sol,mV,529.4
2025-06-19 02:00:00,Température,Température,°c,30.8
2025-06-19 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-06-19 02:00:00,L'humidité du sol,L'humidité du sol,mV,529.9
2025-06-19 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-06-19 01:00:00,Température,Température,°c,31.5
2025-06-19 01:00:00,L'humidité du sol,L'humidité du sol,mV,530.7
2025-06-19 00:00:00,L'humidité du sol,L'humidité du sol,mV,531.5
2025-06-19 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.8
2025-06-19 00:00:00,Température,Température,°c,32.3
2025-06-18 23:00:00,Température,Température,°c,33.1
2025-06-18 23:00:00,L'humidité du sol,L'humidité du sol,mV,532.3
2025-06-18 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-06-18 22:00:00,L'humidité du sol,L'humidité du sol,mV,533.3
2025-06-18 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,5.9
2025-06-18 22:00:00,Température,Température,°c,34.0
2025-06-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.0
2025-06-18 21:00:00,Température,Température,°c,35.0
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,534.2
2025-06-18 20:00:00,L'humidité du sol,L'humidité du sol,mV,535.2
2025-06-18 20:00:00,Température,Température,°c,36.0
2025-06-18 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.0
2025-06-18 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.0
2025-06-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,536.1
2025-06-18 19:00:00,Température,Température,°c,37.0
2025-06-18 18:00:00,L'humidité du sol,L'humidité du sol,mV,537.2
2025-06-18 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.1
2025-06-18 18:00:00,Température,Température,°c,37.9
2025-06-18 17:00:00,Température,Température,°c,38.2
2025-06-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,537.8
