Date,nom_ar,nom_fr,unite,valeur
2025-06-19 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-19 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-18 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-17 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-17 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-16 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-16 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-16 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-14 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-13 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-13 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-13 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-12 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-12 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-12 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-11 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-11 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-11 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-06-01 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-01 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-01 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-05-28 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-28 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-05-28 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-25 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-25 00:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-05-25 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24 19:00:00,Pluie Totale,Pluie Totale,mm,842.2
2025-05-24 19:00:00,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-05-24 19:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 08:00:00,Pluie Totale,Pluie Totale,mm,841.8
2025-05-24 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.8
2025-05-24 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 07:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-05-24 07:00:00,Pluie quotidienne,Pluie quotidienne,mm,1.8
2025-05-24 07:00:00,Pluie Totale,Pluie Totale,mm,841.8
2025-05-24 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.8
2025-05-24 06:00:00,Pluie Totale,Pluie Totale,mm,840.8
2025-05-24 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-05-24 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-05-24 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 05:00:00,Pluie Totale,Pluie Totale,mm,840.6
2025-05-24 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-05-24 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-05-24 04:00:00,Pluie Totale,Pluie Totale,mm,840.6
2025-05-24 03:00:00,Pluie Totale,Pluie Totale,mm,840.4
2025-05-24 03:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-05-24 03:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.4
2025-05-24 00:00:00,Pluie Totale,Pluie Totale,mm,840.0
2025-05-24 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-20 00:00:00,Pluie Totale,Pluie Totale,mm,839.2
2025-05-20 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-20 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
