Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,610.3
2025-06-19 09:00:00,Température,Température,°c,32.0
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,612.6
2025-06-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-18 21:00:00,Température,Température,°c,34.2
2025-06-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,612.3
2025-06-18 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 19:00:00,Température,Température,°c,33.8
2025-06-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,611.4
2025-06-18 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 17:00:00,Température,Température,°c,32.9
2025-06-18 15:00:00,L'humidité du sol,L'humidité du sol,mV,610.7
2025-06-18 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 15:00:00,Température,Température,°c,32.0
2025-06-18 05:00:00,L'humidité du sol,L'humidité du sol,mV,613.0
2025-06-18 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-18 05:00:00,Température,Température,°c,33.8
2025-06-17 21:00:00,L'humidité du sol,L'humidité du sol,mV,613.7
2025-06-17 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-17 21:00:00,Température,Température,°c,34.5
2025-06-17 19:00:00,L'humidité du sol,L'humidité du sol,mV,613.3
2025-06-17 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-17 19:00:00,Température,Température,°c,34.0
2025-06-17 17:00:00,Température,Température,°c,33.2
2025-06-17 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-17 17:00:00,L'humidité du sol,L'humidité du sol,mV,612.6
2025-06-17 15:00:00,L'humidité du sol,L'humidité du sol,mV,612.0
2025-06-17 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 15:00:00,Température,Température,°c,32.3
2025-06-17 13:00:00,L'humidité du sol,L'humidité du sol,mV,611.5
2025-06-17 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 13:00:00,Température,Température,°c,31.7
2025-06-17 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 11:00:00,Température,Température,°c,31.7
2025-06-17 11:00:00,L'humidité du sol,L'humidité du sol,mV,611.5
2025-06-17 09:00:00,Température,Température,°c,31.9
2025-06-17 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 09:00:00,L'humidité du sol,L'humidité du sol,mV,612.0
2025-06-16 19:00:00,L'humidité du sol,L'humidité du sol,mV,613.8
2025-06-16 19:00:00,Température,Température,°c,33.6
2025-06-16 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-16 17:00:00,Température,Température,°c,32.6
2025-06-16 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-16 17:00:00,L'humidité du sol,L'humidité du sol,mV,613.0
2025-06-16 15:00:00,Température,Température,°c,31.6
2025-06-16 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-16 15:00:00,L'humidité du sol,L'humidité du sol,mV,612.2
2025-06-16 13:00:00,Température,Température,°c,31.0
2025-06-16 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-16 13:00:00,L'humidité du sol,L'humidité du sol,mV,611.8
2025-06-16 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-16 11:00:00,L'humidité du sol,L'humidité du sol,mV,611.9
2025-06-16 11:00:00,Température,Température,°c,31.0
2025-06-16 09:00:00,L'humidité du sol,L'humidité du sol,mV,614.1
2025-06-16 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-16 09:00:00,Température,Température,°c,32.9
2025-06-15 19:00:00,L'humidité du sol,L'humidité du sol,mV,614.4
2025-06-15 19:00:00,Température,Température,°c,33.2
2025-06-15 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-15 17:00:00,L'humidité du sol,L'humidité du sol,mV,613.6
2025-06-15 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-15 17:00:00,Température,Température,°c,32.2
2025-06-15 15:00:00,L'humidité du sol,L'humidité du sol,mV,612.7
2025-06-15 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-15 15:00:00,Température,Température,°c,31.2
2025-06-15 13:00:00,L'humidité du sol,L'humidité du sol,mV,612.3
2025-06-15 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-15 13:00:00,Température,Température,°c,30.6
2025-06-15 11:00:00,L'humidité du sol,L'humidité du sol,mV,612.4
2025-06-15 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-15 11:00:00,Température,Température,°c,30.5
2025-06-13 09:00:00,L'humidité du sol,L'humidité du sol,mV,614.9
2025-06-13 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-13 09:00:00,Température,Température,°c,30.8
2025-06-12 03:00:00,L'humidité du sol,L'humidité du sol,mV,616.2
2025-06-12 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-12 03:00:00,Température,Température,°c,31.9
2025-06-12 01:00:00,L'humidité du sol,L'humidité du sol,mV,616.6
2025-06-12 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-12 01:00:00,Température,Température,°c,32.3
2025-06-10 21:00:00,L'humidité du sol,L'humidité du sol,mV,618.4
2025-06-10 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.6
2025-06-10 21:00:00,Température,Température,°c,33.2
2025-06-10 19:00:00,L'humidité du sol,L'humidité du sol,mV,618.1
2025-06-10 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.6
2025-06-10 19:00:00,Température,Température,°c,32.7
2025-06-10 18:00:00,L'humidité du sol,L'humidité du sol,mV,617.7
2025-06-10 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.6
2025-06-10 18:00:00,Température,Température,°c,32.3
2025-06-10 17:00:00,L'humidité du sol,L'humidité du sol,mV,617.3
2025-06-10 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.6
2025-06-10 17:00:00,Température,Température,°c,31.8
2025-06-10 16:00:00,Température,Température,°c,31.3
2025-06-10 16:00:00,L'humidité du sol,L'humidité du sol,mV,616.9
2025-06-10 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-10 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-10 15:00:00,L'humidité du sol,L'humidité du sol,mV,616.6
2025-06-10 15:00:00,Température,Température,°c,30.8
