Date,nom_ar,nom_fr,unite,valeur
2025-06-14 00:00:00,Pluie Totale,Pluie Totale,mm,949.6
2025-06-14 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-14 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-12 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-12 00:00:00,Pluie Totale,Pluie Totale,mm,949.6
2025-06-12 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-28 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-28 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-28 00:00:00,Pluie Totale,Pluie Totale,mm,949.6
2025-05-24 19:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.6
2025-05-24 19:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-05-24 19:00:00,Pluie Totale,Pluie Totale,mm,949.6
2025-05-24 17:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 17:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.2
2025-05-24 17:00:00,Pluie Totale,Pluie Totale,mm,949.2
2025-05-24 00:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 00:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24 00:00:00,Pluie Totale,Pluie Totale,mm,949.0
2025-05-23 21:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.2
2025-05-23 21:00:00,Pluie Totale,Pluie Totale,mm,949.0
2025-05-23 21:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
