Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:00,Point de Rosée,Point de Rosée,°c,11.1
2025-06-19 10:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,801.0
2025-06-19 10:00:00,Direction du vent,Direction du vent,Deg,280.8
2025-06-19 10:00:00,Humidité relative,Humidité relative,%,46.1
2025-06-19 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 10:00:00,Vitesse du vent,Vitesse du vent,m/s,1.54
2025-06-19 10:00:00,Température,Température,°c,23.4
2025-06-19 10:00:00,Pression atmosphérique,Pression atmosphérique,hPa,932.9
2025-06-19 09:00:00,Température,Température,°c,21.8
2025-06-19 09:00:00,Direction du vent,Direction du vent,Deg,318.1
2025-06-19 09:00:00,Pression atmosphérique,Pression atmosphérique,hPa,933.2
2025-06-19 09:00:00,Vitesse du vent,Vitesse du vent,m/s,4.83
2025-06-19 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,757.0
2025-06-19 09:00:00,Point de Rosée,Point de Rosée,°c,11.0
2025-06-19 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 09:00:00,Humidité relative,Humidité relative,%,50.3
2025-06-19 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°c,11.7
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,454.0
2025-06-19 08:00:00,Pression atmosphérique,Pression atmosphérique,hPa,933.3
2025-06-19 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,56.1
2025-06-19 08:00:00,Température,Température,°c,20.8
2025-06-19 08:00:00,Direction du vent,Direction du vent,Deg,283.8
2025-06-19 08:00:00,Vitesse du vent,Vitesse du vent,m/s,3.3
2025-06-19 07:00:00,Point de Rosée,Point de Rosée,°c,13.1
2025-06-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.46
2025-06-19 07:00:00,Humidité relative,Humidité relative,%,69.1
2025-06-19 07:00:00,Direction du vent,Direction du vent,Deg,281.8
2025-06-19 07:00:00,Température,Température,°c,18.9
2025-06-19 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 07:00:00,Pression atmosphérique,Pression atmosphérique,hPa,933.2
2025-06-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,247.0
2025-06-19 06:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 06:00:00,Vitesse du vent,Vitesse du vent,m/s,3.32
2025-06-19 06:00:00,Direction du vent,Direction du vent,Deg,275.7
2025-06-19 06:00:00,Température,Température,°c,17.2
2025-06-19 06:00:00,Humidité relative,Humidité relative,%,81.6
2025-06-19 06:00:00,Point de Rosée,Point de Rosée,°c,14.0
2025-06-19 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,40.0
2025-06-19 06:00:00,Pression atmosphérique,Pression atmosphérique,hPa,932.8
2025-06-19 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
