Date,nom_ar,nom_fr,unite,valeur
2025-05-25 11:00:00,Température,Température,°c,16.1
2025-05-25 11:00:00,L'humidité du sol,L'humidité du sol,mV,706.3
2025-05-25 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 10:00:00,Température,Température,°c,15.9
2025-05-25 10:00:00,L'humidité du sol,L'humidité du sol,mV,706.3
2025-05-25 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 09:00:00,Température,Température,°c,15.8
2025-05-25 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 09:00:00,L'humidité du sol,L'humidité du sol,mV,706.3
2025-05-25 08:00:00,Température,Température,°c,15.8
2025-05-25 08:00:00,L'humidité du sol,L'humidité du sol,mV,706.2
2025-05-25 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 07:00:00,Température,Température,°c,15.8
2025-05-25 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 07:00:00,L'humidité du sol,L'humidité du sol,mV,706.7
2025-05-25 06:00:00,Température,Température,°c,15.9
2025-05-25 06:00:00,L'humidité du sol,L'humidité du sol,mV,706.6
2025-05-25 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 05:00:00,Température,Température,°c,16.0
2025-05-25 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 05:00:00,L'humidité du sol,L'humidité du sol,mV,707.1
2025-05-25 04:00:00,L'humidité du sol,L'humidité du sol,mV,707.0
2025-05-25 04:00:00,Température,Température,°c,16.2
2025-05-25 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 03:00:00,L'humidité du sol,L'humidité du sol,mV,707.2
2025-05-25 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 03:00:00,Température,Température,°c,16.3
2025-05-25 01:00:00,L'humidité du sol,L'humidité du sol,mV,707.8
2025-05-25 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-05-25 01:00:00,Température,Température,°c,16.7
2025-05-25 00:00:00,Température,Température,°c,16.9
2025-05-25 00:00:00,L'humidité du sol,L'humidité du sol,mV,708.5
2025-05-25 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.8
2025-05-24 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.8
2025-05-24 23:00:00,Température,Température,°c,17.1
2025-05-24 23:00:00,L'humidité du sol,L'humidité du sol,mV,708.8
2025-05-24 22:00:00,L'humidité du sol,L'humidité du sol,mV,708.9
2025-05-24 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.8
2025-05-24 22:00:00,Température,Température,°c,17.3
2025-05-24 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.8
2025-05-24 21:00:00,Température,Température,°c,17.4
2025-05-24 21:00:00,L'humidité du sol,L'humidité du sol,mV,709.1
2025-05-24 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.8
2025-05-24 20:00:00,L'humidité du sol,L'humidité du sol,mV,709.5
2025-05-24 20:00:00,Température,Température,°c,17.6
2025-05-24 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 19:00:00,Température,Température,°c,17.7
2025-05-24 19:00:00,L'humidité du sol,L'humidité du sol,mV,710.1
2025-05-24 18:00:00,L'humidité du sol,L'humidité du sol,mV,710.2
2025-05-24 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 18:00:00,Température,Température,°c,17.8
2025-05-24 17:00:00,Température,Température,°c,17.9
2025-05-24 17:00:00,L'humidité du sol,L'humidité du sol,mV,710.5
2025-05-24 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 16:00:00,Température,Température,°c,18.0
2025-05-24 16:00:00,L'humidité du sol,L'humidité du sol,mV,710.7
2025-05-24 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 15:00:00,Température,Température,°c,18.0
2025-05-24 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 15:00:00,L'humidité du sol,L'humidité du sol,mV,711.3
2025-05-24 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 14:00:00,L'humidité du sol,L'humidité du sol,mV,711.5
2025-05-24 14:00:00,Température,Température,°c,18.0
2025-05-24 13:00:00,Température,Température,°c,18.0
2025-05-24 13:00:00,L'humidité du sol,L'humidité du sol,mV,711.6
2025-05-24 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 12:00:00,Température,Température,°c,18.0
2025-05-24 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 12:00:00,L'humidité du sol,L'humidité du sol,mV,711.7
2025-05-24 11:00:00,Température,Température,°c,17.9
2025-05-24 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 11:00:00,L'humidité du sol,L'humidité du sol,mV,711.7
2025-05-24 09:00:00,L'humidité du sol,L'humidité du sol,mV,711.7
2025-05-24 09:00:00,Température,Température,°c,17.5
2025-05-24 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 08:00:00,Température,Température,°c,17.5
2025-05-24 08:00:00,L'humidité du sol,L'humidité du sol,mV,711.6
2025-05-24 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.9
2025-05-24 07:00:00,L'humidité du sol,L'humidité du sol,mV,711.7
2025-05-24 07:00:00,Température,Température,°c,17.6
2025-05-24 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.0
2025-05-24 06:00:00,L'humidité du sol,L'humidité du sol,mV,712.3
2025-05-24 06:00:00,Température,Température,°c,17.8
2025-05-24 05:00:00,L'humidité du sol,L'humidité du sol,mV,712.4
2025-05-24 05:00:00,Température,Température,°c,17.9
2025-05-24 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.0
2025-05-24 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.0
2025-05-24 04:00:00,L'humidité du sol,L'humidité du sol,mV,712.8
2025-05-24 04:00:00,Température,Température,°c,18.1
2025-05-24 03:00:00,Température,Température,°c,18.3
2025-05-24 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.0
2025-05-24 03:00:00,L'humidité du sol,L'humidité du sol,mV,713.2
2025-05-24 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.0
2025-05-24 02:00:00,L'humidité du sol,L'humidité du sol,mV,713.6
2025-05-24 02:00:00,Température,Température,°c,18.6
2025-05-24 01:00:00,Température,Température,°c,18.8
2025-05-24 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.1
2025-05-24 01:00:00,L'humidité du sol,L'humidité du sol,mV,714.1
2025-05-24 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.1
2025-05-24 00:00:00,L'humidité du sol,L'humidité du sol,mV,714.3
2025-05-24 00:00:00,Température,Température,°c,19.0
2025-05-23 23:00:00,L'humidité du sol,L'humidité du sol,mV,714.9
2025-05-23 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.1
2025-05-23 23:00:00,Température,Température,°c,19.2
2025-05-23 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.1
2025-05-23 22:00:00,Température,Température,°c,19.4
2025-05-23 22:00:00,L'humidité du sol,L'humidité du sol,mV,715.5
2025-05-23 21:00:00,Température,Température,°c,19.6
2025-05-23 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-05-23 21:00:00,L'humidité du sol,L'humidité du sol,mV,715.9
2025-05-23 20:00:00,L'humidité du sol,L'humidité du sol,mV,716.4
2025-05-23 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-05-23 20:00:00,Température,Température,°c,19.8
2025-05-23 19:00:00,Température,Température,°c,20.0
2025-05-23 19:00:00,L'humidité du sol,L'humidité du sol,mV,716.8
2025-05-23 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-05-23 18:00:00,Température,Température,°c,20.1
2025-05-23 18:00:00,L'humidité du sol,L'humidité du sol,mV,717.0
2025-05-23 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-05-23 17:00:00,Température,Température,°c,20.1
2025-05-23 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 17:00:00,L'humidité du sol,L'humidité du sol,mV,717.6
2025-05-23 16:00:00,L'humidité du sol,L'humidité du sol,mV,717.8
2025-05-23 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 16:00:00,Température,Température,°c,20.1
2025-05-23 15:00:00,Température,Température,°c,20.0
2025-05-23 15:00:00,L'humidité du sol,L'humidité du sol,mV,717.8
2025-05-23 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 14:00:00,Température,Température,°c,20.0
2025-05-23 14:00:00,L'humidité du sol,L'humidité du sol,mV,717.9
2025-05-23 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 13:00:00,Température,Température,°c,19.9
2025-05-23 13:00:00,L'humidité du sol,L'humidité du sol,mV,717.9
2025-05-23 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 12:00:00,L'humidité du sol,L'humidité du sol,mV,717.7
2025-05-23 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 12:00:00,Température,Température,°c,19.7
2025-05-23 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 11:00:00,Température,Température,°c,19.6
2025-05-23 11:00:00,L'humidité du sol,L'humidité du sol,mV,717.9
2025-05-23 10:00:00,Température,Température,°c,19.3
2025-05-23 10:00:00,L'humidité du sol,L'humidité du sol,mV,717.3
2025-05-23 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-05-23 09:00:00,L'humidité du sol,L'humidité du sol,mV,717.3
2025-05-23 09:00:00,Température,Température,°c,19.2
2025-05-23 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-05-23 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 08:00:00,Température,Température,°c,19.2
2025-05-23 08:00:00,L'humidité du sol,L'humidité du sol,mV,717.7
2025-05-23 07:00:00,L'humidité du sol,L'humidité du sol,mV,717.9
2025-05-23 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 07:00:00,Température,Température,°c,19.3
2025-05-23 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 06:00:00,L'humidité du sol,L'humidité du sol,mV,718.3
2025-05-23 06:00:00,Température,Température,°c,19.4
2025-05-23 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.3
2025-05-23 05:00:00,L'humidité du sol,L'humidité du sol,mV,718.4
2025-05-23 05:00:00,Température,Température,°c,19.6
2025-05-22 08:00:00,L'humidité du sol,L'humidité du sol,mV,725.2
2025-05-22 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-05-22 08:00:00,Température,Température,°c,19.4
2025-05-22 07:00:00,Température,Température,°c,19.5
2025-05-22 07:00:00,L'humidité du sol,L'humidité du sol,mV,725.5
2025-05-22 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-05-22 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-05-22 06:00:00,L'humidité du sol,L'humidité du sol,mV,726.0
2025-05-22 06:00:00,Température,Température,°c,19.6
2025-05-22 05:00:00,Température,Température,°c,19.8
2025-05-22 05:00:00,L'humidité du sol,L'humidité du sol,mV,726.4
2025-05-22 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.7
2025-05-21 17:00:00,Température,Température,°c,23.4
2025-05-21 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.4
2025-05-21 17:00:00,L'humidité du sol,L'humidité du sol,mV,736.8
2025-05-21 16:00:00,Température,Température,°c,23.6
2025-05-21 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.4
2025-05-21 16:00:00,L'humidité du sol,L'humidité du sol,mV,738.3
2025-05-21 15:00:00,Température,Température,°c,23.5
2025-05-21 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.4
2025-05-21 15:00:00,L'humidité du sol,L'humidité du sol,mV,738.2
2025-05-21 13:00:00,Température,Température,°c,21.8
2025-05-21 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.3
2025-05-21 13:00:00,L'humidité du sol,L'humidité du sol,mV,735.8
2025-05-21 11:00:00,Température,Température,°c,20.1
2025-05-21 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.2
2025-05-21 11:00:00,L'humidité du sol,L'humidité du sol,mV,734.8
2025-05-21 10:00:00,Température,Température,°c,19.5
2025-05-21 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.2
2025-05-21 10:00:00,L'humidité du sol,L'humidité du sol,mV,735.1
2025-05-21 09:00:00,Température,Température,°c,19.3
2025-05-21 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.3
2025-05-21 09:00:00,L'humidité du sol,L'humidité du sol,mV,735.7
2025-05-21 08:00:00,Température,Température,°c,19.3
2025-05-21 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.3
2025-05-21 08:00:00,L'humidité du sol,L'humidité du sol,mV,736.6
2025-05-21 07:00:00,Température,Température,°c,19.5
2025-05-21 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.4
2025-05-21 07:00:00,L'humidité du sol,L'humidité du sol,mV,737.1
2025-05-21 06:00:00,Température,Température,°c,19.7
2025-05-21 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.4
2025-05-21 06:00:00,L'humidité du sol,L'humidité du sol,mV,737.4
2025-05-21 05:00:00,Température,Température,°c,20.0
2025-05-21 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.4
2025-05-21 05:00:00,L'humidité du sol,L'humidité du sol,mV,738.1
2025-05-20 06:00:00,Température,Température,°c,20.2
2025-05-20 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.6
2025-05-20 06:00:00,L'humidité du sol,L'humidité du sol,mV,757.1
2025-05-20 05:00:00,Température,Température,°c,20.4
2025-05-20 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-05-20 05:00:00,L'humidité du sol,L'humidité du sol,mV,758.2
2025-05-20 04:00:00,Température,Température,°c,20.7
2025-05-20 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.7
2025-05-20 04:00:00,L'humidité du sol,L'humidité du sol,mV,758.7
2025-05-20 03:00:00,Température,Température,°c,20.9
2025-05-20 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.8
2025-05-20 03:00:00,L'humidité du sol,L'humidité du sol,mV,759.9
2025-05-20 02:00:00,Température,Température,°c,21.1
2025-05-20 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.8
2025-05-20 02:00:00,L'humidité du sol,L'humidité du sol,mV,760.5
2025-05-20 01:00:00,Température,Température,°c,21.3
2025-05-20 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.9
2025-05-20 01:00:00,L'humidité du sol,L'humidité du sol,mV,761.6
2025-05-20 00:00:00,Température,Température,°c,21.6
2025-05-20 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.0
2025-05-20 00:00:00,L'humidité du sol,L'humidité du sol,mV,763.1
