Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 10:00:04,Température,Température,°c,28.7
2025-06-19 10:00:04,L'humidité du sol,L'humidité du sol,mV,608.6
2025-06-19 09:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 09:00:04,Température,Température,°c,28.8
2025-06-19 09:00:04,L'humidité du sol,L'humidité du sol,mV,608.7
2025-06-19 08:00:04,L'humidité du sol,L'humidité du sol,mV,608.9
2025-06-19 08:00:04,Température,Température,°c,29.0
2025-06-19 08:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 07:00:04,Température,Température,°c,29.2
2025-06-19 07:00:04,L'humidité du sol,L'humidité du sol,mV,609.0
2025-06-19 07:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 06:00:04,L'humidité du sol,L'humidité du sol,mV,609.2
2025-06-19 06:00:04,Température,Température,°c,29.4
2025-06-19 06:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 05:00:04,Température,Température,°c,29.7
2025-06-19 05:00:04,L'humidité du sol,L'humidité du sol,mV,609.3
2025-06-19 05:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 04:00:04,Température,Température,°c,29.9
2025-06-19 04:00:04,L'humidité du sol,L'humidité du sol,mV,609.6
2025-06-19 03:00:04,Température,Température,°c,30.2
2025-06-19 03:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-19 03:00:04,L'humidité du sol,L'humidité du sol,mV,609.8
2025-06-19 02:00:04,Température,Température,°c,30.4
2025-06-19 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-19 02:00:04,L'humidité du sol,L'humidité du sol,mV,610.1
2025-06-19 01:00:04,L'humidité du sol,L'humidité du sol,mV,610.3
2025-06-19 01:00:04,Température,Température,°c,30.6
2025-06-19 01:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-19 00:00:04,L'humidité du sol,L'humidité du sol,mV,610.5
2025-06-19 00:00:04,Température,Température,°c,30.9
2025-06-19 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 23:00:04,Température,Température,°c,31.1
2025-06-18 23:00:04,L'humidité du sol,L'humidité du sol,mV,610.7
2025-06-18 23:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 22:00:04,Température,Température,°c,31.2
2025-06-18 22:00:04,L'humidité du sol,L'humidité du sol,mV,610.8
2025-06-18 22:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 21:00:04,Température,Température,°c,31.3
2025-06-18 21:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 21:00:04,L'humidité du sol,L'humidité du sol,mV,610.9
2025-06-18 20:00:04,L'humidité du sol,L'humidité du sol,mV,610.9
2025-06-18 20:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 20:00:04,Température,Température,°c,31.4
2025-06-18 19:00:04,Température,Température,°c,31.3
2025-06-18 19:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 19:00:04,L'humidité du sol,L'humidité du sol,mV,611.0
2025-06-18 18:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 18:00:04,L'humidité du sol,L'humidité du sol,mV,611.0
2025-06-18 18:00:04,Température,Température,°c,31.2
2025-06-18 17:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 17:00:04,Température,Température,°c,30.9
2025-06-18 17:00:04,L'humidité du sol,L'humidité du sol,mV,610.9
2025-06-18 16:00:04,L'humidité du sol,L'humidité du sol,mV,610.6
2025-06-18 16:00:04,Température,Température,°c,30.6
2025-06-18 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 15:00:04,Température,Température,°c,30.2
2025-06-18 15:00:04,L'humidité du sol,L'humidité du sol,mV,610.4
2025-06-18 15:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 14:00:04,L'humidité du sol,L'humidité du sol,mV,610.1
2025-06-18 14:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 14:00:04,Température,Température,°c,29.7
2025-06-18 13:00:04,Température,Température,°c,29.4
2025-06-18 13:00:04,L'humidité du sol,L'humidité du sol,mV,609.8
2025-06-18 13:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-18 12:00:04,Température,Température,°c,29.1
2025-06-18 12:00:04,L'humidité du sol,L'humidité du sol,mV,609.6
2025-06-18 12:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-18 11:00:04,Température,Température,°c,29.0
2025-06-18 11:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-18 11:00:04,L'humidité du sol,L'humidité du sol,mV,609.6
2025-06-18 09:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-18 09:00:04,L'humidité du sol,L'humidité du sol,mV,609.6
2025-06-18 09:00:04,Température,Température,°c,29.1
2025-06-18 07:00:04,Température,Température,°c,29.5
2025-06-18 07:00:04,L'humidité du sol,L'humidité du sol,mV,610.0
2025-06-18 07:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-18 06:00:04,L'humidité du sol,L'humidité du sol,mV,610.1
2025-06-18 06:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 06:00:04,Température,Température,°c,29.8
2025-06-18 05:00:04,L'humidité du sol,L'humidité du sol,mV,610.4
2025-06-18 05:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 05:00:04,Température,Température,°c,30.1
2025-06-18 04:00:04,Température,Température,°c,30.4
2025-06-18 04:00:04,L'humidité du sol,L'humidité du sol,mV,610.6
2025-06-18 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 03:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 03:00:04,L'humidité du sol,L'humidité du sol,mV,610.8
2025-06-18 03:00:04,Température,Température,°c,30.6
2025-06-18 02:00:04,L'humidité du sol,L'humidité du sol,mV,611.0
2025-06-18 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 02:00:04,Température,Température,°c,30.9
2025-06-18 01:00:04,L'humidité du sol,L'humidité du sol,mV,611.3
2025-06-18 01:00:04,Température,Température,°c,31.2
2025-06-18 01:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-18 00:00:04,Température,Température,°c,31.4
2025-06-18 00:00:04,L'humidité du sol,L'humidité du sol,mV,611.5
2025-06-18 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 23:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 23:00:04,L'humidité du sol,L'humidité du sol,mV,611.7
2025-06-17 23:00:04,Température,Température,°c,31.6
2025-06-17 21:00:04,L'humidité du sol,L'humidité du sol,mV,611.9
2025-06-17 21:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 21:00:04,Température,Température,°c,31.9
2025-06-17 19:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 19:00:04,L'humidité du sol,L'humidité du sol,mV,612.0
2025-06-17 19:00:04,Température,Température,°c,31.8
2025-06-17 18:00:04,L'humidité du sol,L'humidité du sol,mV,612.2
2025-06-17 18:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 18:00:04,Température,Température,°c,31.7
2025-06-17 17:00:04,L'humidité du sol,L'humidité du sol,mV,612.0
2025-06-17 17:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 17:00:04,Température,Température,°c,31.4
2025-06-17 16:00:04,Température,Température,°c,31.0
2025-06-17 16:00:04,L'humidité du sol,L'humidité du sol,mV,611.6
2025-06-17 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 15:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 15:00:04,Température,Température,°c,30.5
2025-06-17 15:00:04,L'humidité du sol,L'humidité du sol,mV,611.3
2025-06-17 14:00:04,Température,Température,°c,30.0
2025-06-17 14:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-17 14:00:04,L'humidité du sol,L'humidité du sol,mV,610.9
