Date,nom_ar,nom_fr,unite,valeur
2025-06-19 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-19 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-18 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-17 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-16 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-16 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-16 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-14 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-14 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-13 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-13 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-13 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-12 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-12 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-12 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-11 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-11 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-11 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-01 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-06-01 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-01 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-28 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-05-28 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-28 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-25 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-25 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-25 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-05-24 00:00:05,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24 00:00:05,Pluie Totale,Pluie Totale,mm,1160.6
2025-05-24 00:00:05,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
