Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:00,Vitesse du vent,Vitesse du vent,m/s,1.8
2025-06-19 10:00:00,Température,Température,°c,24.6
2025-06-19 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.1
2025-06-19 10:00:00,Point de Rosée,Point de Rosée,°c,10.8
2025-06-19 10:00:00,Direction du vent,Direction du vent,Deg,5.7
2025-06-19 10:00:00,Humidité relative,Humidité relative,%,41.9
2025-06-19 09:00:00,Humidité relative,Humidité relative,%,48.3
2025-06-19 09:00:00,Vitesse du vent,Vitesse du vent,m/s,3.37
2025-06-19 09:00:00,Direction du vent,Direction du vent,Deg,284.2
2025-06-19 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.5
2025-06-19 09:00:00,Température,Température,°c,23.0
2025-06-19 09:00:00,Point de Rosée,Point de Rosée,°c,11.5
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°c,13.0
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.6
2025-06-19 08:00:00,Vitesse du vent,Vitesse du vent,m/s,3.27
2025-06-19 08:00:00,Direction du vent,Direction du vent,Deg,273.3
2025-06-19 08:00:00,Température,Température,°c,20.9
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,60.7
2025-06-19 07:00:00,Température,Température,°c,19.3
2025-06-19 07:00:00,Point de Rosée,Point de Rosée,°c,13.3
2025-06-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,2.77
2025-06-19 07:00:00,Humidité relative,Humidité relative,%,68.5
2025-06-19 07:00:00,Direction du vent,Direction du vent,Deg,292.8
2025-06-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.7
2025-06-19 06:00:00,Température,Température,°c,14.7
2025-06-19 06:00:00,Vitesse du vent,Vitesse du vent,m/s,1.64
2025-06-19 06:00:00,Direction du vent,Direction du vent,Deg,31.0
2025-06-19 06:00:00,Humidité relative,Humidité relative,%,79.4
2025-06-19 06:00:00,Point de Rosée,Point de Rosée,°c,11.1
2025-06-19 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.4
2025-06-19 05:00:00,Humidité relative,Humidité relative,%,82.9
2025-06-19 05:00:00,Température,Température,°c,14.0
2025-06-19 05:00:00,Direction du vent,Direction du vent,Deg,168.2
2025-06-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.1
2025-06-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,0.73
2025-06-19 05:00:00,Point de Rosée,Point de Rosée,°c,11.1
2025-06-18 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.4
2025-06-18 23:00:00,Point de Rosée,Point de Rosée,°c,15.1
2025-06-18 23:00:00,Humidité relative,Humidité relative,%,73.7
2025-06-18 23:00:00,Température,Température,°c,20.0
2025-06-18 23:00:00,Direction du vent,Direction du vent,Deg,80.5
2025-06-18 23:00:00,Vitesse du vent,Vitesse du vent,m/s,1.27
2025-06-18 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.2
2025-06-18 22:00:00,Point de Rosée,Point de Rosée,°c,14.9
2025-06-18 22:00:00,Humidité relative,Humidité relative,%,66.5
2025-06-18 22:00:00,Température,Température,°c,21.4
2025-06-18 22:00:00,Direction du vent,Direction du vent,Deg,5.1
2025-06-18 22:00:00,Vitesse du vent,Vitesse du vent,m/s,2.78
2025-06-18 21:00:00,Température,Température,°c,22.7
2025-06-18 21:00:00,Vitesse du vent,Vitesse du vent,m/s,3.37
2025-06-18 21:00:00,Point de Rosée,Point de Rosée,°c,14.6
2025-06-18 21:00:00,Direction du vent,Direction du vent,Deg,18.8
2025-06-18 21:00:00,Humidité relative,Humidité relative,%,60.4
2025-06-18 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.7
2025-06-18 20:00:00,Direction du vent,Direction du vent,Deg,13.9
2025-06-18 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.0
2025-06-18 20:00:00,Point de Rosée,Point de Rosée,°c,15.0
2025-06-18 20:00:00,Humidité relative,Humidité relative,%,56.4
2025-06-18 20:00:00,Vitesse du vent,Vitesse du vent,m/s,2.25
2025-06-18 20:00:00,Température,Température,°c,24.3
2025-06-18 19:00:00,Température,Température,°c,27.0
2025-06-18 19:00:00,Point de Rosée,Point de Rosée,°c,14.8
