Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:00,Températur,Températur,°c,28.1
2025-06-19 10:00:00,L'humidité du sol,L'humidité du sol,mV,1016.0
2025-06-19 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.5
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.6
2025-06-19 09:00:00,Températur,Températur,°c,28.2
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,1016.6
2025-06-19 08:00:00,L'humidité du sol,L'humidité du sol,mV,1017.0
2025-06-19 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.7
2025-06-19 08:00:00,Températur,Températur,°c,28.4
2025-06-19 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.7
2025-06-19 07:00:00,Températur,Températur,°c,28.5
2025-06-19 07:00:00,L'humidité du sol,L'humidité du sol,mV,1017.4
2025-06-19 06:00:00,Températur,Températur,°c,28.6
2025-06-19 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.8
2025-06-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,1017.9
2025-06-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.8
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,1018.3
2025-06-19 05:00:00,Températur,Températur,°c,28.8
2025-06-18 23:00:00,L'humidité du sol,L'humidité du sol,mV,1020.4
2025-06-18 23:00:00,Températur,Températur,°c,29.6
2025-06-18 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 22:00:00,Températur,Températur,°c,29.7
2025-06-18 22:00:00,L'humidité du sol,L'humidité du sol,mV,1020.4
2025-06-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,1020.4
2025-06-18 21:00:00,Températur,Températur,°c,29.7
2025-06-18 20:00:00,Températur,Températur,°c,29.7
2025-06-18 20:00:00,L'humidité du sol,L'humidité du sol,mV,1020.4
2025-06-18 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,1020.4
2025-06-18 19:00:00,Températur,Températur,°c,29.8
2025-06-18 18:00:00,L'humidité du sol,L'humidité du sol,mV,1020.2
2025-06-18 18:00:00,Températur,Températur,°c,29.8
2025-06-18 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,1019.9
2025-06-18 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 17:00:00,Températur,Températur,°c,29.7
2025-06-18 16:00:00,L'humidité du sol,L'humidité du sol,mV,1019.6
2025-06-18 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.0
2025-06-18 16:00:00,Températur,Températur,°c,29.6
2025-06-18 15:00:00,L'humidité du sol,L'humidité du sol,mV,1019.4
2025-06-18 15:00:00,Températur,Températur,°c,29.4
2025-06-18 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.0
2025-06-18 14:00:00,Températur,Températur,°c,29.2
2025-06-18 14:00:00,L'humidité du sol,L'humidité du sol,mV,1019.2
2025-06-18 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.0
2025-06-18 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,45.9
2025-06-18 13:00:00,Températur,Températur,°c,29.0
2025-06-18 13:00:00,L'humidité du sol,L'humidité du sol,mV,1019.1
2025-06-18 11:00:00,L'humidité du sol,L'humidité du sol,mV,1019.4
2025-06-18 11:00:00,Températur,Températur,°c,28.9
2025-06-18 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.0
2025-06-18 09:00:00,Températur,Températur,°c,29.0
2025-06-18 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.1
2025-06-18 09:00:00,L'humidité du sol,L'humidité du sol,mV,1020.2
2025-06-18 07:00:00,Températur,Températur,°c,29.3
2025-06-18 07:00:00,L'humidité du sol,L'humidité du sol,mV,1020.9
2025-06-18 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.2
2025-06-18 06:00:00,L'humidité du sol,L'humidité du sol,mV,1021.5
2025-06-18 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.2
2025-06-18 06:00:00,Températur,Températur,°c,29.5
2025-06-18 05:00:00,L'humidité du sol,L'humidité du sol,mV,1021.9
2025-06-18 05:00:00,Températur,Températur,°c,29.6
2025-06-18 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.3
2025-06-18 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.4
2025-06-18 04:00:00,Températur,Températur,°c,29.8
2025-06-18 04:00:00,L'humidité du sol,L'humidité du sol,mV,1022.3
2025-06-18 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.4
2025-06-18 03:00:00,Températur,Températur,°c,30.0
2025-06-18 03:00:00,L'humidité du sol,L'humidité du sol,mV,1022.7
2025-06-18 02:00:00,Températur,Températur,°c,30.2
2025-06-18 02:00:00,L'humidité du sol,L'humidité du sol,mV,1023.1
2025-06-18 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.5
2025-06-18 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.5
2025-06-18 01:00:00,Températur,Températur,°c,30.3
2025-06-18 01:00:00,L'humidité du sol,L'humidité du sol,mV,1023.3
2025-06-18 00:00:00,L'humidité du sol,L'humidité du sol,mV,1023.5
2025-06-18 00:00:00,Températur,Températur,°c,30.5
2025-06-18 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.5
2025-06-17 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.5
2025-06-17 23:00:00,L'humidité du sol,L'humidité du sol,mV,1023.6
2025-06-17 23:00:00,Températur,Températur,°c,30.6
2025-06-17 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,46.5
2025-06-17 22:00:00,Températur,Températur,°c,30.6
