Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-19 10:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-19 09:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-19 09:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-19 08:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-19 08:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-19 07:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-19 07:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-19 06:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-19 06:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-19 05:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-19 05:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 23:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 23:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-18 22:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-18 22:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 21:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 21:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-18 20:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-18 20:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 19:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 19:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-18 18:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-18 18:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 17:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 17:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-18 16:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-18 16:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 15:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 15:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-18 14:00:00,Pression relative,Pression relative,hPa,11066.0
2025-06-18 14:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-18 13:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 13:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-18 11:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 11:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-18 09:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 09:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-18 07:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 07:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-18 06:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 06:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-18 05:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-18 05:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 04:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-18 04:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 03:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 03:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-18 02:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 02:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-18 01:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 01:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-18 00:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-18 00:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-17 23:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-17 23:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 22:00:00,Pression relative,Pression relative,hPa,11069.0
2025-06-17 22:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 21:00:00,Pression relative,Pression relative,hPa,11074.0
2025-06-17 21:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 19:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-17 19:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 17:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-17 17:00:00,Pression relative,Pression relative,hPa,11067.0
2025-06-17 15:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-17 15:00:00,Pression relative,Pression relative,hPa,11065.0
2025-06-17 14:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-17 14:00:00,Pression relative,Pression relative,hPa,11065.0
2025-06-17 13:00:00,Pression relative,Pression relative,hPa,11065.0
2025-06-17 13:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-17 11:00:00,Pression relative,Pression relative,hPa,11066.0
2025-06-17 11:00:00,Niveau du fluid,Niveau du fluid,m,11.28
2025-06-17 10:00:00,Pression relative,Pression relative,hPa,11068.0
2025-06-17 10:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 09:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 09:00:00,Pression relative,Pression relative,hPa,11073.0
2025-06-17 07:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 07:00:00,Pression relative,Pression relative,hPa,11074.0
2025-06-17 06:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-17 06:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 05:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 05:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-17 04:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 04:00:00,Pression relative,Pression relative,hPa,11070.0
2025-06-17 03:00:00,Pression relative,Pression relative,hPa,11071.0
2025-06-17 03:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 02:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 02:00:00,Pression relative,Pression relative,hPa,11072.0
2025-06-17 01:00:00,Niveau du fluid,Niveau du fluid,m,11.29
2025-06-17 01:00:00,Pression relative,Pression relative,hPa,11073.0
