Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,618.0
2025-06-19 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 09:00:00,Humidité relative,Humidité relative,%,48.4
2025-06-19 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,958.1
2025-06-19 09:00:00,Direction du vent,Direction du vent,Deg,7.1
2025-06-19 09:00:00,Température,Température,°C,23.7
2025-06-19 09:00:00,Point de Rosée,Point de Rosée,°C,12.1
2025-06-19 09:00:00,Vitesse du vent,Vitesse du vent,m/s,3.78
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°C,12.0
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,410.0
2025-06-19 08:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,958.3
2025-06-19 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,51.2
2025-06-19 08:00:00,Température,Température,°C,22.6
2025-06-19 08:00:00,Vitesse du vent,Vitesse du vent,m/s,3.99
2025-06-19 08:00:00,Direction du vent,Direction du vent,Deg,304.9
2025-06-19 07:00:00,Température,Température,°C,21.7
2025-06-19 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,205.0
2025-06-19 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,4.38
2025-06-19 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,958.1
2025-06-19 07:00:00,Humidité relative,Humidité relative,%,55.5
2025-06-19 07:00:00,Direction du vent,Direction du vent,Deg,313.3
2025-06-19 07:00:00,Point de Rosée,Point de Rosée,°C,12.4
2025-06-19 06:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 06:00:00,Direction du vent,Direction du vent,Deg,316.6
2025-06-19 06:00:00,Vitesse du vent,Vitesse du vent,m/s,1.27
2025-06-19 06:00:00,Température,Température,°C,20.2
2025-06-19 06:00:00,Humidité relative,Humidité relative,%,59.7
2025-06-19 06:00:00,Point de Rosée,Point de Rosée,°C,12.1
2025-06-19 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,69.0
2025-06-19 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,957.8
2025-06-19 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 05:00:00,Point de Rosée,Point de Rosée,°C,12.6
2025-06-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,957.5
2025-06-19 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 05:00:00,Direction du vent,Direction du vent,Deg,308.1
2025-06-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,2.79
2025-06-19 05:00:00,Température,Température,°C,19.7
2025-06-19 05:00:00,Humidité relative,Humidité relative,%,63.6
2025-06-19 04:00:00,Température,Température,°C,20.2
2025-06-19 04:00:00,Point de Rosée,Point de Rosée,°C,13.2
2025-06-19 04:00:00,Direction du vent,Direction du vent,Deg,316.1
2025-06-19 04:00:00,Humidité relative,Humidité relative,%,64.3
2025-06-19 04:00:00,Vitesse du vent,Vitesse du vent,m/s,4.84
2025-06-19 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,957.1
2025-06-19 04:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 03:00:00,Point de Rosée,Point de Rosée,°C,13.5
2025-06-19 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,957.2
2025-06-19 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 03:00:00,Direction du vent,Direction du vent,Deg,328.2
2025-06-19 03:00:00,Vitesse du vent,Vitesse du vent,m/s,5.8
2025-06-19 03:00:00,Température,Température,°C,20.9
2025-06-19 03:00:00,Humidité relative,Humidité relative,%,62.8
2025-06-19 02:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.45
2025-06-19 02:00:00,Humidité relative,Humidité relative,%,62.7
2025-06-19 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 02:00:00,Point de Rosée,Point de Rosée,°C,13.7
2025-06-19 02:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,957.4
2025-06-19 02:00:00,Vitesse du vent,Vitesse du vent,m/s,6.38
2025-06-19 02:00:00,Direction du vent,Direction du vent,Deg,329.9
2025-06-19 02:00:00,Température,Température,°C,21.1
2025-06-19 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
