Date,nom_ar,nom_fr,unite,valeur
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°C,14.5
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,52.7
2025-06-19 08:00:00,Température,Température,°C,24.8
2025-06-19 08:00:00,Direction du vent,Direction du vent,Deg,9.4
2025-06-19 08:00:00,Vitesse du vent,Vitesse du vent,m/s,1.48
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,458.0
2025-06-19 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.76
2025-06-19 08:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,985.2
2025-06-19 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.36
2025-06-19 07:00:00,Point de Rosée,Point de Rosée,°C,17.9
2025-06-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,247.0
2025-06-19 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,985.2
2025-06-19 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.8
2025-06-19 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.36
2025-06-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,0.49
2025-06-19 07:00:00,Direction du vent,Direction du vent,Deg,201.2
2025-06-19 07:00:00,Température,Température,°C,24.3
2025-06-19 07:00:00,Humidité relative,Humidité relative,%,67.6
2025-06-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,0.62
2025-06-19 05:00:00,Direction du vent,Direction du vent,Deg,285.0
2025-06-19 05:00:00,Température,Température,°C,21.2
2025-06-19 05:00:00,Humidité relative,Humidité relative,%,76.6
2025-06-19 05:00:00,Point de Rosée,Point de Rosée,°C,16.9
2025-06-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-06-19 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.5
2025-06-19 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.76
2025-06-19 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,7.36
2025-06-19 03:00:00,Température,Température,°C,21.9
2025-06-19 03:00:00,Point de Rosée,Point de Rosée,°C,17.2
2025-06-19 03:00:00,Vitesse du vent,Vitesse du vent,m/s,0.73
2025-06-19 03:00:00,Humidité relative,Humidité relative,%,75.0
2025-06-19 03:00:00,Direction du vent,Direction du vent,Deg,14.9
2025-06-19 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,984.3
2025-06-19 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.76
