Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.1
2025-06-19 10:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.9
2025-06-19 08:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.4
2025-06-19 08:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.5
2025-06-19 06:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,26.2
2025-06-19 06:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.2
2025-06-19 02:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,51.7
2025-06-19 02:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,6.8
2025-06-19 00:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,43.9
2025-06-19 00:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.1
2025-06-18 22:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,10.2
2025-06-18 22:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.7
2025-06-18 21:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-18 21:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,9.4
2025-06-18 20:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.3
2025-06-18 20:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-18 18:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.9
2025-06-18 18:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.4
2025-06-18 16:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-06-18 16:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-18 14:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.8
2025-06-18 14:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-18 12:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.0
2025-06-18 12:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-18 10:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-18 10:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-18 08:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.0
2025-06-18 08:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-18 06:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.6
2025-06-18 06:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.6
2025-06-18 05:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.7
2025-06-18 05:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-18 04:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-18 04:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-06-18 02:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.9
2025-06-18 02:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.3
2025-06-18 01:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-06-18 01:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.9
2025-06-18 00:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.3
2025-06-18 00:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.7
2025-06-17 23:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-17 23:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.7
2025-06-17 22:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.5
2025-06-17 22:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.3
2025-06-17 20:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.1
2025-06-17 20:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.9
2025-06-17 18:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.7
2025-06-17 18:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.3
2025-06-17 16:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.5
2025-06-17 16:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.9
2025-06-17 14:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-17 14:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-17 12:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-17 12:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-17 10:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.9
2025-06-17 10:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-06-17 08:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.5
2025-06-17 08:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.0
2025-06-17 06:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-17 06:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-06-17 03:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-17 03:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.1
2025-06-17 02:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.8
2025-06-17 02:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.0
2025-06-17 01:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-17 01:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.6
2025-06-17 00:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.1
2025-06-17 00:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.6
2025-06-16 22:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.3
2025-06-16 22:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.2
2025-06-16 20:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.9
2025-06-16 20:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,33.9
2025-06-16 18:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.8
2025-06-16 18:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.5
2025-06-16 16:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-06-16 16:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.0
2025-06-16 14:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.8
2025-06-16 14:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-16 13:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-16 13:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-16 12:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-16 12:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.8
2025-06-16 10:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-16 10:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.5
2025-06-16 08:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.4
2025-06-16 08:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-06-16 06:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.2
2025-06-16 06:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.0
2025-06-16 05:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.1
2025-06-16 05:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,8.6
2025-06-16 04:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,11.8
2025-06-16 04:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.1
2025-06-16 03:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.8
2025-06-16 03:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,8.6
2025-06-16 02:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,7.7
2025-06-16 02:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.5
2025-06-16 01:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.5
2025-06-16 01:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,8.0
2025-06-16 00:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.4
2025-06-16 00:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.1
2025-06-15 22:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.7
2025-06-15 22:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.2
2025-06-15 21:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.6
2025-06-15 21:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.9
2025-06-15 20:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.3
2025-06-15 20:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.6
2025-06-15 18:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.5
2025-06-15 18:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.8
2025-06-15 16:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.6
2025-06-15 16:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.9
2025-06-15 14:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-15 14:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.2
2025-06-15 12:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.3
2025-06-15 12:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-06-15 10:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-15 10:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-15 09:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.0
2025-06-15 09:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.4
2025-06-15 08:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.6
2025-06-15 08:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.3
2025-06-15 06:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,16.8
2025-06-15 06:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.0
2025-06-15 04:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,17.8
2025-06-15 04:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.6
2025-06-14 09:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-06-14 09:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.4
2025-06-14 07:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.1
2025-06-14 07:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.9
2025-06-14 05:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,19.0
2025-06-14 05:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.0
2025-06-14 03:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,3.2
2025-06-14 03:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,16.6
2025-06-14 01:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.5
2025-06-14 01:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.5
2025-06-14 00:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.6
2025-06-14 00:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.4
2025-06-13 23:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-13 23:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.2
2025-06-13 21:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-13 21:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-13 19:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,2.9
2025-06-13 19:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.5
2025-06-13 17:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.4
2025-06-13 17:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.0
2025-06-13 16:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.2
2025-06-13 16:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-13 15:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-13 15:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-13 13:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.7
2025-06-13 13:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-13 11:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,3.9
2025-06-13 11:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.4
2025-06-13 09:00:01,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.3
2025-06-13 09:00:01,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.5
