Date,nom_ar,nom_fr,unite,valeur
2025-06-19 10:00:04,L'humidité du sol,L'humidité du sol,mV,782.2
2025-06-19 10:00:04,Température,Température,°C,27.8
2025-06-19 10:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.4
2025-06-19 08:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.4
2025-06-19 08:00:04,L'humidité du sol,L'humidité du sol,mV,782.5
2025-06-19 08:00:04,Température,Température,°C,27.9
2025-06-19 06:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.5
2025-06-19 06:00:04,Température,Température,°C,28.3
2025-06-19 06:00:04,L'humidité du sol,L'humidité du sol,mV,783.3
2025-06-19 04:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.5
2025-06-19 04:00:04,L'humidité du sol,L'humidité du sol,mV,784.1
2025-06-19 04:00:04,Température,Température,°C,28.7
2025-06-19 02:00:04,L'humidité du sol,L'humidité du sol,mV,785.2
2025-06-19 02:00:04,Température,Température,°C,29.1
2025-06-19 02:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.6
2025-06-19 00:00:04,L'humidité du sol,L'humidité du sol,mV,786.2
2025-06-19 00:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.7
2025-06-19 00:00:04,Température,Température,°C,29.6
2025-06-18 22:00:04,Température,Température,°C,30.0
2025-06-18 22:00:04,L'humidité du sol,L'humidité du sol,mV,787.0
2025-06-18 22:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.7
2025-06-18 21:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.8
2025-06-18 21:00:04,L'humidité du sol,L'humidité du sol,mV,787.4
2025-06-18 21:00:04,Température,Température,°C,30.2
2025-06-18 20:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.8
2025-06-18 20:00:04,Température,Température,°C,30.3
2025-06-18 20:00:04,L'humidité du sol,L'humidité du sol,mV,787.6
2025-06-18 18:00:04,Température,Température,°C,30.2
2025-06-18 18:00:04,L'humidité du sol,L'humidité du sol,mV,787.4
2025-06-18 18:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.8
2025-06-18 16:00:04,Température,Température,°C,29.5
2025-06-18 16:00:04,L'humidité du sol,L'humidité du sol,mV,786.2
2025-06-18 16:00:04,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.7
