Date,nom_ar,nom_fr,unite,valeur
2025-06-19 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-06-19 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-06-18 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-17 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-17 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-06-17 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-16 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-06-16 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-16 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-14 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-14 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-06-01 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-01 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-01 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-05-28 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-28 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-05-28 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-25 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-25 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-25 00:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-05-24 22:00:03,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-05-24 22:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-05-24 22:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 21:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-05-24 21:00:03,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-05-24 21:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-05-24 20:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,2.4
2025-05-24 20:00:03,Pluie quotidienne,Pluie quotidienne,mm,2.2
2025-05-24 20:00:03,Pluie Totale,Pluie Totale,mm,1395.4
2025-05-24 19:00:03,Pluie quotidienne,Pluie quotidienne,mm,2.0
2025-05-24 19:00:03,Pluie Totale,Pluie Totale,mm,1395.2
2025-05-24 19:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,4.8
2025-05-24 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-24 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-24 00:00:03,Pluie Totale,Pluie Totale,mm,1393.2
2025-05-20 00:00:03,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-05-20 00:00:03,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-05-20 00:00:03,Pluie Totale,Pluie Totale,mm,1387.6
