Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 09:00:00,Vitesse du vent,Vitesse du vent,m/s,3.65
2025-06-19 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.8
2025-06-19 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,385.0
2025-06-19 09:00:00,Point de Rosée,Point de Rosée,°C,12.7
2025-06-19 09:00:00,Humidité relative,Humidité relative,%,63.8
2025-06-19 09:00:00,Température,Température,°C,19.8
2025-06-19 09:00:00,Direction du vent,Direction du vent,Deg,348.8
2025-06-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,2.97
2025-06-19 07:00:00,Direction du vent,Direction du vent,Deg,336.3
2025-06-19 07:00:00,Température,Température,°C,18.2
2025-06-19 07:00:00,Humidité relative,Humidité relative,%,69.0
2025-06-19 07:00:00,Point de Rosée,Point de Rosée,°C,12.4
2025-06-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,224.0
2025-06-19 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.7
2025-06-19 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,2.83
2025-06-19 05:00:00,Direction du vent,Direction du vent,Deg,315.9
2025-06-19 05:00:00,Température,Température,°C,16.2
2025-06-19 05:00:00,Humidité relative,Humidité relative,%,84.6
2025-06-19 05:00:00,Point de Rosée,Point de Rosée,°C,13.6
2025-06-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.0
2025-06-19 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 03:00:00,Direction du vent,Direction du vent,Deg,279.4
2025-06-19 03:00:00,Vitesse du vent,Vitesse du vent,m/s,2.04
2025-06-19 03:00:00,Température,Température,°C,16.5
2025-06-19 03:00:00,Humidité relative,Humidité relative,%,76.7
2025-06-19 03:00:00,Point de Rosée,Point de Rosée,°C,12.4
2025-06-19 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.0
2025-06-19 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 01:00:00,Direction du vent,Direction du vent,Deg,269.7
2025-06-19 01:00:00,Vitesse du vent,Vitesse du vent,m/s,3.14
2025-06-19 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-19 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 01:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.9
2025-06-19 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-19 01:00:00,Point de Rosée,Point de Rosée,°C,13.0
2025-06-19 01:00:00,Humidité relative,Humidité relative,%,80.0
2025-06-19 01:00:00,Température,Température,°C,16.4
2025-06-18 23:00:00,Direction du vent,Direction du vent,Deg,337.6
2025-06-18 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 23:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,921.7
2025-06-18 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 23:00:00,Point de Rosée,Point de Rosée,°C,12.8
2025-06-18 23:00:00,Humidité relative,Humidité relative,%,73.3
2025-06-18 23:00:00,Température,Température,°C,17.6
2025-06-18 23:00:00,Vitesse du vent,Vitesse du vent,m/s,1.97
2025-06-18 21:00:00,Vitesse du vent,Vitesse du vent,m/s,1.8
2025-06-18 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,921.8
2025-06-18 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 21:00:00,Point de Rosée,Point de Rosée,°C,12.9
2025-06-18 21:00:00,Humidité relative,Humidité relative,%,66.5
2025-06-18 21:00:00,Température,Température,°C,19.3
2025-06-18 21:00:00,Direction du vent,Direction du vent,Deg,16.6
2025-06-18 17:00:00,Vitesse du vent,Vitesse du vent,m/s,9.02
2025-06-18 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,919.4
2025-06-18 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,408.0
2025-06-18 17:00:00,Point de Rosée,Point de Rosée,°C,10.2
2025-06-18 17:00:00,Humidité relative,Humidité relative,%,35.7
2025-06-18 17:00:00,Température,Température,°C,26.7
2025-06-18 17:00:00,Direction du vent,Direction du vent,Deg,326.6
2025-06-18 15:00:00,Direction du vent,Direction du vent,Deg,332.1
2025-06-18 15:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 15:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 15:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,919.9
2025-06-18 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,787.0
2025-06-18 15:00:00,Point de Rosée,Point de Rosée,°C,5.3
2025-06-18 15:00:00,Humidité relative,Humidité relative,%,23.6
2025-06-18 15:00:00,Température,Température,°C,28.0
2025-06-18 15:00:00,Vitesse du vent,Vitesse du vent,m/s,6.66
2025-06-18 11:00:00,Température,Température,°C,25.7
2025-06-18 11:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 11:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.7
2025-06-18 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,951.0
2025-06-18 11:00:00,Point de Rosée,Point de Rosée,°C,5.5
2025-06-18 11:00:00,Humidité relative,Humidité relative,%,27.4
2025-06-18 11:00:00,Direction du vent,Direction du vent,Deg,272.9
2025-06-18 11:00:00,Vitesse du vent,Vitesse du vent,m/s,5.34
2025-06-18 09:00:00,Vitesse du vent,Vitesse du vent,m/s,4.58
2025-06-18 09:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.5
2025-06-18 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,682.0
2025-06-18 09:00:00,Point de Rosée,Point de Rosée,°C,7.3
2025-06-18 09:00:00,Humidité relative,Humidité relative,%,37.6
2025-06-18 09:00:00,Température,Température,°C,22.5
2025-06-18 09:00:00,Direction du vent,Direction du vent,Deg,328.2
2025-06-18 07:00:00,Direction du vent,Direction du vent,Deg,330.7
2025-06-18 07:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.1
2025-06-18 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,230.0
2025-06-18 07:00:00,Point de Rosée,Point de Rosée,°C,8.2
2025-06-18 07:00:00,Humidité relative,Humidité relative,%,44.5
2025-06-18 07:00:00,Température,Température,°C,20.8
2025-06-18 07:00:00,Vitesse du vent,Vitesse du vent,m/s,5.73
2025-06-18 05:00:00,Direction du vent,Direction du vent,Deg,300.2
2025-06-18 05:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,919.9
2025-06-18 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 05:00:00,Point de Rosée,Point de Rosée,°C,8.9
2025-06-18 05:00:00,Humidité relative,Humidité relative,%,50.0
2025-06-18 05:00:00,Température,Température,°C,19.6
2025-06-18 05:00:00,Vitesse du vent,Vitesse du vent,m/s,2.92
2025-06-18 03:00:00,Vitesse du vent,Vitesse du vent,m/s,2.3
2025-06-18 03:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.0
2025-06-18 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 03:00:00,Point de Rosée,Point de Rosée,°C,9.4
2025-06-18 03:00:00,Humidité relative,Humidité relative,%,50.9
2025-06-18 03:00:00,Température,Température,°C,19.9
2025-06-18 03:00:00,Direction du vent,Direction du vent,Deg,181.0
2025-06-18 01:00:00,Vitesse du vent,Vitesse du vent,m/s,0.52
2025-06-18 01:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-18 01:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-18 01:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.9
2025-06-18 01:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 01:00:00,Point de Rosée,Point de Rosée,°C,6.6
2025-06-18 01:00:00,Humidité relative,Humidité relative,%,38.6
2025-06-18 01:00:00,Température,Température,°C,21.3
2025-06-18 01:00:00,Direction du vent,Direction du vent,Deg,290.2
2025-06-17 23:00:00,Direction du vent,Direction du vent,Deg,320.3
2025-06-17 23:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-17 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-17 23:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,921.6
2025-06-17 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-17 23:00:00,Point de Rosée,Point de Rosée,°C,5.9
2025-06-17 23:00:00,Humidité relative,Humidité relative,%,32.2
2025-06-17 23:00:00,Température,Température,°C,23.4
2025-06-17 23:00:00,Vitesse du vent,Vitesse du vent,m/s,2.34
2025-06-17 21:00:00,Vitesse du vent,Vitesse du vent,m/s,2.33
2025-06-17 21:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-17 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-17 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,921.4
2025-06-17 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-17 21:00:00,Point de Rosée,Point de Rosée,°C,7.1
2025-06-17 21:00:00,Humidité relative,Humidité relative,%,32.4
2025-06-17 21:00:00,Température,Température,°C,24.8
2025-06-17 21:00:00,Direction du vent,Direction du vent,Deg,334.6
2025-06-17 19:00:00,Point de Rosée,Point de Rosée,°C,7.6
2025-06-17 19:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-17 19:00:00,Vitesse du vent,Vitesse du vent,m/s,4.38
2025-06-17 19:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-17 19:00:00,Humidité relative,Humidité relative,%,27.8
2025-06-17 19:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,920.5
2025-06-17 19:00:00,Direction du vent,Direction du vent,Deg,22.2
2025-06-17 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,53.0
2025-06-17 19:00:00,Température,Température,°C,27.9
2025-06-17 17:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-06-17 17:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-17 17:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,919.9
2025-06-17 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,406.0
