Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,772.7
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.7
2025-06-19 09:00:00,Température,Température,°C,25.5
2025-06-19 07:00:00,Température,Température,°C,25.8
2025-06-19 07:00:00,L'humidité du sol,L'humidité du sol,mV,773.7
2025-06-19 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.8
2025-06-19 05:00:00,Température,Température,°C,26.3
2025-06-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.8
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,774.3
2025-06-19 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.9
2025-06-19 04:00:00,L'humidité du sol,L'humidité du sol,mV,775.2
2025-06-19 04:00:00,Température,Température,°C,26.6
2025-06-19 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.9
2025-06-19 03:00:00,Température,Température,°C,26.8
2025-06-19 03:00:00,L'humidité du sol,L'humidité du sol,mV,776.0
2025-06-19 01:00:00,L'humidité du sol,L'humidité du sol,mV,777.4
2025-06-19 01:00:00,Température,Température,°C,27.4
2025-06-19 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.0
2025-06-18 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-06-18 23:00:00,L'humidité du sol,L'humidité du sol,mV,779.1
2025-06-18 23:00:00,Température,Température,°C,27.9
2025-06-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.3
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,780.7
2025-06-18 21:00:00,Température,Température,°C,28.3
2025-06-18 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.3
2025-06-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,780.8
2025-06-18 17:00:00,Température,Température,°C,28.2
2025-06-18 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-06-18 15:00:00,L'humidité du sol,L'humidité du sol,mV,779.1
2025-06-18 15:00:00,Température,Température,°C,27.6
2025-06-18 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.8
2025-06-18 11:00:00,L'humidité du sol,L'humidité du sol,mV,774.6
2025-06-18 11:00:00,Température,Température,°C,26.2
2025-06-18 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.8
2025-06-18 09:00:00,L'humidité du sol,L'humidité du sol,mV,773.7
2025-06-18 09:00:00,Température,Température,°C,26.0
2025-06-18 07:00:00,Température,Température,°C,26.4
2025-06-18 07:00:00,L'humidité du sol,L'humidité du sol,mV,774.7
2025-06-18 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.8
2025-06-18 05:00:00,L'humidité du sol,L'humidité du sol,mV,775.3
2025-06-18 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.9
2025-06-18 05:00:00,Température,Température,°C,26.9
2025-06-18 03:00:00,Température,Température,°C,27.4
2025-06-18 03:00:00,L'humidité du sol,L'humidité du sol,mV,776.9
2025-06-18 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.0
2025-06-18 01:00:00,Température,Température,°C,27.9
2025-06-18 01:00:00,L'humidité du sol,L'humidité du sol,mV,778.6
2025-06-18 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-06-17 23:00:00,Température,Température,°C,28.4
2025-06-17 23:00:00,L'humidité du sol,L'humidité du sol,mV,780.3
2025-06-17 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.2
2025-06-17 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.3
2025-06-17 21:00:00,Température,Température,°C,28.7
2025-06-17 21:00:00,L'humidité du sol,L'humidité du sol,mV,781.6
2025-06-17 19:00:00,Température,Température,°C,28.8
2025-06-17 19:00:00,L'humidité du sol,L'humidité du sol,mV,782.3
2025-06-17 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.4
2025-06-17 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.4
2025-06-17 17:00:00,L'humidité du sol,L'humidité du sol,mV,782.0
2025-06-17 17:00:00,Température,Température,°C,28.5
2025-06-17 15:00:00,L'humidité du sol,L'humidité du sol,mV,780.1
2025-06-17 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.2
2025-06-17 15:00:00,Température,Température,°C,27.8
2025-06-17 13:00:00,L'humidité du sol,L'humidité du sol,mV,777.6
2025-06-17 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.0
2025-06-17 13:00:00,Température,Température,°C,27.0
2025-06-17 11:00:00,L'humidité du sol,L'humidité du sol,mV,775.5
2025-06-17 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.9
2025-06-17 11:00:00,Température,Température,°C,26.3
2025-06-17 09:00:00,L'humidité du sol,L'humidité du sol,mV,774.8
2025-06-17 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.8
2025-06-17 09:00:00,Température,Température,°C,26.1
2025-06-17 07:00:00,L'humidité du sol,L'humidité du sol,mV,775.3
2025-06-17 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.9
2025-06-17 07:00:00,Température,Température,°C,26.3
2025-06-17 05:00:00,L'humidité du sol,L'humidité du sol,mV,775.7
2025-06-17 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.9
2025-06-17 05:00:00,Température,Température,°C,26.7
2025-06-17 03:00:00,Température,Température,°C,27.2
2025-06-17 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.0
2025-06-17 03:00:00,L'humidité du sol,L'humidité du sol,mV,777.1
2025-06-17 01:00:00,L'humidité du sol,L'humidité du sol,mV,778.7
2025-06-17 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.1
2025-06-17 01:00:00,Température,Température,°C,27.7
2025-06-16 23:00:00,Température,Température,°C,28.1
2025-06-16 23:00:00,L'humidité du sol,L'humidité du sol,mV,780.0
2025-06-16 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.2
2025-06-16 21:00:00,Température,Température,°C,28.4
2025-06-16 21:00:00,L'humidité du sol,L'humidité du sol,mV,781.1
2025-06-16 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.3
2025-06-16 19:00:00,L'humidité du sol,L'humidité du sol,mV,782.0
2025-06-16 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.4
2025-06-16 19:00:00,Température,Température,°C,28.4
2025-06-16 17:00:00,Température,Température,°C,28.1
2025-06-16 17:00:00,L'humidité du sol,L'humidité du sol,mV,781.6
2025-06-16 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.3
2025-06-16 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.2
2025-06-16 15:00:00,L'humidité du sol,L'humidité du sol,mV,779.6
2025-06-16 15:00:00,Température,Température,°C,27.4
2025-06-16 13:00:00,Température,Température,°C,26.5
2025-06-16 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,18.0
2025-06-16 13:00:00,L'humidité du sol,L'humidité du sol,mV,777.3
