Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.7
2025-06-19 09:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.7
2025-06-19 08:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.4
2025-06-19 08:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.4
2025-06-19 07:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,1.8
2025-06-19 07:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,10.5
2025-06-19 06:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,10.4
2025-06-19 06:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,41.2
2025-06-19 05:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,48.1
2025-06-19 05:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,100.0
2025-06-18 23:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,34.9
2025-06-18 23:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.8
2025-06-18 22:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,5.9
2025-06-18 22:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,45.3
2025-06-18 21:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,41.9
2025-06-18 21:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,7.1
2025-06-18 20:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,4.7
2025-06-18 20:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,35.0
2025-06-18 19:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,23.2
2025-06-18 19:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,2.2
2025-06-18 18:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.6
2025-06-18 18:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,12.2
2025-06-18 17:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,6.4
2025-06-18 17:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.3
2025-06-18 16:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,5.1
2025-06-18 16:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.5
2025-06-18 15:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.5
2025-06-18 15:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.6
2025-06-18 14:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.2
2025-06-18 14:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.6
2025-06-18 13:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.7
2025-06-18 13:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.2
2025-06-18 12:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.9
2025-06-18 12:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.2
2025-06-18 11:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.1
2025-06-18 11:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.8
2025-06-18 10:00:00,Mouillage foliaire inférieure,Mouillage foliaire inférieure,%,4.2
2025-06-18 10:00:00,Mouillage foliaire supérieure,Mouillage foliaire supérieure,%,0.8
