Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Température,Température,°C,26.4
2025-06-19 09:00:00,Direction du vent,Direction du vent,Deg,265.7
2025-06-19 09:00:00,Vitesse du vent,Vitesse du vent,m/s,0.62
2025-06-19 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,254.0
2025-06-19 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,5.69
2025-06-19 09:00:00,Point de Rosée,Point de Rosée,°C,16.0
2025-06-19 09:00:00,Humidité relative,Humidité relative,%,52.9
2025-06-19 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1016.1
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,53.2
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°C,15.8
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,422.0
2025-06-19 08:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1016.2
2025-06-19 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,5.69
2025-06-19 08:00:00,Vitesse du vent,Vitesse du vent,m/s,0.95
2025-06-19 08:00:00,Direction du vent,Direction du vent,Deg,254.4
2025-06-19 08:00:00,Température,Température,°C,26.1
2025-06-19 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.23
2025-06-19 07:00:00,Point de Rosée,Point de Rosée,°C,15.7
2025-06-19 07:00:00,Direction du vent,Direction du vent,Deg,344.8
2025-06-19 07:00:00,Humidité relative,Humidité relative,%,58.2
2025-06-19 07:00:00,Température,Température,°C,24.4
2025-06-19 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1016.0
2025-06-19 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,5.69
2025-06-19 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,242.0
2025-06-19 06:00:00,Point de Rosée,Point de Rosée,°C,15.7
2025-06-19 06:00:00,Température,Température,°C,20.3
2025-06-19 06:00:00,Humidité relative,Humidité relative,%,74.9
2025-06-19 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,85.0
2025-06-19 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1015.7
2025-06-19 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,5.69
2025-06-19 06:00:00,Vitesse du vent,Vitesse du vent,m/s,0.25
2025-06-19 06:00:00,Direction du vent,Direction du vent,Deg,91.7
2025-06-19 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,4.0
2025-06-19 05:00:00,Direction du vent,Direction du vent,Deg,246.0
2025-06-19 05:00:00,Point de Rosée,Point de Rosée,°C,15.4
2025-06-19 05:00:00,Vitesse du vent,Vitesse du vent,m/s,0.26
2025-06-19 05:00:00,Température,Température,°C,18.8
2025-06-19 05:00:00,Humidité relative,Humidité relative,%,80.9
2025-06-19 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,5.69
2025-06-19 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1015.3
2025-06-18 23:00:00,Point de Rosée,Point de Rosée,°C,17.9
2025-06-18 23:00:00,Humidité relative,Humidité relative,%,67.2
2025-06-18 23:00:00,Température,Température,°C,24.4
2025-06-18 23:00:00,Direction du vent,Direction du vent,Deg,248.6
2025-06-18 23:00:00,Vitesse du vent,Vitesse du vent,m/s,0.65
2025-06-18 23:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,6.06
2025-06-18 23:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1016.3
2025-06-18 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 22:00:00,Point de Rosée,Point de Rosée,°C,19.5
2025-06-18 22:00:00,Humidité relative,Humidité relative,%,74.3
2025-06-18 22:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,6.06
2025-06-18 22:00:00,Température,Température,°C,24.4
2025-06-18 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 22:00:00,Direction du vent,Direction du vent,Deg,13.5
2025-06-18 22:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1016.2
2025-06-18 22:00:00,Vitesse du vent,Vitesse du vent,m/s,0.54
2025-06-18 21:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1016.3
2025-06-18 21:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,6.06
2025-06-18 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.39
2025-06-18 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-06-18 21:00:00,Point de Rosée,Point de Rosée,°C,20.2
2025-06-18 21:00:00,Humidité relative,Humidité relative,%,75.8
2025-06-18 21:00:00,Température,Température,°C,24.8
2025-06-18 21:00:00,Direction du vent,Direction du vent,Deg,94.6
2025-06-18 20:00:00,Humidité relative,Humidité relative,%,76.7
