Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,553.3
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2025-06-19 09:00:00,Température,Température,°C,28.3
2025-06-19 08:00:00,Température,Température,°C,28.4
2025-06-19 08:00:00,L'humidité du sol,L'humidité du sol,mV,553.8
2025-06-19 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2025-06-19 07:00:00,L'humidité du sol,L'humidité du sol,mV,554.3
2025-06-19 07:00:00,Température,Température,°C,28.7
2025-06-19 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.8
2025-06-19 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.9
2025-06-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,554.8
2025-06-19 06:00:00,Température,Température,°C,29.0
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,555.5
2025-06-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.9
2025-06-19 05:00:00,Température,Température,°C,29.4
2025-06-18 23:00:00,L'humidité du sol,L'humidité du sol,mV,559.5
2025-06-18 23:00:00,Température,Température,°C,31.5
2025-06-18 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 22:00:00,L'humidité du sol,L'humidité du sol,mV,560.0
2025-06-18 22:00:00,Température,Température,°C,31.8
2025-06-18 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 21:00:00,L'humidité du sol,L'humidité du sol,mV,560.3
2025-06-18 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 21:00:00,Température,Température,°C,32.1
2025-06-18 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 20:00:00,Température,Température,°C,32.3
2025-06-18 20:00:00,L'humidité du sol,L'humidité du sol,mV,560.4
2025-06-18 19:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 19:00:00,Température,Température,°C,32.4
2025-06-18 19:00:00,L'humidité du sol,L'humidité du sol,mV,560.3
2025-06-18 18:00:00,Température,Température,°C,32.2
2025-06-18 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 18:00:00,L'humidité du sol,L'humidité du sol,mV,559.9
2025-06-18 17:00:00,L'humidité du sol,L'humidité du sol,mV,559.0
2025-06-18 17:00:00,Température,Température,°C,31.9
2025-06-18 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 16:00:00,L'humidité du sol,L'humidité du sol,mV,557.9
2025-06-18 16:00:00,Température,Température,°C,31.3
2025-06-18 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.0
2025-06-18 15:00:00,L'humidité du sol,L'humidité du sol,mV,556.6
2025-06-18 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.9
2025-06-18 15:00:00,Température,Température,°C,30.6
2025-06-18 14:00:00,L'humidité du sol,L'humidité du sol,mV,555.4
2025-06-18 14:00:00,Température,Température,°C,29.8
2025-06-18 14:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.9
2025-06-18 13:00:00,L'humidité du sol,L'humidité du sol,mV,554.4
2025-06-18 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.9
2025-06-18 13:00:00,Température,Température,°C,29.2
2025-06-18 12:00:00,L'humidité du sol,L'humidité du sol,mV,553.9
2025-06-18 12:00:00,Température,Température,°C,28.6
