Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 09:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 09:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-19 08:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-19 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 07:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 07:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-19 07:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 06:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-19 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-19 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-19 05:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 23:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 23:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 23:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 22:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 22:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 22:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 21:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 21:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 21:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 20:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 20:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 20:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 19:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 19:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 19:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 18:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 18:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 18:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 17:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 17:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 17:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 16:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 16:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 16:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 15:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 15:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 15:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 14:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 14:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 14:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 13:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 13:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 13:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 12:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 12:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 12:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 11:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 11:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 11:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 10:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 10:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 10:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 09:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 09:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 09:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 08:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 08:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 08:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 07:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 07:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 07:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 06:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 06:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 06:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 05:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 05:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 05:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 04:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 04:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 04:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 03:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
2025-06-18 03:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 03:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 02:00:00,Pluie quotidienne,Pluie quotidienne,mm,0.0
2025-06-18 02:00:00,Pluie Totale,Pluie Totale,mm,507.0
2025-06-18 02:00:00,Intensité de Pluie,Intensité de Pluie,mm/h,0.0
