Date,nom_ar,nom_fr,unite,valeur
2025-06-19 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-19 09:00:00,L'humidité du sol,L'humidité du sol,mV,612.1
2025-06-19 09:00:00,Température,Température,°C,28.0
2025-06-19 08:00:00,Température,Température,°C,28.1
2025-06-19 08:00:00,L'humidité du sol,L'humidité du sol,mV,612.2
2025-06-19 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.3
2025-06-19 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 07:00:00,L'humidité du sol,L'humidité du sol,mV,612.3
2025-06-19 07:00:00,Température,Température,°C,28.3
2025-06-19 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 06:00:00,Température,Température,°C,28.4
2025-06-19 06:00:00,L'humidité du sol,L'humidité du sol,mV,612.4
2025-06-19 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 05:00:00,L'humidité du sol,L'humidité du sol,mV,612.5
2025-06-19 05:00:00,Température,Température,°C,28.6
2025-06-19 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 04:00:00,Température,Température,°C,28.7
2025-06-19 04:00:00,L'humidité du sol,L'humidité du sol,mV,612.7
2025-06-19 03:00:00,Température,Température,°C,28.8
2025-06-19 03:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 03:00:00,L'humidité du sol,L'humidité du sol,mV,612.8
2025-06-19 02:00:00,Température,Température,°C,28.9
2025-06-19 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 02:00:00,L'humidité du sol,L'humidité du sol,mV,613.0
2025-06-19 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-19 01:00:00,Température,Température,°C,29.0
2025-06-19 01:00:00,L'humidité du sol,L'humidité du sol,mV,613.1
2025-06-19 00:00:00,L'humidité du sol,L'humidité du sol,mV,613.1
2025-06-19 00:00:00,Température,Température,°C,29.1
2025-06-19 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.4
2025-06-18 23:00:00,Température,Température,°C,29.1
