Date,nom_ar,nom_fr,unite,valeur
2025-06-19 11:00:00,L'humidité du sol,L'humidité du sol,mV,1.4
2025-06-19 11:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,17.6
2025-06-19 11:00:00,Température,Température,°C,27.2
2025-06-19 10:00:00,L'humidité du sol,L'humidité du sol,mV,1.0
2025-06-19 10:00:00,Température,Température,°C,27.2
2025-06-19 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,15.0
2025-06-19 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-06-19 04:00:00,L'humidité du sol,L'humidité du sol,mV,69.2
2025-06-19 04:00:00,Température,Température,°C,29.1
2025-06-19 02:00:00,L'humidité du sol,L'humidité du sol,mV,69.3
2025-06-19 02:00:00,Température,Température,°C,29.9
2025-06-19 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.2
2025-06-18 22:00:00,Température,Température,°C,30.4
2025-06-18 22:00:00,L'humidité du sol,L'humidité du sol,mV,1.6
2025-06-18 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.7
2025-06-18 20:00:00,Température,Température,°C,30.4
2025-06-18 20:00:00,L'humidité du sol,L'humidité du sol,mV,1.0
2025-06-18 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,16.8
2025-06-18 16:00:00,Température,Température,°C,28.5
2025-06-18 16:00:00,L'humidité du sol,L'humidité du sol,mV,2.8
2025-06-18 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.1
2025-06-18 10:00:00,L'humidité du sol,L'humidité du sol,mV,1.4
2025-06-18 10:00:00,Température,Température,°C,28.2
2025-06-18 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.3
2025-06-18 09:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.5
2025-06-18 09:00:00,Température,Température,°C,28.4
2025-06-18 09:00:00,L'humidité du sol,L'humidité du sol,mV,1.4
2025-06-18 08:00:00,L'humidité du sol,L'humidité du sol,mV,1.0
2025-06-18 08:00:00,Température,Température,°C,28.6
2025-06-18 08:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.0
2025-06-18 06:00:00,Température,Température,°C,29.1
2025-06-18 06:00:00,L'humidité du sol,L'humidité du sol,mV,30.8
2025-06-18 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.2
2025-06-18 05:00:00,Température,Température,°C,29.4
2025-06-18 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.8
2025-06-18 05:00:00,L'humidité du sol,L'humidité du sol,mV,30.2
2025-06-18 04:00:00,Température,Température,°C,29.7
2025-06-18 04:00:00,L'humidité du sol,L'humidité du sol,mV,21.9
2025-06-18 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.0
2025-06-18 02:00:00,L'humidité du sol,L'humidité du sol,mV,0.8
2025-06-18 02:00:00,Température,Température,°C,30.3
2025-06-18 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.7
2025-06-18 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.7
2025-06-18 01:00:00,Température,Température,°C,30.5
2025-06-18 01:00:00,L'humidité du sol,L'humidité du sol,mV,0.8
2025-06-18 00:00:00,L'humidité du sol,L'humidité du sol,mV,1.0
2025-06-18 00:00:00,Température,Température,°C,30.8
2025-06-18 00:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,13.2
2025-06-17 22:00:00,Température,Température,°C,31.0
2025-06-17 22:00:00,L'humidité du sol,L'humidité du sol,mV,1.1
2025-06-17 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.5
2025-06-17 21:00:00,Température,Température,°C,31.0
2025-06-17 21:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.8
2025-06-17 21:00:00,L'humidité du sol,L'humidité du sol,mV,1.6
2025-06-17 20:00:00,L'humidité du sol,L'humidité du sol,mV,2.8
2025-06-17 20:00:00,Température,Température,°C,30.3
2025-06-17 20:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.5
2025-06-17 16:00:00,Température,Température,°C,29.2
2025-06-17 16:00:00,L'humidité du sol,L'humidité du sol,mV,1.6
2025-06-17 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,3.6
2025-06-17 15:00:00,Température,Température,°C,28.5
2025-06-17 15:00:00,L'humidité du sol,L'humidité du sol,mV,4.3
2025-06-17 15:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,6.6
2025-06-17 12:00:00,Température,Température,°C,28.1
2025-06-17 12:00:00,L'humidité du sol,L'humidité du sol,mV,3.3
2025-06-17 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.9
2025-06-17 10:00:00,Température,Température,°C,28.0
2025-06-17 10:00:00,L'humidité du sol,L'humidité du sol,mV,1.9
2025-06-17 10:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.3
2025-06-17 06:00:00,L'humidité du sol,L'humidité du sol,mV,17.7
2025-06-17 06:00:00,Température,Température,°C,28.8
2025-06-17 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.6
2025-06-17 05:00:00,Température,Température,°C,29.4
2025-06-17 05:00:00,L'humidité du sol,L'humidité du sol,mV,25.1
2025-06-17 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.5
2025-06-17 02:00:00,Température,Température,°C,29.9
2025-06-17 02:00:00,L'humidité du sol,L'humidité du sol,mV,11.1
2025-06-17 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.5
2025-06-17 01:00:00,Température,Température,°C,30.3
2025-06-17 01:00:00,L'humidité du sol,L'humidité du sol,mV,0.8
2025-06-17 01:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.6
2025-06-16 22:00:00,Température,Température,°C,30.4
2025-06-16 22:00:00,L'humidité du sol,L'humidité du sol,mV,1.4
2025-06-16 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.6
2025-06-16 18:00:00,Température,Température,°C,29.6
2025-06-16 18:00:00,L'humidité du sol,L'humidité du sol,mV,1.7
2025-06-16 18:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.0
2025-06-16 17:00:00,Température,Température,°C,29.0
2025-06-16 17:00:00,L'humidité du sol,L'humidité du sol,mV,2.1
2025-06-16 17:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.7
2025-06-16 16:00:00,L'humidité du sol,L'humidité du sol,mV,2.4
2025-06-16 16:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.8
2025-06-16 16:00:00,Température,Température,°C,28.5
2025-06-16 13:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,7.3
2025-06-16 13:00:00,L'humidité du sol,L'humidité du sol,mV,3.3
2025-06-16 13:00:00,Température,Température,°C,27.5
2025-06-16 12:00:00,L'humidité du sol,L'humidité du sol,mV,6.0
2025-06-16 12:00:00,Température,Température,°C,27.2
2025-06-16 12:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,8.8
2025-06-16 07:00:00,Température,Température,°C,27.8
2025-06-16 07:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,10.5
2025-06-16 07:00:00,L'humidité du sol,L'humidité du sol,mV,34.1
2025-06-16 06:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.8
2025-06-16 06:00:00,L'humidité du sol,L'humidité du sol,mV,38.6
2025-06-16 06:00:00,Température,Température,°C,28.2
2025-06-16 05:00:00,L'humidité du sol,L'humidité du sol,mV,39.5
2025-06-16 05:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,9.0
2025-06-16 05:00:00,Température,Température,°C,28.5
2025-06-16 04:00:00,L'humidité du sol,L'humidité du sol,mV,38.9
2025-06-16 04:00:00,Température,Température,°C,29.0
2025-06-16 04:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.4
2025-06-16 02:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,12.7
2025-06-16 02:00:00,L'humidité du sol,L'humidité du sol,mV,32.2
2025-06-16 02:00:00,Température,Température,°C,29.4
2025-06-15 23:00:00,Température,Température,°C,30.0
2025-06-15 23:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,11.0
2025-06-15 23:00:00,L'humidité du sol,L'humidité du sol,mV,0.9
2025-06-15 22:00:00,Contenu volumétrique d'eau,Contenu volumétrique d'eau,%,14.4
2025-06-15 22:00:00,Température,Température,°C,30.1
2025-06-15 22:00:00,L'humidité du sol,L'humidité du sol,mV,0.9
