Date,nom_ar,nom_fr,unite,valeur
2025-06-19 11:00:00,Pression relative,Pression relative,hPa,259.0
2025-06-19 11:00:00,Niveau du fluid,Niveau du fluid,m,2.64
2025-06-19 10:00:00,Pression relative,Pression relative,hPa,259.0
2025-06-19 10:00:00,Niveau du fluid,Niveau du fluid,m,2.64
2025-06-19 08:00:00,Niveau du fluid,Niveau du fluid,m,2.66
2025-06-19 08:00:00,Pression relative,Pression relative,hPa,261.0
2025-06-19 06:00:00,Pression relative,Pression relative,hPa,260.0
2025-06-19 06:00:00,Niveau du fluid,Niveau du fluid,m,2.65
2025-06-19 04:00:00,Pression relative,Pression relative,hPa,260.0
2025-06-19 04:00:00,Niveau du fluid,Niveau du fluid,m,2.65
2025-06-19 02:00:00,Pression relative,Pression relative,hPa,260.0
2025-06-19 02:00:00,Niveau du fluid,Niveau du fluid,m,2.65
2025-06-19 00:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-19 00:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 22:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 22:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-18 20:00:00,Pression relative,Pression relative,hPa,261.0
2025-06-18 20:00:00,Niveau du fluid,Niveau du fluid,m,2.66
2025-06-18 18:00:00,Pression relative,Pression relative,hPa,259.0
2025-06-18 18:00:00,Niveau du fluid,Niveau du fluid,m,2.64
2025-06-18 16:00:00,Pression relative,Pression relative,hPa,259.0
2025-06-18 16:00:00,Niveau du fluid,Niveau du fluid,m,2.64
2025-06-18 15:00:00,Pression relative,Pression relative,hPa,259.0
2025-06-18 15:00:00,Niveau du fluid,Niveau du fluid,m,2.64
2025-06-18 14:00:00,Niveau du fluid,Niveau du fluid,m,2.65
2025-06-18 14:00:00,Pression relative,Pression relative,hPa,260.0
2025-06-18 12:00:00,Niveau du fluid,Niveau du fluid,m,2.66
2025-06-18 12:00:00,Pression relative,Pression relative,hPa,261.0
2025-06-18 10:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-18 10:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 08:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 08:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-18 06:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 06:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-18 05:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-18 05:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 04:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-18 04:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-18 02:00:00,Pression relative,Pression relative,hPa,261.0
2025-06-18 02:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-18 01:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-18 01:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-18 00:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-18 00:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-17 23:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-17 23:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-17 22:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-17 22:00:00,Niveau du fluid,Niveau du fluid,m,2.69
2025-06-17 21:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-17 21:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-17 20:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-17 20:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-17 18:00:00,Pression relative,Pression relative,hPa,260.0
2025-06-17 18:00:00,Niveau du fluid,Niveau du fluid,m,2.66
2025-06-17 16:00:00,Pression relative,Pression relative,hPa,261.0
2025-06-17 16:00:00,Niveau du fluid,Niveau du fluid,m,2.66
2025-06-17 14:00:00,Pression relative,Pression relative,hPa,261.0
2025-06-17 14:00:00,Niveau du fluid,Niveau du fluid,m,2.66
2025-06-17 12:00:00,Niveau du fluid,Niveau du fluid,m,2.67
2025-06-17 12:00:00,Pression relative,Pression relative,hPa,262.0
2025-06-17 10:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-17 10:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-17 08:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-17 08:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-17 06:00:00,Pression relative,Pression relative,hPa,264.0
2025-06-17 06:00:00,Niveau du fluid,Niveau du fluid,m,2.69
2025-06-17 02:00:00,Pression relative,Pression relative,hPa,264.0
2025-06-17 02:00:00,Niveau du fluid,Niveau du fluid,m,2.69
2025-06-17 01:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-17 01:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-17 00:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-17 00:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-16 22:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-16 22:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-16 20:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-16 20:00:00,Niveau du fluid,Niveau du fluid,m,2.69
2025-06-16 18:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-16 18:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-16 16:00:00,Niveau du fluid,Niveau du fluid,m,2.68
2025-06-16 16:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-16 14:00:00,Pression relative,Pression relative,hPa,263.0
2025-06-16 14:00:00,Niveau du fluid,Niveau du fluid,m,2.69
2025-06-16 12:00:00,Pression relative,Pression relative,hPa,264.0
2025-06-16 12:00:00,Niveau du fluid,Niveau du fluid,m,2.69
2025-06-16 11:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-16 11:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-16 10:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-16 10:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-16 08:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-16 08:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-16 06:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-16 06:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-16 05:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-16 05:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-16 04:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-16 04:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-16 02:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-16 02:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-16 00:00:00,Niveau du fluid,Niveau du fluid,m,2.72
2025-06-16 00:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-15 23:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-15 23:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-15 22:00:00,Niveau du fluid,Niveau du fluid,m,2.72
2025-06-15 22:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-15 21:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-15 21:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-15 20:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-15 20:00:00,Pression relative,Pression relative,hPa,266.0
2025-06-15 18:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-15 18:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-15 17:00:00,Pression relative,Pression relative,hPa,264.0
2025-06-15 17:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-15 16:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-15 16:00:00,Niveau du fluid,Niveau du fluid,m,2.7
2025-06-15 14:00:00,Pression relative,Pression relative,hPa,265.0
2025-06-15 14:00:00,Niveau du fluid,Niveau du fluid,m,2.71
2025-06-15 12:00:00,Pression relative,Pression relative,hPa,267.0
2025-06-15 12:00:00,Niveau du fluid,Niveau du fluid,m,2.72
2025-06-15 10:00:00,Niveau du fluid,Niveau du fluid,m,2.73
2025-06-15 10:00:00,Pression relative,Pression relative,hPa,268.0
2025-06-15 08:00:00,Niveau du fluid,Niveau du fluid,m,2.74
2025-06-15 08:00:00,Pression relative,Pression relative,hPa,269.0
2025-06-15 06:00:00,Pression relative,Pression relative,hPa,269.0
2025-06-15 06:00:00,Niveau du fluid,Niveau du fluid,m,2.74
2025-06-15 04:00:00,Pression relative,Pression relative,hPa,269.0
2025-06-15 04:00:00,Niveau du fluid,Niveau du fluid,m,2.74
2025-06-14 08:00:00,Pression relative,Pression relative,hPa,271.0
2025-06-14 08:00:00,Niveau du fluid,Niveau du fluid,m,2.77
2025-06-14 06:00:00,Pression relative,Pression relative,hPa,272.0
2025-06-14 06:00:00,Niveau du fluid,Niveau du fluid,m,2.77
2025-06-14 02:00:00,Pression relative,Pression relative,hPa,272.0
2025-06-14 02:00:00,Niveau du fluid,Niveau du fluid,m,2.77
2025-06-14 00:00:00,Pression relative,Pression relative,hPa,272.0
2025-06-14 00:00:00,Niveau du fluid,Niveau du fluid,m,2.78
2025-06-13 22:00:00,Pression relative,Pression relative,hPa,273.0
2025-06-13 22:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-13 20:00:00,Pression relative,Pression relative,hPa,272.0
2025-06-13 20:00:00,Niveau du fluid,Niveau du fluid,m,2.77
2025-06-13 18:00:00,Pression relative,Pression relative,hPa,271.0
2025-06-13 18:00:00,Niveau du fluid,Niveau du fluid,m,2.77
2025-06-13 16:00:00,Pression relative,Pression relative,hPa,271.0
2025-06-13 16:00:00,Niveau du fluid,Niveau du fluid,m,2.76
2025-06-13 14:00:00,Pression relative,Pression relative,hPa,272.0
2025-06-13 14:00:00,Niveau du fluid,Niveau du fluid,m,2.77
2025-06-13 12:00:00,Niveau du fluid,Niveau du fluid,m,2.78
2025-06-13 12:00:00,Pression relative,Pression relative,hPa,273.0
2025-06-13 10:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 10:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-13 08:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 08:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-13 06:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 06:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-13 05:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-13 05:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 04:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-13 04:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 02:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 02:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-13 01:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-13 01:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-13 00:00:00,Pression relative,Pression relative,hPa,275.0
2025-06-13 00:00:00,Niveau du fluid,Niveau du fluid,m,2.81
2025-06-12 22:00:00,Pression relative,Pression relative,hPa,275.0
2025-06-12 22:00:00,Niveau du fluid,Niveau du fluid,m,2.81
2025-06-12 20:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-12 20:00:00,Pression relative,Pression relative,hPa,275.0
2025-06-12 18:00:00,Pression relative,Pression relative,hPa,273.0
2025-06-12 18:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-12 16:00:00,Pression relative,Pression relative,hPa,273.0
2025-06-12 16:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-12 14:00:00,Pression relative,Pression relative,hPa,274.0
2025-06-12 14:00:00,Niveau du fluid,Niveau du fluid,m,2.79
2025-06-12 12:00:00,Pression relative,Pression relative,hPa,275.0
2025-06-12 12:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-12 10:00:00,Pression relative,Pression relative,hPa,275.0
2025-06-12 10:00:00,Niveau du fluid,Niveau du fluid,m,2.8
2025-06-12 08:00:00,Pression relative,Pression relative,hPa,276.0
