Date,nom_ar,nom_fr,unite,valeur
2025-06-19 11:00:00,Température,Température,°C,24.4
2025-06-19 11:00:00,Vitesse du vent,Vitesse du vent,m/s,2.63
2025-06-19 11:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,926.3
2025-06-19 11:00:00,Direction du vent,Direction du vent,Deg,334.1
2025-06-19 11:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.27
2025-06-19 11:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 11:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,935.0
2025-06-19 11:00:00,Point de Rosée,Point de Rosée,°C,10.1
2025-06-19 11:00:00,Humidité relative,Humidité relative,%,40.6
2025-06-19 10:00:00,Point de Rosée,Point de Rosée,°C,9.5
2025-06-19 10:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 10:00:00,Vitesse du vent,Vitesse du vent,m/s,2.75
2025-06-19 10:00:00,Température,Température,°C,23.7
2025-06-19 10:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,926.8
2025-06-19 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,803.0
2025-06-19 10:00:00,Direction du vent,Direction du vent,Deg,18.4
2025-06-19 10:00:00,Humidité relative,Humidité relative,%,40.6
2025-06-19 10:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.27
2025-06-19 08:00:00,Température,Température,°C,20.7
2025-06-19 08:00:00,Humidité relative,Humidité relative,%,54.8
2025-06-19 08:00:00,Point de Rosée,Point de Rosée,°C,11.3
2025-06-19 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,423.0
2025-06-19 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-06-19 08:00:00,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,8.27
2025-06-19 08:00:00,Direction du vent,Direction du vent,Deg,320.1
