Salle_de_cinema,Film,Date_debut,Date-fin,Billets_restants,Billets_vendus
4 eme art,LAMB (CM),2018-11-10T00:00:00,2018-11-10T00:00:00,309,71
4 eme art,Karmen Gei,2018-11-10T00:00:00,2018-11-10T00:00:00,281,99
4 eme art,The Journey ,2018-11-10T00:00:00,2018-11-10T00:00:00,130,250
4 eme art,Joi Baba Felunath _The Elephant God ,2018-11-09T00:00:00,2018-11-09T00:00:00,320,60
4 eme art,Starless Dreams ,2018-11-09T00:00:00,2018-11-09T00:00:00,141,239
4 eme art,Maria  Kum,2018-11-09T13:00:00,2018-11-09T15:02:00,304,76
4 eme art,Tare Zameen Par,2018-11-08T19:00:00,2018-11-08T21:45:00,275,105
4 eme art,Scheherazade’s Diaries ,2018-11-08T16:00:00,2018-11-08T17:20:00,65,315
4 eme art,SIR MONSIEUR ,2018-11-08T13:00:00,2018-11-08T14:39:00,291,89
4 eme art,Trois et Demi ,2018-11-07T19:00:00,2018-11-07T21:01:00,282,98
4 eme art,Violently in love ,2018-11-07T16:00:00,2018-11-07T17:16:00,87,293
4 eme art,Newton,2018-11-07T13:00:00,2018-11-07T14:44:00,279,101
4 eme art,Charulata  - The Lonely Wife ,2018-11-06T19:00:00,2018-11-06T20:53:00,283,97
4 eme art,On Her Shoulders ,2018-11-06T16:00:00,2018-11-06T17:16:00,129,251
4 eme art,Lady of the lake ,2018-11-06T13:00:00,2018-11-06T14:12:00,328,52
4 eme art,PROGRAMME B ,2018-11-05T16:00:00,2018-11-05T20:15:00,149,231
4 eme art,OBSTINÉE - A thousand girls like me ,2018-11-05T16:00:00,2018-11-05T17:21:00,250,130
4 eme art,En Guerre,2018-11-05T13:00:00,2018-11-05T14:53:00,311,69
4 eme art,PROGRAMME A,2018-11-04T19:00:00,2018-11-04T20:14:00,221,159
4 eme art,JIRGA,2018-11-04T16:00:00,2018-11-04T17:18:00,264,116
4 eme art,Lemonade,2018-11-04T13:00:00,2018-11-04T14:28:00,284,96
ABC,WASTE LAND ,2018-11-10T20:30:00,2018-11-10T22:10:00,392,108
ABC,cinema +100 ,2018-11-10T17:30:00,2018-11-10T18:25:00,369,131
ABC,Cinema Novo,2018-11-10T14:30:00,2018-11-10T16:00:00,431,69
ABC,Samouni Road,2018-11-09T20:30:00,2018-11-09T22:38:00,356,144
ABC,My Home In Libya,2018-11-09T17:30:00,2018-11-09T18:36:00,370,130
ABC,president dia,2018-11-09T14:30:00,2018-11-09T15:24:00,433,67
ABC,SUBUTEX ,2018-11-08T20:30:00,2018-11-08T22:12:00,1,499
ABC,"Erased, ascent of the invisible   ",2018-11-08T17:30:00,2018-11-08T18:46:00,40,460
ABC,WHY ARE WE CREATIVE? ,2018-11-08T14:30:00,2018-11-08T15:52:00,0,500
ABC,WE COULD BE HEROES ,2018-11-07T20:30:00,2018-11-07T20:30:00,161,339
ABC,Rencontrer mon père ,2018-11-07T17:30:00,2018-11-07T17:30:00,332,168
ABC,PROGRAMME C.M B ,2018-11-07T14:30:00,2018-11-07T15:54:00,295,205
ABC,SILAS,2018-11-06T20:30:00,2018-11-06T21:50:00,428,72
ABC,Of Fathers And Sons ,2018-11-06T17:30:00,2018-11-06T19:08:00,0,500
ABC,FAHAVALO MADAGASCAR 1947 ,2018-11-06T14:30:00,2018-11-06T16:00:00,395,105
ABC,Girl Of The Moon ,2018-11-05T20:30:00,2018-11-05T21:30:00,0,500
ABC,You come From far away ,2018-11-05T17:30:00,2018-11-05T18:54:00,181,319
ABC,PROGRAMME C.M A ,2018-11-05T14:30:00,2018-11-05T15:41:00,419,81
ABC,KINSHASA MAKAMBO ,2018-11-04T20:30:00,2018-11-04T21:45:00,420,80
ABC,Amal,2018-11-04T17:30:00,2018-11-04T18:53:00,0,500
ABC,le futur dans le retro,2018-11-04T14:30:00,2018-11-04T15:59:00,424,76
Africa,Tanit D'or_Compétition officielle Fiction ,2018-11-11T20:30:00,2018-11-11T22:30:00,0,280
Africa,Tanit d'argent_Compétition officielle Fiction,2018-11-11T18:00:00,2018-11-11T20:00:00,0,280
Africa,Tanit de Bronze_Compétition officielle Fiction,2018-11-11T15:30:00,2018-11-11T17:30:00,1,279
Africa,Première oeuvre_Prix Taher Cheriaa ,2018-11-11T13:00:00,2018-11-11T15:00:00,224,56
Africa,Aquarius,2018-11-10T15:00:00,2018-11-10T17:26:00,282,98
Africa,Irak année zéro ,2018-11-09T18:00:00,2018-11-09T23:34:00,309,71
Africa,Animal World ,2018-11-09T15:00:00,2018-11-09T16:11:00,334,46
Africa,The Journey ,2018-11-08T20:35:00,2018-11-08T21:57:00,154,226
Africa,The Silence of The Shefhers ,2018-11-08T18:00:00,2018-11-08T19:44:00,100,280
Africa,Babylon My Love ,2018-11-08T15:00:00,2018-11-08T16:47:00,100,280
Africa,THE WATCHMAN ,2018-11-07T20:30:00,2018-11-07T22:00:00,260,120
Africa,Life After The Fall ,2018-11-07T18:00:00,2018-11-07T19:41:00,120,280
Africa,PROGRAMME CM 2 ,2018-11-07T15:00:00,2018-11-07T15:51:00,306,74
Africa,APATRIDE,2018-11-06T20:30:00,2018-11-06T22:04:00,88,292
Africa,The Thirsties,2018-11-06T18:00:00,2018-11-06T19:27:00,284,96
Africa,Before snowfall ,2018-11-06T15:00:00,2018-11-06T16:45:00,0,380
Africa,LADY OF THE LAKE ,2018-11-05T20:30:00,2018-11-05T21:42:00,56,44
Africa,LE PRIX DU PARDON ,2018-11-05T18:00:00,2018-11-05T19:30:00,72,28
Africa,PROGRAMME CM 1 ,2018-11-05T15:00:00,2018-11-05T15:55:00,362,18
Agora,Tare Zameen Par ,2018-11-10T20:30:00,2018-11-10T23:15:00,0,101
Agora,Touki Bouki,2018-11-10T17:30:00,2018-11-10T19:05:00,55,46
Agora,"Erased, ascent of the invisible   ",2018-11-10T14:30:00,2018-11-10T15:46:00,5,96
Agora,RAFIKI,2018-11-09T20:30:00,2018-11-09T21:52:00,0,101
Agora,The Journey ,2018-11-09T17:30:00,2018-11-09T18:52:00,2,99
Agora,À Genoux Les Gars ,2018-11-09T14:30:00,2018-11-09T16:08:00,78,23
Agora,LADY OF THE LAKE ,2018-11-08T20:30:00,2018-11-08T21:42:00,0,101
Agora,SILAS,2018-11-08T17:30:00,2018-11-08T18:80:00,65,36
Agora,Cinema Novo,2018-11-07T20:30:00,2018-11-07T21:56:00,92,9
Agora,SOFIA,2018-11-07T20:30:00,2018-11-07T21:56:00,0,101
Agora,PROGRAMME C.M A ,2018-11-07T17:30:00,2018-11-07T18:41:00,87,14
Agora,LAMB (CM),2018-11-07T14:30:00,2018-11-07T14:48:00,85,16
Agora,Gabriel et la montagne,2018-11-06T20:30:00,2018-11-06T22:37:00,0,101
Agora,Samouni Road,2018-11-06T17:30:00,2018-11-06T19:38:00,76,25
Agora,Simulation ,2018-11-06T14:30:00,2018-11-06T15:54:00,76,25
Agora,JIRGA,2018-11-05T20:30:00,2018-11-05T21:48:00,0,101
Agora,SIR MONSIEUR ,2018-11-05T17:30:00,2018-11-05T19:09:00,62,39
Agora,Terre en transe,2018-11-05T14:30:00,2018-11-05T16:25:00,86,15
Agora,Los perros – MARIANA,2018-11-04T20:30:00,2018-11-04T22:04:00,101,0
Agora,My Home In Libya,2018-11-04T17:30:00,2018-11-04T18:36:00,42,59
Agora,Namme,2018-11-04T14:30:00,2018-11-04T16:01:00,96,5
Alhambra Zephyr,Une affaire de famille,2018-11-10T21:30:00,2018-11-10T23:31:00,391,3
Alhambra Zephyr,LE PRIX DU PARDON ,2018-11-10T18:30:00,2018-11-10T20:00:00,289,105
Alhambra Zephyr,Laaziza,2018-11-10T15:30:00,2018-11-10T16:50:00,52,342
Alhambra Zephyr,Rencontrer mon père ,2018-11-09T21:30:00,2018-11-09T23:20:00,309,85
Alhambra Zephyr,My dear son,2018-11-09T18:30:00,2018-11-09T20:13:00,0,394
Alhambra Zephyr,Before snowfall ,2018-11-09T15:30:00,2018-11-09T17:15:00,255,139
Alhambra Zephyr,CAMP DE THIAROYE ,2018-11-08T21:30:00,2018-11-08T23:57:00,354,40
Alhambra Zephyr,Regarde-moi ,2018-11-08T18:30:00,2018-11-08T20:08:00,0,394
Alhambra Zephyr,YARA,2018-11-08T15:30:00,2018-11-08T17:11:00,233,161
Alhambra Zephyr,You come From far away ,2018-11-07T21:30:00,2018-11-07T22:54:00,192,202
