Statistiques- Centre- national-du Cinema-et-de-l -image ;;;2022
التظاهرات;;;
عدد التظاهرات التي نظمها المركز;;;2
عدد التظاهرات الوطنية التي شارك في تنظيمها او دعمها المركز;;;14
كلفة الدعم (الوحدة :بالدينار);;;374000
عدد التظاهرات الجهوية التي شارك في تنظيمها او دعمها المركز;;;14
كلفة الدعم (الوحدة :بالدينار);;;374000
عدد التظاهرات الدولية التي شارك في تنظيمها   او دعمها المركز;;;0
كلفة الدعم (الوحدة :بالدينار);;;0
أيام قرطاج السينمائية;;;
ميزانية المهرجان ;;;3 322 000
منحة الدولة ;;;2 547 000
مداخيل الإستشهار ;;;677 000
مداخيل بيع التذاكر;;;98 000
معطيات حول أيام قرطاج السينمائية ;;;
العدد الجملي للدخول للمهرجان;;;45525
العدد الجملي للتذاكر التي تم بيعها;;;11663
عدد التذاكر التي اقتنتها  فئة التلاميذ و الطلبة;;;14985
العدد الجملي للإشتراكات التي تم بيعها;;;0
عدد الإشتراكات التي اقتنتها فئة التلاميذ والطلبة;;;0
عدد التذاكر التي تم بيعها عبر الخط ;;;5265
الأفلام المعروضة في أيام قرطاج السينمائية;;;
عدد الأفلام الطويلة التي تم عرضها خلال المهرجان;;;100
عدد الأفلام القصيرة التي تم عرضها خلال المهرجان;;;66
عدد العروض داخل الوحدات السجنية ;;;7
عدد المساجين الذين واكبوا العروض داخل الوحدات السجنية;;;14320
عدد العروض في إطار أيام قرطاج السينمائية بالجهات ;;;13
عدد الدخول للعروض السينمائية في إطار أيام قرطاج السينمائية بالجهات ;;;3270
المكتبة السينمائية;;;
عدد العروض السينمائية التي نظمتها المكتبة ;;;237
عدد الدخول للعروض التي نظمتها المكتبة ;;;7774
عدد التذاكر التي تم بيعها  في  العروض التي قدمنتها المكتبة;;;2202
عدد الأفلام التي تم عرضها في إطار نشاط المكتبة ;;;243
قاعات السينما التابعة للمركز;;;
عدد قاعات السينما المستغلة من طرف المركز;;;1
عدد العروض السينمائية التي تم عرضها بالقاعات المستغلة من المركز;;;237
مداخيل العروض السينمائية بالقاعات المستغلة من المركز;;;5 824
عدد الدخول للعروض التي تم تنظيمها بالقاعات المستغلة من المركز ;;;7774
الدعم ;;;
عدد الأفلام الروائية(   long metrage -fiction) الطويلة الي  تم دعم  إنتاجها(سنويا);;;14
كلفةدعم إنتاج الأفلام الروائية الطويلة ;;;2016000
عدد الأفلام الروائية  القصيرة (court metrage -fiction )  التي تم  دعم إنتاجها (سنويا);;;17
كلفةدعم إنتاج الأفلام الروائية القصيرة;;;730000
عدد الأفلام الوثائقية (    long metrage documentaire ) الطويلة الي تم دعم إنتاجها(سنويا);;;7
كلفة دعم إنتاج الأفلام الوثائقية الطويلة ;;;264000
عدد الأفلام الوثائقية القصيرة (court metrage documentaire )  التي  تم دعم إنتاجها (سنويا);;;0
كلفةدعم إنتاج الأفلام الوثائقية القصيرة;;;0
عدد الأفلام الطويلة المدعومة التي تم استكمال إنجازها(سنويا);;;3
عدد الأفلام القصيرة المدعومة التي تم استكمال إنجازها(سنويا);;;1
عدد السيناريوات(أفلام طويلة )التي تم دعمها:(aide à l'écriture) (سنويا);;;4
كلفةدعم المساعدة على كتابة سيناريو الأفلام الطويلة ;;;24000
عدد السيناريوات(أفلام قصيرة)التي تم دعمها(aide à l'écriture )(سنويا);;;0
كلفةدعم المساعدة على كتابة سيناريو الأفلام القصيرة;;;0
عدد الأفلام التي تم انتاجها في إطار الشراكة;;;13
عدد قاعات السينما التي تم تأهيلها;;;1
كلفة تأهيل قاعات السينما;;;253 000
كلفة اقتناء الحقوق التجارية للأفلام السينمائية;;;0
عدد الأفلام التونسية التي تم اقتناء الحقوق التجارية الخاصة بها;;;0
عدد الجمعيات التي تم دعمها;;;14
كلفة دعم الجمعيات;;;374 000
