Associations-culturelles,Montant-2017,Montant-2018,Montant-2019,Montant-2020
جمعية رقش للثقافة والفن والتصميم,1000,0,5000,0
جمعية مكتريس للفروسية والمحافظة على التراث ,1000,0,0,0
جمعية ايكولوجيا,1000,1500,0,0
جمعية مكتبتي,2000,4000,5000,0
الجمعية المحلية للفروسية والرماية بمكثر,13000,3000,3500,0
جمعية حماية التراث ببر سليانة,3000,3000,3500,2500
جمعية أحباء المكتبة والكتاب بالكريب,1000,0,0,0
جمعية أحباء المكتبة والكتاب بمكثر,2000,1000,0,0
جمعية ابن خلدون للدراسات التاريخية,3000,3000,0,0
جمعية منارات,1000,1000,0,0
الجمعية التونسية للمتقاعيدن بسليانة,500,0,0,0
جمعية أكسيجين,1500,0,0,0
جمعية الاتحاف,1000,0,1000,0
جمعية قدماء المعهد العالي للتنشيط الثقافي,1000,0,0,0
جمعية أحباء المكتبة والكتاب بمكثر,2000,1000,0,0
جمعية أحباء المكتبة والكتاب الروحية,800,1000,0,0
جمعية فن المريمة والفعل المسرحي ,10000,3000,3000,0
جمعية مكتبتي,4000,4000,5000,0
جمعية الفن للجميع قعفور,5000,0,0,0
جمعية أردي للثقافة والفنون,0,0,1000,0
الجمعية التونسية لألعاب الفروسية بورويس,0,5000,5000,10000
جمعية الملتقى الوطني أحمد بن أبي الضياف سليانة,0,0,3000,0
