Associations,Cadre,Subvention,Nombre_de_spectacles_musicaux,Nombre_de_spectacles_theatrales
الجامعة الوطنية لجمعيات احباء و الكتاب,مدن الآداب والكتاب,1500,0,0
جمعية شكري بلعيد للابداع و الفنون,مدن الفنون,3500,0,0
جمعية احبك يا وطني للتنمية الثقافية و الاجتماعية,مدن الفنون,5000,0,0
جمعية حماة اللغة العربية,مدن الآداب والكتاب,1100,0,0
جمعية حومتنا للتنشيط الثقافي,مدن الفنون,3000,0,0
جمعية قدماء جامع الزيتونة,مدن الآداب والكتاب,1500,0,0
جمعية تونس للابداع و السياحة الثقافية,مدن الحضارات,2000,0,0
جمعية تونس الفتاة,مدن الفنون,3200,0,0
جمعية خليج الكرم للتنمية الثقافية,مدن الفنون,7000,0,0
جمعية الرابطة العربية للفنون و الابداع,مدن الآداب والكتاب,2200,0,0
جمعية فن السطمبالي,مدن الحضارات,5000,2,0
الجمعية التونسية للنقد السينمائي,مدن الفنون,1900,0,0
جمعية مهرجان البحر الابيض المتوسط,المهرجانات والتظاهرات,13000,7,5
جمعية خليج الكرم للتنمية الثقافية,المهرجانات والتظاهرات,5900,2,1
جمعية احبك يا وطني للتنمية الثقافية و الاجتماعية,المهرجانات والتظاهرات,4400,3,1
جمعية الثقافة للمسرح و التنشيط,مدن الآداب والكتاب ,5900,0,0
الجمعية الدولية للثقافة و الفنون,مدن الآداب والكتاب ,4000,0,0
جمعية المهرجان الدولي لمسرح الاطفال,مدن الفنون,14000,0,5
جمعية تراثنا,مدن الحضارات,0,1,0
