Nom-de-festivals,Date-debut,Date-fin,Subvention-directe,Autres_subventions,Valeur_de-soutien-autres-parties
تونس مديتة الاداب و الكتاب,2018-01-01,2018-01-15,0,40.000,0
المهرجان الدولي لالعاب الخفة و الالعاب السحرية,2018-03-18,2018-03-23,0,7.000,0
تظاهرة احياء و فنون بالكبارية,2018-04-06,2018-04-07,0,40.000,0
ملتقى رقص و ايقاع بالعمران,2018-05-03,2018-05-06,0,5.000,0
مهرجان احمد عامر للطفل المسرحي,2018-05-02,2018-05-03,7.000,0.800,0
ليالي باب سويقة,2018-05-20,2018-06-04,0,50.000,0
ليالي رمضان بالاحياء الشعبية,2018-06-06,2018-06-08,0,56.000,0
المهرجان الدولي للشعر,2018-06-27,2018-06-30,4.000,0,0
المهرجان الصيفي للاطفال بالكرم الغربي,2018-07-10,2018-07-15,0,2.700,3.450
الايام الثقافية بسيدي حسين,2018-07-17,2018-07-20,0,3.400,0
الليالي الصيفية بجبل الجلود,2018-07-17,2018-07-23,0,10.900,0.600
مهرجان الشاطئ بالكرم الشرقي,2018-07-18,2018-07-25,5.900,5.100,3.950
المهرجان الصيفي بالوردية,2018-07-14,2018-07-20,0,11.600,0
مصيف الكتاب بالمرسى,2018-07-19,2018-07-28,0,12.500,0
مهرجان منور صمادح للشعر,2018-07-20,2018-07-22,5.900,0,0
مهرجان البحر الابيض المتوسط بحلق الوادي,2018-07-20,2018-08-12,13.000,9.000,61.300
الايام الثقافية بحي الخضراء,2018-07-24,2018-07-26,0,1.000,0
مهرجان الحرايرية الصيفي,2018-07-25,2018-07-28,4.400,9.600,0
مهرجان السمك بحلق الوادي,2018-08-16,2018-08-17,0,0,12.650
مهرجان نسمات صيفية بقمرت,2018-09-01,2018-09-08,0,6.300,15.200
الايام الثقافية بحي الزهور,2018-09-11,2018-09-21,0,6.500,15.000
ايام الموسيقى الالاتية,2018-10-25,2018-10-27,0,14.000,0
