,,
associations,Programmes,Budget en Dinars
جمعيّة الإبداع المسرحي,مشروع المرناقيّة تتنفّس فنّ,4000 د
جمعيّة أحبّك يا وطني للثقافة والتنمية الإجتماعيّة,الدورة التاسعة للمهرجان الدولي للإبداع الثقافي من 23 إلى25ماي2024,12000 د
جمعيّة تراثنا,مشروع تونسنا البيّة,5600 د
الجمعيّة التونسيّة للحفاظ على مواطن الذاكرة,البرنامج العلمي ضمن الدورة 33 لشهر التراث,6800 د
جمعيّة مهرجان سيدي علي الحطّاب,الدورة 46 لمهرجان سيدي علي الحطّاب,8000 د
جمعيّة محبّي الخيول التونسيّة,الدورة الرابعة للمهرجان سيدي احمد الدندان,7000 د
جمعيّة مسار للتنمية الثقافيّة,"مشروع ""دقيقة سينما"" بمنّوبة 2024",13200 د
الجمعيّة الثقافيّة السينما توغرفيّة عتيق,الدورة 28 للمهرجان الصيفي بوادي الليل,6000 د
جمعيّة الابتكار  والتجديد ,الدورة 30 لمهرجان الجواد البربري بالبطّان,6000 د
جمعيّة الإبداع بشوّاط,الدورة 29 للمهرجان الصيفي بالجديّدة,6000 د
جمعيّة آفاق النجاح,الدورة 33 للمهرجان الصيفي بدوّار هيشر,6000 د
وداديّة أعوان وموظّفي المندوبيّة الجهويّة للثقافة بمنّوبة,,18000 د
