Association,subvention_2015,subvention_2016,subvention_2017,subvention_2018,subvention_2019,subvention_2020
جمعية ماجورات قصر هلال,,,5000,2000,4000,7000
جمعية لؤلؤة مهرجان عروس البحر,,,,,,3000
جمعية الشباب للموسيقى العربية بالمنستير,10000,3000,10000,,5000,5000
الجمعية المتوسطية للفنون التشكيلية المعاصرة بالمنستير,,5000,4000,2000,,3500
الجمعية الاورومتوسطية للثقافة و الترفيه بالمنستير,,2000,13000,,,5000
جمعية أبولون للثقافة و الفنون بقصر هلال ,6000,,,3000,2000,3000
جمعية صيانة مدينة لمطة,5000,5000,5000,8000,5000,4000
جمعية الابداع الثقافي ببو حجر,4000,3000,6500,11000,,2000
جمعية فن الطهي للجميع,,,,5000,2000,5000
جمعية الرباط الفني بالمنستير,,,2500,,2000,4000
جمعية مهرجان جديرة للأدب الشعبي بالمكنين,3000,4000,4000,5000,6000,7000
جمعية المبدعون الشبان بالمنستير,,,,5000,3000,2000
جمعية روافد للفنون و الثقافات,,,,,3000,3000
جمعية سينمامكنة بالمكنين,,,,,,2000
جمعية عمار الأرض بجمال,,,,,,2000
جمعية مهرجان المنستير الدولي,,,,,,6500
جمعية العمل الثقافي بالمعهد العالي للغات المطبقة بالمكنين,2000,8000,2500,1000,,2000
الجمعية التونسية للعلوم و التنمية الإدارية,,,,3000,,4000
جمعية مكنة للتراث الموسيقي,4000,8000,3000,,,
جمعية الفنون الجميلة بالمنستير,4000,5000,5000,5000,6000,
الجمعية التونسية للتربية و الثقافة و العلوم بجمال ,8000,2000,,,,
جمعية روافد للفن المسرحي بالمكنين,6000,3000,,,,
جمعية أمواج المسرح بالمنستير,4500,,,1000,,
جمعية صالون الربيع الثقافي بقصيبة المديوني ,1000,4500,2500,7000,3000,
جمعية قدماء المعهد العالي للتنشيط الثقافي,6000,2500,,,,
جمعية اوكسيجين للثقافة و العلوم بالمنستير,,1500,,,,
جمعية كورال المؤسسات التربوية بالمنستير,,1000,,,,
جمعية المنظمة الوطنية للشباب تونس,,1000,1000,,,
اتحاد الكتاب التونسيين,,2000,,,,
جمعية المعهد الرشيدي للموسيقى التونسية,,2000,2000,4000,4000,
جمعية البديل الثقافي,,2000,,,1000,
جمعية العطاء المسرحي بالساحلين,,3500,,,,
جمعية ثقافة و ترفيه بالمكنين,,2000,,,,
جمعية مهرجان سيدي سالم ببني حسان,,,4000,3000,2000,
نادي الأجيال بالمنستير,,,1000,3000,,
جمعية طب ثقافة فن بالمنستير,,,1000,,,
المهرجان الوطني للزربية بقصيبة المديوني,,,3000,3000,,
جمعية مهرجان لبتيس الاثري بلمطة,,,3000,,,
جمعية مهرجان ام الزين للتراث الشعبي بجمال,,,3000,29500,,
جمعية الادب و الفنون,,,3000,5000,6000,3000
جمعية الصيانة و النهوض بمدينة سيدي عامر ,,,3000,,,
جمعية المهرجان ببنان,,,5000,6000,3000,
جمعية السلام للانشاد,,,3000,3000,,
جمعية الترفيه الشبابي و الرياضي,,,15000,,,
جمعية صيانة المدينة ببنان,,,2000,,,
جمعية احباء المكتبة و الكتاب,,,,8000,,
جمعية أصدقاء نادي الشباب بالشراحيل,,,,1000,1000,
جمعية مهرجان النسيج للثقافة و التراث بقصر هلال,,,,3000,,
جمعية زيت الزيتون جمال,,,,3000,,
جمعية مهرجان سعيد بو بكر,,,,3000,,
الجمعية التونسية لمستقبل العلوم و التكنولوجيا,,,,3000,,
جمعية صيانة مدينة البقالطة,,,,,3000,
