Nom-des-festivals,Subvention-ministere-2017,Soutien-par-ministere-2017,Subvention-commissariat-2017,Soutien-par-commissariat-2017,Subvention-commissariat-2018,Subvention-ministere-2018,Soutien-par-ministere-2018,Soutien-par-commissariat-2018,Soutien-par-commissariat-2019,Soutien-par-commissariat-2020
أيام قرطاج المسرحية بتطاوين,0,0,0,0,0,0,5.000,0,0,0
المهرجان الوطني لطفولة بغمراسن,4.000,0,4.000,8.000,5.000,0,0,5.000,5.000,0
مهرجان الخوي للترث و الاصالة,0,5.000,4.000,0,4.000,0,0,7.000,0,0
ملتقى الجنوب للثقافة و الفنون,6.000,10.000,5.000,0,5.000,14.000,15.000,5.000,0,0
المهرجان الدولي للقصور الصحراوية تطاوين,65.000,14.000,12.000,9.000,15.000,80.000,20.000,16.000,35.000,20.000
مهرجان تراث ورغمة  جمعية تراث ورغمة بتطاوين,3.000,0,2.000,4.000,2.000,0,0,4.000,2.000,0
تياتروين  جمعية مدى للمسرح بتطاوين,5.000,0,4.000,0,5.500,0,0,0,0,11.000
المهرجان الوطني للجز بالصمار,0,0,6.000,0,7.000,0,0,0,7.000,0
مهرجان الحكاية,0,0,2.700,0,3.300,0,0,0,0,0
مهرجان ذكرى معركة رمثة,0,0,2.000,1.200,4.700,0,0,1.700,0,0
مهرجان الموسيقى الروحية,0,0,3.200,1.200,6.000,0,6.500,1.500,0,0
المهرجان الدولي عمر خلفت للمسرح,25.000,14.000,10.000,0,10.000,25.000,14.000,2.000,15.000,0
مهرجان عرس الطبل,0,7.000,4.000,0,4.000,0,0,0,0,0
المهرجان الصيفي تطاوين,0,27.000,0,21.000,0,0,17.500,12.500,0,0
مهرجان المدينة تطاوين,0,14.000,0,19.000,0,0,11.000,7.000,0,0
ليالي رمضان غمراسن,0,6.000,0,11.000,0,0,4.500,3.500,0,0
ليالي رمضان الصمار,0,3.500,0,3.000,0,0,3.500,4.000,0,0
ليالي رمضان ذهيبة,0,0,0,0,0,0,0,0,0,0
ليالي رمضان رمادة,0,0,0,0,0,0,0,0,0,0
ليالي رمضان الأحمر,0,0,0,0,0,0,4.000,3.500,0,0
الأيام الثقافية الصمار,0,0,0,0,8.500,0,4.500,3.500,0,0
الأيام الثقافية البئر الأحمر,0,0,0,0,7.500,0,5.500,3.500,0,0
مهرجان ورود الرمال برمادة,0,0,0,0,5.500,0,4.500,6.000,0,0
مهرجان امي ذهيبة,0,0,0,0,7.000,5.000,8.000,3.000,0,0
الأيام الثقافية غمراسن,0,0,0,0,0,0,6.000,7.000,0,0
جمعية حق و مواطنة  فلاش كولير,0,0,3.500,0,3.500,0,0,0,0,0
مهرجان الأحوة والإبداع جمعية الكوكب الإيجابي ,0,6.000,2.000,0,2.000,0,8.000,0,3.000,6.000
المهرجان الجهوي للمسرح بدور الثقافة ودور الشباب,0,0,0,0,0,0,0,0,0,0
المهرجان الإقليمي  للمسرح بدور الثقافة ودور الشباب,0,0,0,0,0,0,0,0,0,0
الملتقى الإقليمي للمطالعة بولاية الجنوب الشرقي مدنين تطاوين  قابس,0,0,0,0,6.500,4.000,0,0,0,0
مهرجان بني مهيرة للألعاب الشعبية,0,0,0,0,4.000,0,0,0,0,0
جمعية المحافظة على قصر تونكت,0,0,0,0,0,0,0,0,2.000,0
جمعية حق و مواطنة,0,0,0,0,0,0,0,0,0,0
جمعية ملتقى الجنوب للثقافة و الفنون,0,0,0,0,0,0,0,0,5.000,0
جمعية يقين,0,0,0,0,0,0,0,0,2.000,0
جمعية صيانة التراث,0,0,0,0,0,0,0,0,5.000,0
جمعية احباء المكتبة بتطاوين,0,0,0,0,0,0,0,0,4.000,0
جمعية حاملي الشهائد المهنية,0,0,0,0,0,0,0,0,0,3000
