Association,Secteur,Subvention
جمعية فن وارتقاء,الموسيقى والرقص,5000
جمعية المهرجان الدولي للفنون التشكيلية بالمحرس,الفنون التشكيلية,3250
جمعية ماغنوليا,الموسيقى والرقص,2000
جمعية فوانيس الثقافة ببئر علي بن خليفة,الآداب والكتاب,6000
جمعية محمد الجموسي للموسيقى المتوسطية,الموسيقى والرقص,3000
جمعية مسرح بلا حدود بالشيحية,خارج التصنيف,5000
جمعية الخنساء للابداع بصفاقس,الآداب والكتاب,3000
جمعية مهرجان سيدي مهذب بالصخيرة,المهرجانات والتظاهرات,4000
جمعية مهرجان الاصيل للموسيقى المغاربية,الموسيقى والرقص,5000
جمعية مهرجان الحاجوجة,المهرجانات والتظاهرات,9000
جمعية جسر الفنون,الفنون التشكيلية,5000
منتدى الفارابي للدراسات والبدائل,المهرجانات والتظاهرات,3000
