Non_ de _ festivals ,Budget ,Subvention_ ministère ,Subvention _ commissariat ,Subvention _régional ,Subvention _ conseil _ municipal,Subvention _ publicitaire ,Nbr _spectacle _ théâtral ,Mnt _ spectacle _ théâtral ,Nbr_ spectacle _ musicale ,Mnt_spectacle _musicale 
المهرجان الدولي للفيلم القصير بنابل Cine-etoile ,17٫321,0,8000,3000,0,0,0,0,1,6321
مهرجان نابل الدولي ,526٫315,80000,24000,5000,25000,19000,1,15000,0,0
المهرجان الصيفي بلبنة ,37٫9,0,0,0,0,5000,1,1800,1,7000
مهرجان اوسو بوكريم ,9٫079,0,0,0,0,0,1,2079,1,7000
مهرجان نسمات الحمامات ,80000,0,0,0,80000,0,0,0,0,0
مهرجان الفل و الياسمين بالحمامات ,10٫4,0,0,0,0,8000,0,0,0,0
المهرجان الثقافي الصيفي بالوديان ,19٫7,0,3000,3000,0,2000,1,2000,1,5000
مهرجان قربص للالوان ,25٫6,0,0,0,0,9800,2,4800,1,6000
مهرجان البحر بسلمان ,98٫45,0,0,0,25000,0,0,0,0,0
مهرجان الشاظئ بقربة ,10٫84,0,0,0,0,0,0,0,2,9340
مهرجان الشريفات الثقافي ,23٫75,0,0,0,5000,0,2,4400,1,5500
مهرجان زاوية الجديدي ,3240٫625,0,0,3500,5000,0,0,0,2,16440٫625
مهرجان الزين الصافي بقليبية ,18٫323,0,3000,0,0,0,0,0,2,13323
مهرجان العنب بقرمبالية ,237٫95,20000,7000,0,34800,6000,0,0,1,10000
مهرجان الفلفل منزل حر ,46٫857,0,0,0,0,27000,0,0,2,8587
المهرجان الصيفي بالخروبة ,17٫908,0,0,0,0,0,2,4800,2,9368
مهرجان المهاجر بالميدة ,34٫8,0,0,0,0,6000,2,4700,3,21000
مهرجان قروندا بوشراى,16,0,0,0,5000,0,1,2500,1,4000
المهرجان الوطنب لادباء الشبان ,14٫706,0,3000,0,0,0,1,4000,1,5806
