Non_de_festivals ,subvention _ministère ,subvention _commissariat ,Subvention_régional ,Subvention_conseil_municipal ,Subvention_publicitaire ,Nbr_spectacle_théâtral ,Mnt_spectacle _théâtral ,Nbr_spectacle_musical,Mnt_spectacle_musical ,Nbr_spectacle_animation ,Mnt_spectacle_animation 
مهرجان سوسة الدولي ,132400,5000,0,0,1000000,1,2400,1,5000,0,0
مهرجان القنطاوي,0,5000,0,0,9588,2,2500,1,5000,0,0
مهرجان النفيضة الصيفي,2300,18000,4000,10000,28000,2,8300,3,22500,0,0
مهرجان سيدي بوزعبية بزاوية سوسة,0,3000,0,0,0,1,1500,1,2000,0,0
مهرجان سيدي خليفة,2720,10500,0,0,0,1,2300,3,13220,0,0
مهرجان مرايا الفنون بالقلعة الكبرى,17426,7049,0,0,0,1,2300,4,29626,0,0
مهرجان بوفيشة الصيفي,14677,8000,0,0,0,1,4000,4,18677,0,0
مهرجان منزل المحطّة بسيدي بوعلي,0,14500,0,0,0,2,5200,3,11000,0,0
الأيام الثقافيّة الصيفيّة بسيدي بوعلي,5368,4640,0,0,0,0,0,2,9367,0,0
ليالي متحف سوسة,98794,21887,0,0,0,0,0,0,0,0,0
تظاهرة بو جعفر يحكي فنون,0,9344,0,10000,0,0,0,0,0,0,0
ليالي السينما بسوسة,5000,0,0,0,0,0,0,0,0,0,0
utopies visuelles,0,3442,0,0,0,0,0,0,0,0,0
الإحتفال باليوم الوطني للمرأة,0,0,0,0,0,0,0,0,0,0,0
مصيف الكتاب بحمام سوسة,0,0,0,0,0,0,0,0,0,0,0
مصيف المتاب بسوسة,0,9800,0,0,0,0,0,0,0,0,0
مصيف الكتاب بهرقلة,0,3329,0,0,0,0,0,0,0,0,0
مصيف الكتاب ببوفيشة,0,2698,0,0,0,0,0,0,0,0,0
مصيف الكتاب بالقلعة الصغرى,0,2227,0,0,0,0,0,0,0,0,0
مصيف الكتاب بسيدي بوعلي,0,726,0,0,0,0,0,0,0,0,0
