Non_de_festivals ,subvention _ministère ,subvention _commissariat ,Subvention_régional ,Subvention_conseil_municipal ,Subvention_publicitaire ,Nbr_spectacle_théâtral ,Mnt_spectacle _théâtral ,Nbr_spectacle_musical,Mnt_spectacle_musical ,Nbr_spectacle_animation ,Mnt_spectacle_animation 
مهرجان سوسة الدولي ,100000,0,0,40000,57500,0,0,0,0,0,0
مهرجان القنطاوي,0,0,0,0,0,0,0,1,8500,0,0
ليالي السينما بسوسة,0,0,0,0,0,0,0,0,0,0,0
استعراض أوسو,150000,0,15000,110000,150000,0,0,0,0,0,0
الأيام الثقافيّة بكندار,0,0,0,0,0,0,0,2,7500,0,0
مهرجان النفيضة الصيفي,0,0,4000,10000,9000,1,11000,3,34000,0,0
مهرجان منزل المحطّة بسيدي بوعلي,0,0,0,0,0,0,0,2,9000,0,0
الأيام الثقافيّة بالكنايس,0,0,0,0,0,0,0,2,0,1,3000
مهرجان مرايا الفنون بالقلعة الكبرى,0,13000,3000,0,8700,0,0,3,22124,0,0
مهرجان بوفيشة الصيفي,5000,0,1500,3500,800,0,0,2,15500,0,0
الأيام الثقافيّة الصيفيّة بسيدي بوعلي,,0,0,0,0,0,0,0,0,0,0
ليالي متحف سوسة,130000,0,0,0,3000,0,0,0,0,0,0
المهرجان الدولي للفيديوهات النوعيّة,0,0,0,0,,0,0,0,0,0,0
مهرجان سيدي بومنديل بهرقلة,0,0,0,0,8500,0,0,0,0,0,0
مهرجان أولادنا الصيفي بحي الزهور,0,0,0,0,0,2,4900,0,0,0,0
تظاهرات ايقاعات فنيّة بالقلعة الصغرى,0,0,0,0,0,0,0,3,14697,0,0
مهرجان سيدي بوزعبية بزاوية سوسة,0,0,15000,0,3000,0,0,0,0,0,0
السينما المتوسطيّة منارات,0,0,0,0,0,0,0,1,600,0,0
