Nom_Association,Subvention_2019,Subvention_2020
جمعية الفنون التشكيلية عمار فرحات,2 500,1 250
جمعية الأمل الجديد للمسرح,2 500,3 500
جمعية محمد الحيدري للمسرح,2 500,3 500
جمعية النجاح المسرحي الباجي,2 000,2 500
جمعية مسرح الناس المعقولة,0,2 000
جمعية القناع المسرحي بوادي الزرقاء,2 500,2 500
جمعية الحبيب الحداد للمسرح,2 500,1 250
جمعية تانيت للإبداع المسرحي,0,3 750
جمعية زهرة الشمال للفنون الركحية والتنمية الثقافية,0,1 000
جمعية جسور للمسرح والفنون بمجاز الباب,0,7 000
جمعية أحباء المكتبة والكتاب بباجة,0,0
جمعية أحباء المكتبة الجهوية والكتاب بباجة,1 500,2 500
جمعية أحباء المكتبة العمومية بنفزة,0,2 000
 جمعية أحباء دار الثقافة عمار فرحات,3 000,1 500
جمعية المالوف بمجاز الباب,0,2 500
جمعية النغم الجديد للموسيفى,1 000,1 000
جمعية الإبداع الفني,0,6 000
جمعية ابداع وفنون بباجة,0,0
جمعية  حنين للثقافة والفنون,0,1 500
جمعية بالفن,1 500,1 000
جمعية صوت الباعث,0,0
جمعية أحرار الوطن,0,4 000
جمعية ميثاق للتنمية والمواطنة,2 500,3 500
جمعية شباب التنمية بباجة,0,0
جمعية الحصاد والتنمية بعمدون,0,2 500
جمعية مهرجان المدينة بباجة,2 000,1 500
جمعية مهرجان الاجبان والنهوض بالتراث بباجة,1 000,2 000
جمعية صيانة مدينة تبرسق,1 000,1 250
جمعية فاقا للتراث والترفيه,2 000,1 500
جمعية ثقافة وحواربنفزة,0,2 000
جمعية أمة تقرأ  أمة ترتقي,0,500
جمعية أندلسيات للثقافة الاجتماعية بتستور,0,1 000
جمعية منتدى تنمية و تراث وبيئة,0,1 000
جمعية الطفل السعيد,0,500
الجمعية الوطنية للفنون والحرف التقليدية,0,1 000
جمعية النادي الثقافي علي القلصادي بباجة,0,1 000
