"Nom_Association","Subvention_2017","Subvention_2018"
"جمعية أحباء المكتبة و الكتاب بزغوان","2.000",""
"جمعية أراء للمدنية و المواطنة","3.000",""
"جمعية سواعد الخير لصيانة و ترميم قرية زريبة العليا","5.000",""
"جمعية أحباء المكتبة و الكتاب بزغوان","14.000",""
"جمعية مهرجان النسري بزغوان","13.000","13.000"
"جمعية مواطنة للتنمية الثقافية بالفحص","5.000",""
"جمعية كيفاش","2.500",""
"المهرجان الصيفي بزغوان","7.000",""
"جمعية مهرجان عيد الفسيفساء","8.000","8.000"
"جمعية التنمية المستديمة و التعاون الدولي بالزريبة","8.000","8.000"
"الجمعية الثقافية لمهرجان المياه المعدنية بجبل الوسط","8.000","8.000"
"جمعية كيفاش","10.000",""
"جمعية مواطنة للتنمية الثقافية بالفحص","10.000",""
"جمعية الرياضة للجميع بزغوان","5.000",""
"جمعية تيبوربوماجوس بالفحص","","8.000"
