Nom_Association,Subvention_2018,Subvention_2019,Subvention_2020
جمعية مهرجان قفصة الدولي,100000000,140000000,100000000
جمعية روافد للفنون الركحية والثقافية والابداع,11000000,0,0
جمعية أحباء دار الثقافة أم العرائس,4000000,32000000,0
جمعية احياء التراث بماجورة,4000000,0,0
جمعية صيانة سيدي أحمد زروق,4000000,0,0
جمعية أحباء الثقافة السند,11000000,0,4000.000
جمعية أحباء دار الثقافة القطار,21000000,23000000,11685000
جمعية أحباء المركب الثقافي ابن منظور,20700000,48450000,24675000
جمعية قفصة الثقافية والتنمية السياحية,2600000,0,0
جمعية أحباء الثقافة أم العرائس,7000000,0,0
جمعية أحباء دار الثقافة سيدي عيش,7000000,22750000,4302000
جمعية أحباء دار الثقافة المظيلة,7000000,0,3000000
جمعية احياء التراث الشعبي بأم العرائس,5000000,3500000,0
ودادية أعوان وزارة الثقافة بقفصة,43000000,111600000,123750000
الجمعية الثقافية للمحافظة على التراث والنهوض بالسياحة الجبلية بأم العلق,670000,3800000,0
جمعية شمل للذاكرة والتراث المنجمي,6500000,0,0
جمعية أحباء المكتبة والكتاب منزل ميمون,9000000,0,0
جمعية أحباء المكتبة والكتاب حي السرور,7000000,0,0
جمعية النجم الموسيقى النحاسية بقفصة,9000000,0,0
جمعية بلخير للمحافظة على التراث,6000000,6000000,0
جمعية مهرجان المغاور الجبلية بالسند,8000000,8000000,0
جمعية مهرجان ربيع السياحة بالقطار,12000000,12000000,0
جمعية مهرجان قفصة للمسرح,6000000,6000000,0
جمعية حماية وصيانة الواحة والمحيط بالقصر قفصة,13000000,0,0
جمعية الابداع الثقافي والتراث المنجمي بالرديف,4000000,11000000,6000000
جمعية مسرح الوفاء بقفصة,4000000,0,3000000
جمعية مسرح الصمود بأم العرائس,5000000,5000.000,0
جمعية الأمل المسرحي بالرديف,2000000,0,0
جمعية الفلاحة للثقافة والرياضة,1000000,0,0
جمعية آفاق كابصا,4200000,0,0
جمعية اتحاد الكتاب التونسيين فرع قفصة,5000000,0,0
جمعية جبر الماضي ودروس الذاكرة,5000000,0,0
جمعية الحرف الفنون بقفصة,0,3000000,0
فرع اتحاد الكتاب التونسيين بقفصة,0,14000000,6000000
جمعية قفصة الجميلة,0,5000000,0
جمعية القطار للمسرح,0,8000000,0
جمعية صيانة مدينة سيدي أحمد زروق,0,3000000,0
الجمعية التونسية للثقافة الشعبية,0,3000000,0
جمعية مسرح الوفاء للهواة,0,2000000,0
جمعية الأفق للثقافة والترفيه بقفصة,0,19000000,0
جمعية صيانة مدينة قفصة,0,5000000,0
جمعية شمل الذاكرة والتراث المنجمي,0,30000000,0
جمعية مهرجان المناجم بالمتلوي,0,51000000,0
جمعية روافد للفنون الركحية والثقافية والابداع بالرديف,0,34000000,4000000
جمعية المحافظة على التراث الصوفي والثقافة والتربية الروحية,0,1000000,0
جمعية مهرجان قفصة للفروسية والتراث,0,20000000,0
جمعية الفلاحة للثقافة والرياضة بقفصة,0,15000000,0
جمعية الأوصاف للفروسية وتربية الخيول البربرية,0,2000000,0
جمعية أحباء دار الثقافة المتلوي,0,4000000,3000000
حلم الثورة   المركز الجامعي للتنشيط الثقافي والرياضي بقفصة,0,0,3000000
جمعية قفصة البية,0,0,2000000
