Site-et-Musee,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre,Total
Bardo,4077,3614,1255,0,0,83,314,706,439,210,237,440,11375
Musée Carthage,2718,2727,923,0,0,71,227,534,472,610,291,474,9047
Thermes d'Antonin,2429,2274,868,0,0,74,248,441,521,500,219,323,7897
Villas Romaines,331,376,144,0,0,8,57,102,45,65,47,69,1244
Amphthéatrede Carthage,434,405,197,0,0,4,39,48,56,52,41,27,1303
Tophet Salambo,369,375,203,0,0,25,9,53,22,25,19,35,1135
Musée Paléo_chritien,0,0,0,0,0,0,0,0,0,0,0,0,0
Théatre Romain,266,94,22,0,0,0,7,21,0,10,0,3,423
Kairouan,1567,831,359,0,0,0,26,22,163,124,1,6,3099
Mosquée Okba,1013,713,246,0,0,20,41,97,43,60,1,50,2284
Abou Zooma,196,135,56,0,0,8,6,6,4,0,3,5,419
Musée El Jem,126,167,89,0,0,4,16,44,23,84,4,35,592
Collisée El Jem,5034,4415,1624,0,0,438,1005,1873,1345,1212,521,1145,18612
Musée de Sousse,1025,1019,471,0,0,30,99,273,237,186,50,136,3526
musée bourguiba,321,439,112,0,0,83,124,337,122,101,86,173,1898
Fort Hammamet,632,671,189,0,0,38,158,226,86,68,45,106,2219
Oudhna,620,1018,431,0,0,106,68,96,201,753,965,574,4832
Ribat de Sousse,1407,1273,408,0,0,36,93,283,270,186,76,115,4147
Ribat Monastir,1705,2068,696,0,0,297,756,1297,670,357,268,560,8674
Kerkouene,308,257,117,0,0,106,360,899,190,186,71,102,2596
Sbeitla,611,792,297,0,0,134,181,247,238,209,129,291,3129
Thuburbo Majus,148,146,81,0,0,14,32,18,28,52,12,41,572
Bulla Regia  ,445,580,204,0,0,73,133,132,118,196,111,370,2362
Dougga,1674,2203,777,0,0,210,150,326,431,754,284,871,7680
Makthar,93,171,49,0,0,15,17,45,35,41,25,72,563
Utique,166,307,78,0,0,36,65,90,94,138,159,213,1346
Mus.Patri.Trad.Jerba ,116,115,43,0,0,12,51,84,61,25,6,36,549
Chimtou ,72,44,9,0,0,11,12,10,16,14,1,32,221
Musée de Zarzis,11,19,7,0,0,4,1,21,4,3,4,6,80
Musée Nabeul,82,113,48,0,0,2,28,34,13,19,11,16,366
Borj Mahdia,157,190,67,0,0,62,141,318,119,76,40,67,1237
BGM Jerba,541,511,210,0,0,63,156,299,305,203,79,247,2614
Haouaria ,33,0,0,0,0,0,0,0,0,0,0,0,33
Fort  de Kélibia,543,536,158,0,0,327,1074,2256,626,269,263,289,6341
Musée Mahdia,99,67,47,0,0,14,71,112,37,29,3,24,503
Dar ben abdallah,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée ezzitouna,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée fadhloun,86,97,59,0,0,1,40,36,23,51,7,4,404
A T P Monastir,22,42,7,0,0,6,16,44,11,6,7,1,162
Musée de Gafsa,11,3,0,0,0,5,0,3,0,0,0,10,32
Pupput Hammamet,73,93,43,0,0,0,22,11,18,10,0,5,275
ATP Sfax,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée Archéol.Sfax,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kasbah de Sfax,85,146,18,0,0,8,6,26,23,22,27,21,382
Gightis,48,28,20,0,0,9,8,9,13,22,2,16,175
ATP Gabés,0,0,0,0,0,0,0,0,0,0,0,0,0
Salacta,10,17,15,0,0,27,15,32,3,7,1,14,141
Musée Moknine,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfidha (fermé),17,23,10,0,0,12,23,10,9,8,17,9,138
Kef,38,61,18,0,0,22,20,21,17,26,10,55,288
Lamta,0,0,0,0,0,0,0,0,0,0,0,0,0
Raqqada,58,23,0,0,0,20,15,14,9,0,14,20,173
Les Catacombes ,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée de Sousse,198,169,54,0,0,2,0,24,17,13,0,0,477
Sidi khalifa,0,0,0,0,0,0,0,0,0,0,0,0,0
Douz,52,84,42,0,0,4,3,2,6,12,5,10,220
Escargotieres Gafsa,0,0,0,0,0,0,0,0,0,0,0,0,0
Néapolis,34,36,27,0,0,2,11,16,7,23,14,9,179
