Site-et-Musee,Janvier,Fevrier,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre,Decembre,Total
Bardo,593,678,184,0,0,56,150,217,137,79,138,322,2554
Musée Carthage,509,555,155,0,0,51,122,124,122,195,216,315,2364
Thermes d'Antonin,308,347,101,0,0,50,71,96,111,131,142,192,1549
Villas Romaines,72,83,33,0,0,6,17,38,17,41,29,38,374
Amphthéatrede Carthage,22,44,17,0,0,1,17,3,16,18,12,13,163
Tophet Salambo,4,23,9,0,0,17,3,8,6,1,8,14,93
Musée Paléo_chritien,0,0,0,0,0,0,0,0,0,0,0,0,0
Théatre Romain,61,22,2,0,0,0,1,5,0,4,0,1,96
Kairouan,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée Okba,0,0,0,0,0,0,0,0,0,0,0,0,0
Abou Zooma,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée El Jem,18,20,14,0,0,2,11,18,11,7,4,28,133
Collisée El Jem,1582,1859,631,0,0,392,771,1232,725,593,483,1020,9288
Musée de Sousse,325,319,140,0,0,28,64,132,76,49,42,96,1271
musée bourguiba,258,360,80,0,0,81,121,317,105,91,78,163,1654
Fort Hammamet,306,336,86,0,0,32,120,176,67,48,40,82,1293
Oudhna,449,805,326,0,0,102,60,72,183,747,950,563,4257
Ribat de Sousse,363,279,118,0,0,31,53,120,59,44,51,69,1187
Ribat Monastir,848,1114,339,0,0,276,655,992,442,181,249,501,5597
Kerkouene,67,106,25,0,0,97,329,833,170,141,63,88,1919
Sbeitla,268,411,114,0,0,129,177,231,226,189,127,272,2144
Thuburbo Majus,30,70,21,0,0,14,32,15,17,50,11,38,298
Bulla Regia  ,218,372,77,0,0,67,106,95,101,167,107,353,1663
Dougga,742,1368,402,0,0,196,110,209,358,677,278,820,5160
Makthar,60,139,35,0,0,12,16,39,27,34,25,72,459
Utique,121,220,25,0,0,31,57,57,84,122,142,188,1047
Mus.Patri.Trad.Jerba ,39,69,13,0,0,11,40,66,40,7,6,24,315
Chimtou ,65,37,7,0,0,11,10,9,15,12,1,31,198
Musée de Zarzis,5,14,2,0,0,4,1,18,4,3,4,6,61
Musée Nabeul,44,56,5,0,0,2,18,22,12,9,9,16,193
Borj Mahdia,80,96,27,0,0,52,127,261,70,51,35,65,864
BGM Jerba,230,281,102,0,0,63,141,235,163,83,63,204,1565
Haouaria ,6,0,0,0,0,0,0,0,0,0,0,0,6
Fort  de Kélibia,356,403,90,0,0,322,1047,2179,560,248,250,284,5739
Musée Mahdia,28,35,14,0,0,11,62,98,22,16,3,18,307
Dar ben abdallah,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée ezzitouna,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée fadhloun,5,12,5,0,0,0,13,14,7,4,1,1,62
A T P Monastir,13,13,3,0,0,2,11,35,3,1,5,1,87
Musée de Gafsa,8,3,0,0,0,1,0,2,0,0,0,10,24
Pupput Hammamet,10,23,3,0,0,0,4,4,2,6,0,0,52
ATP Sfax,0,0,0,0,0,0,0,0,0,0,0,0,0
Musée Archéol.Sfax,0,0,0,0,0,0,0,0,0,0,0,0,0
 Kasbah de Sfax,50,106,5,0,0,6,4,17,19,17,24,14,262
Gightis,7,11,6,0,0,7,3,8,2,9,0,11,64
ATP Gabés,0,0,0,0,0,0,0,0,0,0,0,0,0
Salacta,5,3,3,0,0,27,11,32,3,7,1,14,106
Musée Moknine,0,0,0,0,0,0,0,0,0,0,0,0,0
Enfidha,9,14,7,0,0,11,23,7,9,6,16,9,111
Kef,19,37,2,0,0,14,8,16,8,18,9,38,169
Lamta,0,0,0,0,0,0,0,0,0,0,0,0,0
Raqqada,55,5,0,0,0,20,13,13,9,0,14,20,149
Les Catacombes ,0,0,0,0,0,0,0,0,0,0,0,0,0
Mosquée de Sousse,0,0,0,0,0,0,0,0,0,0,0,0,0
Sidi khalifa,0,0,0,0,0,0,0,0,0,0,0,0,0
Douz,7,15,3,0,0,0,0,0,3,0,3,6,37
Escargotieres Gafsa,0,0,0,0,0,0,0,0,0,0,0,0,0
Néapolis,10,14,6,0,0,2,11,14,7,18,13,7,102
