Structure de production,Titre du projet,Auteur,Metteur en scene,Subvention proposee,Categorie
رؤى للانتاج,أيام زمان,"رضا بوقديدة
عن هارولد بنتر",محمد علي سعيد,23.500,كهول
المختار للانتاج,بينق بونق,زهير الرايس,محمد الكشو,25.000,كهول
القنا للانتاج,عذرا شكسبير,"ياسين الفطناسي
عن شكسبير",ياسين الفطناسي,25.000,كهول
أرينا للانتاج بحمام سوسة,البحث جاري,حاتم حشيشة,هاشم الفقيه,20.000,كهول
مسرح الارض,مبني للمجهول,لطفي بن صالح,دليلة مفتاحي,26.000,كهول
دار سندباد,الكواسر,حمادي المزي,حمادي المزي,32.000,كهول
ايماقو للانتاج بصفاقس,حورية البحر,"امير العيوني
عن سوزان سونتاغ",امير العيوني,20.000,كهول
المراد للانتاج,المهلوس,"سميرة مسيخ
عن نجيب محفوظ",منيرة الزكراوي,22.500,كهول
المسرح اليومي ,الحكماء,"المنجي بن ابراهيم
عن بريشت",المنجي بن ابراهيم,30.000,كهول
فرقة مدينة تونس,كوشمار,"زهير الرايس
عن لابيش",زهير الرايس,22.000,كهول
دروب للانتاج,خضراء,عماد الوسلاتي,سفيان شبيل,20.000,كهول
بيفالو أرت,تمارين في المواطنة أو أنين الوطن,عماد المي,عماد المي,25.000,كهول
المسرح الوطني التونسي,نافذة على ...,رجاء بن عمار,رجاء بن عمار,33.000,كهول
نجمة الشمال,رشارد الثالث,"سنية زرق عيونه
عن شكسبير",نورالدين العاتي,40.000,كهول
المرايا للانتاج,حفيدات شهريار,كمال علاوي,كمال علاوي,23.000,كهول
داود للانتاج,منام عيني,"حسن المؤذن
عن يوناسكو",حسن المؤذن,33.000,كهول
الارتيستو للانتاج بقرمبالية,روميو وجوليات,"غازي الزغباني
عن شكسبير",غازي الزغباني,34.000,كهول
أنس لفنون الركح,اللهليبة,"رضا بوقديدة
عن ايميلي نوتمب",منيرالعرقي,25.000,كهول
المسرح البديل,نساء في الحب والمقاومة,"فتحي العكاري 
عن نصوص شعرية عالمية",فتحي العكاري,24.000,كهول
واب للانتاج,الكمباس,"محسن بن نفيسة
عن سعدالله ونوس",صابر الحامي,25.000,كهول
نقطة وارجع للسطر للانتاج,الصبية والموت,"رضا بوقديدة
عن دورفمان",سميرة بوعمود,22.000,كهول
مركز الفنون الدرامية بمدنين,من أنباء حومة الراي أونو,"علي اليحياوي
عن فويتزاك",علي اليحياوي,40.000,كهول
الحمراء للانتاج,نوار الملح,بحري رحالي,بحري رحالي ,24.000,كهول
مركز الفنون الدرامية بالقيروان,الآلة,بشير القهواجي,بشير القهواجي,20.000,كهول
الاسطورة للانتاج,الملك أين الملك,فضيلة بن عكاشة,فضيلة بن عكاشة,21.000,اطفال 
أمواج للانتاج,القلادة العجيبة,قيس عويديدي,نزار الكشو,21.000,اطفال 
تبرورة للانتاج بصفاقس,اروي لي حكاية,دنيا مناصرية,الازهر بوعزيزي,20.000,اطفال 
دار بابا للانتاج بحمام سوسة,أليس في بلاد العجائب,"كمال العجيمي 
عن لويس كارول",وسام سليمان,22.000,اطفال 
مانيا للانتاج بباجة,كن متميزا,ايمان الصامت,محمد صالح عروس,20.000,اطفال 
رابح للانتاج بقفصة,التعاون,محي الدين بن عبدالله,محي الدين بن عبدالله,25.000,اطفال 
الحب المجنون للانتاج,الجدار,محسن الأدب,محسن الادب,23.000,اطفال 
باب منارة للانتاج,علاء الدين والجني,محمد بن عمارة,عزيزة بو الابيار,20.000,اطفال 
حلم للانتاج,المغامرون,"صلاح مصدق و
نورالدين العياري",صلاح مصدق,23.000,اطفال 
"كاريزما للانتاج بعمدون 
ـ باجة ـ",رقصة المياه,فتحي المناصري,حبيب منصوري,25.000,اطفال 
مركز الفنون الدرامية بالكاف,بذرة الحياة,رضوان هنودي,"ماهر تواتي و
فادي محواشي",20.000,اطفال 
"منيرفا للانتاج بسبيطلة 
ـ القصرين ـ",منقذة تحب الارض,"زينة مساهلي
عن كولودي",مقداد الصالحي,24.000,اطفال 
الفردوس للانتاج,الجزاء العادل,عبدالحكيم العليمي,انور العياشي,24.000,اطفال 
مركز الفنون الدرامية بصفاقس,مملكة الحكايات,دنيا مناصرية,رفيق واردة,24.500,اطفال 
المركز الوطني لفن العرائس,قال الثعلب,احلام حكيمي,البشير جلاد,27.000,اطفال 
تيزيري 13 للانتاج بسوسة,الامير الصغير,"محمد علي القلعي
عن انطون دو سان اكسوبري",محمد علي القلعي,26.000,اطفال 
رتاج للانتاج باريانة,البجعات,"حاتم مرعوب
عن اندرسون",حاتم مرعوب,26.000,اطفال 
اديكواس للانتاج,ملك الارقام,الفة بن حسين,الفة بن حسين,28.500,اطفال 
علاء الدين للانتاج,الزهرة العنيدة,محمد نوير, محمد نوير,26.000,اطفال 
