structure de production,titre du projet,auteur,metteur en scene,subvention proposee,Categorie
شركة كتارسيس,فريدم هاوس,الشاذلي العرفاوي,الشاذلي العرفاوي,35.000,كهول
شركة السور,انفصام,دنيا مناصرية,رفيق وارده,20.000,كهول
المركز الثقافي الدولي بالقصرين,Bloc 74,"وليد الخضراوي
سامي الذيبي",وليد الخضراوي,30.000,كهول
المركز الدولي للفن الرابع قعفور,الذباب تحت الضغط,"منجي لملومي
نجيب العدواني",هدى الرزقي,25.000,كهول
شركة وطن,الموت المفاجئ لفوضوي,الطاهر القليبي,عبد الحكيم صويد,30.000 ,كهول
شركة رموز,عشية رائعة,رضا بوقديدة,رضا بوقديدة,25.000,كهول
شركة ماد للانتاج,حلم,محمد علي المداني,محمد علي المداني,20.000,كهول
شركة فنار,لا يعول عليه,عبد الوهاب الملوح,نزار السعيدي,30.000,كهول
شركة بدعة ,نوارات للجرذون,رضا بوقديدة,عبد المنعم شويات,25.000,كهول
شركة توليب,عزيزة و يونس, ناصر العكرمي,ناصر العكرمي,25.000,كهول
شركة نسرين,حياة,نصيب البرهومي,نصيب البرهومي,20.000,كهول
المسرح البديل,الملك لير,جبرا ابراهيم جبرا,فتحي العكاري,42.000 ,كهول
شرق للانتاج,ما خلصناش ما نخلصوش,غسان حفصية,محمد علي القلعي,20.000,كهول
مركز الفنون الدرامية صفاقس,عين الشفاء,مقداد معزون,مقداد معزون,40.000,كهول
مركز الفنون الدرامية الكاف,برلمان النساء,الطاهر القليبي,صابر الحامي,32.000,كهول
شركة فن الضفتين,طوفان,بوكثير دومة,حافظ خليفة,30.000,كهول
شركة زيقزاق,الحالم,دلال عقيل,بسام العلوي,28.000,كهول
شركة كلندستينو ,وشياطين اخرى,وليد الدغسني,وليد الدغسني,32.000,كهول
حيز المدينة مسرح الفن ,ليالي البوقرعون,نور الدين الورغي,نور الدين الورغي,33.000,كهول
شركة تبرورة,زمن الفرسان,يوسف البحري,حاتم حشيشة,20.000,كهول
فرتونة للانتاج,هارمونيكا,المنصف الكاتب,صالح الجدي,20.000,اطفال
شركة ميم جيم,المخترع,محمد الصحبي بن حسين,محمد الصحبي بن حسين,20.000,اطفال
شركة فن المتوسط,عودة ميدوزا,اقتباس : الطاهر علوان,فضيلة بن عكاشة,24.000,اطفال
المركز الوطني لفن العرائس,الملك لير,اقتباس : حسن المؤذن,حسن المؤذن,35.000,اطفال
شركة جوهرة الفنون,الوصية,الحبيب الزرافي,نور الزرافي,24.000,اطفال
مركز الفنون الدرامية بقفصة,سيدة القلوب,صالح عروس,محمد علي احمد,30.000,اطفال
شركة الامير,نعمان و دحمان,سميرة مسيخ,ياسين الفطناسي,20.000,اطفال
شركة ابن زيدون,بنت من ورق,احلام الحكيمي,فيصل بن محمود,23.000,اطفال
شركة اصوات,مغامرات جحا,محمد بن صالح العوادي,الياس اسماعيل,20.000,اطفال
شركة ماب برود,الحورية الصغيرة منيار,اقتباس : سناء ايوبي,سناء ايوبي,25.000,اطفال
شركة روسبينا,الحجار,خالد شنان,خالد شنان,25.000,اطفال
مسرح بابا سنيشو,لا ولاء الا للوطن,عبد الباقي المهري,"علي الخميري 
محمود النهدي",20.000,اطفال
شركة ماسك,واحدة بواحدة,مختار الوزير,يوسف مارس,20.000,اطفال
شركة يوغرطة,صراع,عادل الخماسي,عادل الخماسي,26.000,اطفال
شركة كارمن,عروس البحر,اقتباس : حاتم مرعوب,حاتم مرعوب,22.000,اطفال
المركز الحديث للعرائس,عازف الليل,محمد المنصف العرفاوي,عياد بن معاقل,24.000,اطفال
شركة صبرة للانتاج,حيوا عمال النظافة,عماد الساكت,يوسف الصيداوي,20.000,اطفال
شركة ميتوس,صاحب الرداد الاخضر,رائد الخضراوي,رائد الخضراوي,20.000,اطفال
مركز النفون الدرامية القيروان,حلم صانع الدمى العجوز,انيس حمدي,سليم الهمامي,20.000 ,اطفال
شركة بوهدمة,لاجل القمر,منير المخنيني,جلال عبيد,20.000,اطفال
