Year;Adhésions;Approbations; Investissement (en DT) ; Primes (en DT) 
1996 - 2000;1009;862;1,555,520,392;221,068,738
2001;310;251;479,300,050;64,314,364
2002;415;265;321,252,058;35,155,575
2003;396;305;319,657,921;48,996,131
2004;277;306;251,851,229;37,705,818
2005;219;256;445,025,316;61,770,981
2006;220;235;409,376,161;46,389,034
2007;216;232;490,963,485;56,358,083
2008;241;199;368,312,830;58,762,114
2009;339;270;581,653,682;87,141,104
2010;476;310;591,800,604;81,466,880
2011;437;348;656,568,973;87,482,550
2012;349;352;573,922,770;77,390,625
2013;332;383;700,223,373;95,844,344
2014;315;387;571,472,208;62,954,475
2015;271;386;1,014,954,027;102,576,329
2016;259;316;696,020,979;83,591,707
2017;405;176;367,814,275;51,480,883
2018;325;210;502,890,908;68,182,520
2019;312;156;535,026,464;82,991,120
