Year,Tranches débloqués,Primes TOTALE Débloquées,Primes matérielles,Primes immatérielles
"2000,45,""1,015,767"",""579,583"",""436,184"""
"2001,47,""1,084,707"",""565,266"",""519,441"""
"2002,110,""3,324,247"",""1,814,958"",""1,509,289"""
"2003,134,""3,114,389"",""1,637,725"",""1,476,664"""
"2004,159,""3,461,334"",""1,900,982"",""1,560,352"""
"2005,168,""3,291,418"",""1,620,179"",""1,671,239"""
"2006,230,""4,836,647"",""2,815,020"",""2,021,627"""
"2007,279,""5,044,065"",""2,282,985"",""2,761,080"""
"2008,454,""8,871,420"",""3,997,876"",""4,873,544"""
"2009,436,""7,805,684"",""3,206,123"",""4,599,561"""
"2010,517,""8,080,671"",""2,735,036"",""5,345,635"""
"2011,416,""8,825,988"",""3,755,714"",""5,070,274"""
"2012,350,""6,500,283"",""2,808,170"",""3,692,113"""
"2013,377,""6,805,461"",""2,245,376"",""4,560,085"""
"2014,358,""5,768,664"",""2,371,237"",""3,397,427"""
"2015,390,""6,465,270"",""2,660,365"",""3,804,905"""
"2016,195,""2,882,266"",""1,040,152"",""1,842,114"""
