 Lat_angulaire; Gouvernorat ;Lon;Lat;GOUVERNORAT;Dossiers approuvés;INVEST en MD;PRIME en MD
" 36°51'17.23""N";ARIANA;10.18651111;36.85478611;ARIANA;704; 43,441,364 ; 15,424,261 
" 36°43'32.54""N";BEJA;9.188461111;36.72570556;BEJA;114; 7,041,386 ; 2,371,914 
" 36°44'1.06""N";BEN AROUS;10.31788333;36.73362778;BEN AROUS;1242; 80,555,439 ; 25,221,073 
" 37°16'12.36""N";BIZERTE;9.873205556;37.2701;BIZERTE;541; 39,791,911 ; 11,405,739 
" 33°53'11.79""N";GABES;10.10584167;33.88660833;GABES;80; 5,082,769 ; 1,722,051 
34°25?29?N;GAFSA;8.470325487;34.25297854;GAFSA;64; 3,831,069 ; 1,379,731 
" 36°29'50.08""N";JENDOUBA;8.777144444;36.49724444;JENDOUBA;39; 3,376,731 ; 1,001,678 
" 35°40'29.67""N";KAIROUAN;10.09391944;35.67490833;KAIROUAN;86; 7,850,090 ; 2,701,248 
" 35°10'43.43""N";KASSERINE;8.512541254;35.15427415;KASSERINE;66; 4,734,460 ; 1,703,179 
" 33°42'43.43""N";KEBILI;8.585221541;33.42658471;KEBILI;16; 621,631 ; 342,335 
" 36°10'43.43""N";LE KEF;8.716713889;36.17873056;KEF;30; 2,223,741 ; 630,204 
" 35°30'10.37""N";MAHDIA;11.06811944;35.50288056;MAHDIA;268; 17,527,760 ; 6,553,276 
"36°49'15.3""N";MANOUBA;10.07886111;36.82091667;MANOUBA;508; 30,605,190 ; 9,577,849 
" 33°20'45.25""N";MEDENINE;10.49086667;33.34590278;MEDENINE;62; 2,782,677 ; 1,125,831 
" 35°45'27.27""N";MONASTIR;10.82547222;35.757575;MONASTIR;1264; 100,071,988 ; 29,962,449 
" 36°27'47.67""N";NABEUL;10.72107222;36.46324167;NABEUL;1267; 80,233,025 ; 26,208,721 
" 36° 5'11.35""N";SILIANA;9.372025;36.08648611;SELIANA;24; 2,405,250 ; 715,549 
" 34°44'40.33""N";SFAX;10.76043056;34.74453611;SFAX;1691; 95,578,670 ; 31,335,317 
" 35° 2'13.33""N";SIDI BOUZID;9.483605556;35.03703611;SIDI BOUZID;34; 2,398,731 ; 910,125 
" 35°47'55.50""N";SOUSSE;10.60686667;35.79875;SOUSSE;911; 58,329,591 ; 19,277,482 
" 32°56'26.72""N";TATAOUINE;10.45265833;32.94075556;TATAOUINE;24; 1,847,277 ; 681,193 
" 33°55'38.84""N";TOZEUR;8.138455556;33.92745556;TOZEUR;48; 2,664,279 ; 918,296 
" 36°48'52.78""N";TUNIS;10.17884444;36.81466111;TUNIS;1279; 85,820,110 ; 24,371,192 
" 36°24'22.21""N";ZAGHOUAN;10.140775;36.40616944;ZAGHOUAN;348; 30,691,145 ; 8,367,644 
