Year;Tranches débloqués;Primes TOTALE Débloquées;Primes matérielles;Primes immatérielles
2000;45; 1,015,767 ; 579,583 ; 436,184 
2001;47; 1,084,707 ; 565,266 ; 519,441 
2002;116; 3,457,210 ; 1,883,046 ; 1,574,164 
2003;129; 3,000,198 ; 1,579,637 ; 1,420,561 
2004;165; 3,464,927 ; 1,890,982 ; 1,573,945 
2005;161; 3,269,053 ; 1,620,179 ; 1,648,874 
2006;231; 4,871,898 ; 2,850,271 ; 2,021,627 
2007;298; 5,412,927 ; 2,390,482 ; 3,022,445 
2008;435; 8,502,558 ; 3,890,379 ; 4,612,179 
2009;443; 7,938,518 ; 3,251,780 ; 4,686,738 
2010;510; 7,947,837 ; 2,689,379 ; 5,258,458 
2011;421; 8,896,560 ; 3,771,768 ; 5,124,792 
2012;345; 6,429,711 ; 2,792,116 ; 3,637,595 
2013;377; 6,805,461 ; 2,245,376 ; 4,560,085 
2014;370; 5,951,175 ; 2,480,570 ; 3,470,605 
2015;374; 6,282,861 ; 2,547,189 ; 3,735,672 
2016;435; 6,406,473 ; 2,157,531 ; 4,248,942 
2017;345; 5,745,093 ; 2,510,838 ; 3,234,255 
2018;278; 6,284,236 ; 3,967,180 ; 2,317,056 
2019;240; 5,485,771 ; 2,932,960 ; 2,552,811 
