 Lat_angulaire; Gouvernorat ;Lon;Lat;GOUVERNORAT;TRANCHE;MNT MATERIELLE;MNT IMMATERIELLE;TOTAL
" 36°51'17.23""N";ARIANA;10.18651111;36.85478611;ARIANA;364; 2,805,385 ; 4,188,158 ; 6,993,543 
" 36°43'32.54""N";BEJA;9.188461111;36.72570556;BEJA;60; 743,134 ; 519,675 ; 1,262,809 
" 36°44'1.06""N";BEN AROUS;10.31788333;36.73362778;BEN AROUS;652; 5,128,624 ; 6,758,161 ; 11,886,785 
" 37°16'12.36""N";BIZERTE;9.873205556;37.2701;BIZERTE;280; 2,811,839 ; 3,005,537 ; 5,817,376 
" 33°53'11.79""N";GABES;10.10584167;33.88660833;GABES;44; 120,068 ; 668,026 ; 788,094 
34°25?29?N;GAFSA;8.470325487;34.25297854;GAFSA;18; 106,834 ; 201,897 ; 308,731 
" 36°29'50.08""N";JENDOUBA;8.777144444;36.49724444;JENDOUBA;22; 319,227 ; 192,713 ; 511,940 
" 35°40'29.67""N";KAIROUAN;10.09391944;35.67490833;KAIROUAN;42; 419,981 ; 541,984 ; 961,965 
" 35°10'43.43""N";KASSERINE;8.512541254;35.15427415;KASSERINE;22; 219,085 ; 207,247 ; 426,332 
" 33°42'43.43""N";KEBILI;8.585221541;33.42658471;KEBILI;7; 77,487 ; 77,186 ; 154,673 
" 36°10'43.43""N";LE KEF;8.716713889;36.17873056;KEF;17; 167,480 ; 131,301 ; 298,781 
" 35°30'10.37""N";MAHDIA;11.06811944;35.50288056;MAHDIA;152; 1,504,812 ; 1,629,603 ; 3,134,415 
"36°49'15.3""N";MANOUBA;10.07886111;36.82091667;MANOUBA;293; 2,147,725 ; 2,836,842 ; 4,984,567 
" 33°20'45.25""N";MEDENINE;10.49086667;33.34590278;MEDENINE;31; 100,585 ; 232,113 ; 332,698 
" 35°45'27.27""N";MONASTIR;10.82547222;35.757575;MONASTIR;741; 8,888,625 ; 7,726,012 ; 16,614,637 
" 36°27'47.67""N";NABEUL;10.72107222;36.46324167;NABEUL;690; 6,291,773 ; 6,462,474 ; 12,754,247 
" 36° 5'11.35""N";SILIANA;9.372025;36.08648611;SELIANA;11; 120,011 ; 175,094 ; 295,105 
" 34°44'40.33""N";SFAX;10.76043056;34.74453611;SFAX;956; 5,717,102 ; 9,108,946 ; 14,826,048 
" 35° 2'13.33""N";SIDI BOUZID;9.483605556;35.03703611;SIDI BOUZID;13; 175,924 ; 231,057 ; 406,981 
" 35°47'55.50""N";SOUSSE;10.60686667;35.79875;SOUSSE;492; 4,515,528 ; 5,107,560 ; 9,623,088 
" 32°56'26.72""N";TATAOUINE;10.45265833;32.94075556;TATAOUINE;9; 151,840 ; 107,422 ; 259,262 
" 33°55'38.84""N";TOZEUR;8.138455556;33.92745556;TOZEUR;18; 100,000 ; 210,932 ; 310,932 
" 36°48'52.78""N";TUNIS;10.17884444;36.81466111;TUNIS;675; 4,295,827 ; 7,578,082 ; 11,873,909 
" 36°24'22.21""N";ZAGHOUAN;10.140775;36.40616944;ZAGHOUAN;156; 1,667,616 ; 1,758,407 ; 3,426,023 
