 Lat_angulaire; Gouvernorat ;Lon;Lat;GOUVERNORAT;TRANCHE;MNT MATERIELLE;MNT IMMATERIELLE;TOTAL
" 36°51'17.23""N";ARIANA;10.18651111;36.85478611;ARIANA;264; 28,209,640 ; 5,328,162 ; 33,537,802 
" 36°43'32.54""N";BEJA;9.188461111;36.72570556;BEJA;29; 6,502,665 ; 476,509 ; 6,979,174 
" 36°44'1.06""N";BEN AROUS;10.31788333;36.73362778;BEN AROUS;566; 110,851,470 ; 14,929,496 ; 125,780,966 
" 37°16'12.36""N";BIZERTE;9.873205556;37.2701;BIZERTE;218; 32,956,699 ; 6,241,195 ; 39,197,894 
" 33°53'11.79""N";GABES;10.10584167;33.88660833;GABES;44; 10,296,897 ; 1,835,978 ; 12,132,875 
34°25?29?N;GAFSA;8.470325487;34.25297854;GAFSA;2; 17,285 ; 41,034 ; 58,319 
" 36°29'50.08""N";JENDOUBA;8.777144444;36.49724444;JENDOUBA;7; 3,517,862 ; 71,189 ; 3,589,051 
" 35°40'29.67""N";KAIROUAN;10.09391944;35.67490833;KAIROUAN;31; 4,093,320 ; 604,685 ; 4,698,005 
" 35°10'43.43""N";KASSERINE;8.512541254;35.15427415;KASSERINE;24; 1,959,823 ; 318,432 ; 2,278,255 
" 33°42'43.43""N";KEBILI;8.585221541;33.42658471;KEBILI;2; 216,472 ; 10,430 ; 226,902 
" 36°10'43.43""N";LE KEF;8.716713889;36.17873056;KEF;7; 5,228,602 ; 112,307 ; 5,340,909 
" 35°30'10.37""N";MAHDIA;11.06811944;35.50288056;MAHDIA;105; 14,725,759 ; 1,018,220 ; 15,743,979 
"36°49'15.3""N";MANOUBA;10.07886111;36.82091667;MANOUBA;200; 18,085,139 ; 4,428,868 ; 22,514,007 
" 33°20'45.25""N";MEDENINE;10.49086667;33.34590278;MEDENINE;22; 2,136,554 ; 63,769 ; 2,200,323 
" 35°45'27.27""N";MONASTIR;10.82547222;35.757575;MONASTIR;634; 64,456,009 ; 10,771,322 ; 75,227,331 
" 36°27'47.67""N";NABEUL;10.72107222;36.46324167;NABEUL;515; 79,130,936 ; 9,199,195 ; 88,330,131 
" 36° 5'11.35""N";SILIANA;9.372025;36.08648611;SELIANA;6; 262,854 ; 54,313 ; 317,167 
" 34°44'40.33""N";SFAX;10.76043056;34.74453611;SFAX;622; 76,679,540 ; 8,536,430 ; 85,215,970 
" 35° 2'13.33""N";SIDI BOUZID;9.483605556;35.03703611;SIDI BOUZID;8; 773,696 ; 239,574 ; 1,013,270 
" 35°47'55.50""N";SOUSSE;10.60686667;35.79875;SOUSSE;409; 59,989,456 ; 7,698,308 ; 67,687,764 
" 32°56'26.72""N";TATAOUINE;10.45265833;32.94075556;TATAOUINE;6; 279,637 ; 23,615 ; 303,252 
" 33°55'38.84""N";TOZEUR;8.138455556;33.92745556;TOZEUR;1; -   ; 32,242 ; 32,242 
" 36°48'52.78""N";TUNIS;10.17884444;36.81466111;TUNIS;508; 54,173,200 ; 11,376,051 ; 65,549,251 
" 36°24'22.21""N";ZAGHOUAN;10.140775;36.40616944;ZAGHOUAN;92; 28,541,455 ; 2,712,296 ; 31,253,751 
;;;;;;;;
