Date;Consommation HT. en GWh;Consommation MT. en GWh;Consommation BT. en GWh;Consommation totale (Somme des autres colonnes). en GWh
1 / 2005;73.1;370.4;364.9;808.4
2 / 2005;59.7;356.9;350.9;767.5
3 / 2005;79.4;391.6;421.5;892.5
4 / 2005;86.3;366.8;310;763.1
5 / 2005;39.5;399.7;399.5;838.7
6 / 2005;170.2;410.6;351.6;932.4
7 / 2005;91.6;540.1;343.4;975.1
8 / 2005;93.8;458.8;407.8;960.4
9 / 2005;94.2;455.1;421.3;970.6
10 / 2005;61.7;421.2;376.9;859.8
11 / 2005;86.8;359.4;344.2;790.4
12 / 2005;96;384.6;322.7;803.3
1 / 2006;85.8;356.1;357.9;799.8
2 / 2006;80.1;356.8;403.7;840.6
3 / 2006;93.6;382.2;403.4;879.2
4 / 2006;97.3;369.4;338.1;804.8
5 / 2006;97.2;429.4;396;922.6
6 / 2006;91.1;458.4;359.1;908.6
7 / 2006;94.2;505.5;368.6;968.3
8 / 2006;99.6;522;458.8;1080.4
9 / 2006;93.9;461.5;456.6;1012
10 / 2006;90.3;408.8;381.7;880.8
11 / 2006;95;397.6;421.9;914.5
12 / 2006;88.5;368.8;327.3;784.6
1 / 2007;90;407.4;403.6;901
2 / 2007;88.8;376;373.8;838.6
3 / 2007;92.8;380.2;353.6;826.6
4 / 2007;90.5;397.9;370.8;859.2
5 / 2007;90.5;440.8;394.8;926.1
6 / 2007;93.9;484.4;364.4;942.7
7 / 2007;103.9;530.2;404.7;1038.8
8 / 2007;97.6;520.4;441.9;1059.9
9 / 2007;94.4;483.2;429.1;1006.7
10 / 2007;94.9;443.9;437.2;976
11 / 2007;100.1;418;448.5;966.6
12 / 2007;97.6;384.6;373.6;855.8
1 / 2008;90.9;432.8;401.9;925.6
2 / 2008;95.58;408.71;429.12;933.41
3 / 2008;98.82;402.59;384.38;885.79
4 / 2008;100;382.5;411.2;893.7
5 / 2008;104.4;496.7;394.4;995.5
6 / 2008;99.8;491.1;397.9;988.8
7 / 2008;105.7;590.3;424.4;1120.4
8 / 2008;103.9;543.4;449.6;1096.9
9 / 2008;93;499.9;463.8;1056.7
10 / 2008;95;493.1;498.6;1086.7
11 / 2008;103.9;355.2;429.6;888.7
12 / 2008;101.1;460.9;400.6;962.6
1 / 2009;95.4;418.8;456.4;970.6
2 / 2009;93.92;379.77;405.67;879.36
3 / 2009;89.38;438.53;397.33;925.24
4 / 2009;99;355.2;413.2;867.4
5 / 2009;101.5;463.2;400;964.7
6 / 2009;96.9;553.1;424.1;1074.1
7 / 2009;106.2;599.8;497.3;1203.3
8 / 2009;104.7;567.2;452.1;1124
9 / 2009;95.5;502;451.7;1049.2
10 / 2009;105.8;467.8;531.2;1104.8
11 / 2009;108.3;415.4;424.4;948.1
12 / 2009;105.2;476.2;515.6;1097
1 / 2010;102.9;437.2;450.3;990.4
2 / 2010;87.4;418.5;409.4;915.3
3 / 2010;109.7;471.6;499.3;1080.6
4 / 2010;108.3;472.5;435;1015.8
5 / 2010;117.8;479.1;427.9;1024.8
6 / 2010;112.5;559.1;435;1106.6
7 / 2010;112.1;633.3;469.5;1214.9
8 / 2010;108.3;591.2;487.7;1187.2
9 / 2010;97.7;528.8;475.6;1102.1
10 / 2010;115;509.7;540.4;1165.1
11 / 2010;106.9;449.7;474.8;1031.4
12 / 2010;114.4;501.3;565.1;1180.8
1 / 2011;98.1;421.9;446.3;966.3
2 / 2011;86.5;399.2;410.8;896.5
3 / 2011;100.7;466.7;512.7;1080.1
4 / 2011;102.8;469.1;449.1;1021
5 / 2011;110.4;483.5;482.8;1076.7
6 / 2011;96.8;547.4;460.1;1104.3
7 / 2011;88.6;621.9;455.3;1165.8
8 / 2011;85.3;549.1;446.9;1081.3
9 / 2011;89.4;596.6;609.3;1295.3
10 / 2011;105.93;494.59;565.15;1165.67
11 / 2011;96.21;445.2;507.85;1049.26
12 / 2011;102.06;490.81;466.7;1059.57
1 / 2012;113;480.8;540.5;1134.3
2 / 2012;93;471;;564
3 / 2012;105.3;482.2;1469.6;2057.1
4 / 2012;118.2;473.5;479.8;1071.5
5 / 2012;111;528.1;484.9;1124
6 / 2012;114.1;584.9;503.9;1202.9
7 / 2012;104.8;661.2;480.1;1246.1
8 / 2012;103.8;606.8;518.3;1228.9
9 / 2012;101.4;570.8;632.9;1305.1
10 / 2012;105.6;552;576.7;1234.3
11 / 2012;105.9;489.1;609;1204
12 / 2012;112.9;495.6;623.8;1232.3
1 / 2013;98.04;499.46;476.69;1074.19
2 / 2013;101;469.46;557.88;1128.34
3 / 2013;110.06;485.68;527.43;1123.17
4 / 2013;111.92;511.34;521.84;1145.1
5 / 2013;110.43;539.29;541.38;1191.1
6 / 2013;108.53;570.2;514.94;1193.67
7 / 2013;112.4;635.84;475.22;1223.46
8 / 2013;106.65;587.53;538.88;1233.06
9 / 2013;106.64;596.86;577.51;1281.01
10 / 2013;108.8;572.9;702.22;1383.92
11 / 2013;115.22;509.86;450.12;1075.2
12 / 2013;126.7;505.47;636.07;1268.24
1 / 2014;117.78;482;519.37;1119.15
2 / 2014;108.42;460.97;560.55;1129.94
3 / 2014;119.71;478.02;551.11;1148.84
4 / 2014;125.04;512.14;518.6;1155.78
5 / 2014;129.42;531.8;551.86;1213.08
6 / 2014;124.42;580.15;489.68;1194.25
7 / 2014;114.74;617.13;513.95;1245.82
8 / 2014;116.56;613.98;563.75;1294.29
9 / 2014;116.71;650.61;662.08;1429.4
10 / 2014;117;578.66;610.71;1306.37
11 / 2014;114.1;489.16;673.1;1276.36
12 / 2014;122.32;526.38;605.65;1254.35
1 / 2015;109.65;510.05;568.34;1188.04
2 / 2015;112.16;482.27;572.58;1167.01
3 / 2015;126.98;494.61;575.61;1197.2
4 / 2015;119.34;516.27;568.63;1204.24
5 / 2015;124.78;570.35;550.95;1246.08
6 / 2015;116.82;566.73;546.21;1229.76
7 / 2015;110.56;607.82;516;1234.38
8 / 2015;122.53;634.76;627.16;1384.45
9 / 2015;120.53;600.84;606.45;1327.82
10 / 2015;105.26;537.85;681.46;1324.57
11 / 2015;114.82;500.7;662.4;1277.92
12 / 2015;124.68;508.57;576.47;1209.72
1 / 2016;;;;0
2 / 2016;224.27;963.14;1178.78;2366.19
3 / 2016;123.35;518.62;657.04;1299.01
4 / 2016;122.6;507.11;581.31;1211.02
5 / 2016;135.1;542.83;525.47;1203.4
6 / 2016;112.37;574.58;560.39;1247.34
7 / 2016;90.72;590.64;444.57;1125.93
8 / 2016;;;;0
9 / 2016;1009.9;4927.2;5215;11152.1
10 / 2016;118.04;548.78;676.64;1343.46
11 / 2016;131.16;529.12;736.26;1396.54
12 / 2016;117.9;482.9;543.1;1143.9
1 / 2017;114.4;498.7;622;1235.1
2 / 2017;101.5;478.9;594;1174.4
3 / 2017;115.2;512.5;632.9;1260.6
4 / 2017;117.2;496.6;545.4;1159.2
5 / 2017;127.3;553.3;548.4;1229
6 / 2017;98.4;558;499.3;1155.7
7 / 2017;110.2;668;567.1;1345.3
8 / 2017;112.75;679.87;754.6;1547.22
