Date;HP;MP+BP;Total (ktep-pci)
2010-01;33.66;82.89;116.55
2010-02;35.64;76.86;112.5
2010-03;26.82;76.14;102.96
2010-04;29.25;63.54;92.79
2010-05;30.96;63.63;94.59
2010-06;32.31;56.97;89.28
2010-07;31.05;57.8700000000001;88.9200000000001
2010-08;36.9;51.4800000000001;88.3800000000001
2010-09;27.99;45,00;72.99
2010-10;31.14;62.7299999999999;93.8699999999999
2010-11;33.12;63.2700000000001;96.3900000000001
2010-12;29.79;93.5099999999999;123.3
2011-01;29.7;81.09;110.79
2011-02;27.18;79.47;106.65
2011-03;26.1;82.8;108.9
2011-04;27.18;63.9;91.08
2011-05;36.36;59.94;96.3
2011-06;27.18;57.0303;84.2103
2011-07;26.1;61.4997000000001;87.5997000000001
2011-08;23.67;46.6199999999999;70.29
2011-09;27.63;56.88;84.51
2011-10;31.41;59.13;90.54
2011-11;27.45;67.41;94.86
2011-12;27.36;94.59;121.95
2012-01;37.53;106.92;144.45
2012-02;32.94;107.37;140.31
2012-03;30.942;88.578;119.52
2012-04;30.681;71.325;102.006
2012-05;29.277;65.4570000000001;94.734
2012-06;26.19;58.86;85.05
2012-07;27.72;55.1700000000001;82.8900000000001
2012-08;33.03;36.6299999999999;69.6599999999999
2012-09;32.31;57.1500000000001;89.4600000000001
2012-10;34.47;58.9499999999999;93.42
2012-11;34.11;70.74;104.85
2012-12;34.182;104.787;138.969
2013-01;22.905;107.793;130.698
2013-02;22.725;106.497;129.222
2013-03;32.823;88.974;121.797
2013-04;32.679;71.946;104.625
2013-05;29.592;73.422;103.014
2013-06;33.40647371781;68.5010252097504;101.90749892756
2013-07;30.67352628219;68.2539747902496;98.9275010724396
2013-08;27.567;51.066;78.633
2013-09;27.945;66.0690000000001;94.0140000000001
2013-10;26.955;70.6229999999999;97.5779999999999
2013-11;26.784;92.196;118.98
2013-12;26.271;115.677;141.948
2014-01;27.225;113.139;140.364
2014-02;25.97538555603;95.859;121.83438555603
2014-03;26.05361444397;111.564;137.61761444397
2014-04;24.90823424124;83.8136443042755;108.721878545516
2014-05;27.46748093751;78.630976684341;106.098457621851
2014-06;25.45704546462;69.0886065414159;94.5456520060359
2014-07;22.82323935663;55.7377724699676;78.5610118265976
2014-08;22.4960208399;64.8262614523635;87.3222822922635
2014-09;25.80857750934;65.3924197355112;91.2009972448512
2014-10;21.46340165076;67.2863188121254;88.7497204628854
2014-11;22.64538667608;74.025;96.67038667608
2014-12;25.26161332392;105.24;130.50161332392
2015-01;23.14513408167;115.91199;139.05712408167
2015-02;23.59096591833;109.36701;132.95797591833
2015-03;27.0009;107.444867599388;134.445767599388
2015-04;22.243;85.757;108,00
2015-05;31.89523531325;71.9003324006122;103.795567713862
2015-06;18.82476468675;64.6398;83.46456468675
2015-07;19.6974;55.2654;74.9628
2015-08;22.4226;55.6145999999999;78.0371999999999
2015-09;31.41;56.4390000000001;87.849
2015-10;13.0392;67.3856999999999;80.4248999999999
2015-11;24.5212200000001;77.81292;102.33414
2015-12;24.51978;99.84438;124.36416
2016-01;23.75835941727;106.999891280923;130.758250698193
2016-02;22.82564058273;95.8691087190774;118.694749301807
2016-03;22.59369;100.863;123.45669
2016-04;21.6676927728;78.6948666982641;100.362559471064
2016-05;26.0943172272;69.7961333017359;95.8904505289359
2016-06;21.2463;62.8650000000001;84.1113000000001
2016-07;20.097;60.8309999999999;80.9279999999999
