annee_scolaire;niveau_scolaire;sexe;tot_eleves;admis;redoublant;abandant
2020/2021;1ère Année primaire;Masculin;106012;96466;8199;1347
2020/2021;2ème Année primaire;Masculin;111038;98733;11673;632
2020/2021;3ème Année primaire;Masculin;109158;94042;13966;1150
2020/2021;4ème Année primaire;Masculin;103863;90927;11172;1764
2020/2021;5ème Année primaire;Masculin;102090;87596;11435;3059
2020/2021;6ème Année primaire;Masculin;93209;86197;5526;1486
2020/2021;1ère Année primaire;Feminin;99500;93400;4771;1329
2020/2021;2ème Année primaire;Feminin;101508;94160;6725;623
2020/2021;3ème Année primaire;Feminin;99648;91354;7350;944
2020/2021;4ème Année primaire;Feminin;94469;88190;5520;759
2020/2021;5ème Année primaire;Feminin;93607;86399;5726;1482
2020/2021;6ème Année primaire;Feminin;88565;85789;2504;272
2020/2021;7ème année de base;Masculin;112037;59732;31361;20944
2020/2021;8ème année de base;Masculin;83447;52545;20899;10003
2020/2021;9ème année de base;Masculin;62798;46325;11890;4583
2020/2021;1ère année secondaire;Masculin;57875;33823;15520;8532
2020/2021;2ème année secondaire;Masculin;45883;31700;8800;5383
2020/2021;3ème année secondaire;Masculin;38016;28251;5691;4074
2020/2021;4ème année secondaire;Masculin;42868;25811;10598;6459
2020/2021;7ème année de base;Feminin;97210;74106;15590;7514
2020/2021;8ème année de base;Feminin;89700;70698;14066;4936
2020/2021;9ème année de base;Feminin;77140;66720;9498;922
2020/2021;1ère année secondaire;Feminin;75502;53043;16794;5665
2020/2021;2ème année secondaire;Feminin;65108;53989;7772;3347
2020/2021;3ème année secondaire;Feminin;58635;50702;5149;2784
2020/2021;4ème année secondaire;Feminin;74244;47636;17454;9154
