Evolution de la production annuelle des dérivés de phosphate en TUNISIE (Tonne);;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Engrais ternaires NPK (Tonne);Hyper Phosphate granuléG 27 (Tonne);Tripolyphosphate de Sodium STPP (Tonne);Nitrate Poreux NP (Tonne);Nitrate Agricole NA (Tonne);Simple super phosphate SSP (Tonne);Dicalcium Phosphate DCP (Tonne);Triple super phosphate TSP (Tonne);Diammonium phosphate DAP (Tonne);Acide Phosphorique 54 % P2O5  AP 54 %  (Tonne);Year;;;;;;;;;;;;;
;;;;;;;4 152;;;1 952;;;;;;;;;;;;;
;;;;;;;30 140;;;1 953;;;;;;;;;;;;;
;;;;;;;48 717;;;1 954;;;;;;;;;;;;;
;;;;;;;72 146;;;1 955;;;;;;;;;;;;;
;;;;;;;79 403;;;1 956;;;;;;;;;;;;;
;;;;;;;101 103;;;1 957;;;;;;;;;;;;;
;;;;;;;106 750;;;1 958;;;;;;;;;;;;;
;;;;;;;118 787;;;1 959;;;;;;;;;;;;;
;;;;;;;124 657;;;1 960;;;;;;;;;;;;;
;;;;;;;138 298;;;1 961;;;;;;;;;;;;;
;;;;;;;146 477;;;1 962;;;;;;;;;;;;;
;;;;;;;137 842;;;1 963;;;;;;;;;;;;;
;;;;;;;171 536;;;1 964;;;;;;;;;;;;;
;;;;;;;273 415;;;1 965;;;;;;;;;;;;;
;;;;;;;266 770;;;1 966;;;;;;;;;;;;;
;;;;;;;323 625;;;1 967;;;;;;;;;;;;;
;;;;;;;377 181;;;1 968;;;;;;;;;;;;;
;;;;;;;332 977;;;1 969;;;;;;;;;;;;;
;;;;;;;370 691;;;1 970;;;;;;;;;;;;;
;;;;;;;415 222;;;1 971;;;;;;;;;;;;;
;;;;;;;412 677;;61 708;1972;;;;;;;;;;;;;
;;;;;;;399 077;;93 164;1973;;;;;;;;;;;;;
;;;;;;;399 918;;124 005;1974;;;;;;;;;;;;;
;;;;;;;287 722;;101 590;1975;;;;;;;;;;;;;
;28 210;600;;;;;325 074;;236 624;1976;;;;;;;;;;;;;
;55 762;3092;;;;;453 536;;221 430;1977;;;;;;;;;;;;;
;35 500;6150;;;;257;441 723;;226 719;1978;;;;;;;;;;;;;
17 208;40 375;8093;;;;12 680;514 306;14 048;273 065;1979;;;;;;;;;;;;;
16 135;43 765;5570;;;;31 357;535 935;224 354;474 420;1980;;;;;;;;;;;;;
;43 709;3696;;;;40 148;566 862;351 451;453 644;1981;;;;;;;;;;;;;
999;39 039;4230;;;;35 581;557 650;360 269;506 175;1982;;;;;;;;;;;;;
6 748;15 428;16794;;;;36 831;560 283;405 445;620 098;1983;;;;;;;;;;;;;
3 824;33 233;18 187;0;132 068;;31 664;466 781;372 013;551 414;1984;;;;;;;;;;;;;
9 998;39 803;21 706;3 074;137 461;;35 006;766 671;367 023;473 245;1985;;;;;;;;;;;;;
16 006;36 540;28 040;3 385;170 799;;35 227;928 586;515 179;571 982;1986;;;;;;;;;;;;;
12 158;35 935;36 050;7 318;194 888;;46 158;974 801;476 706;593 345;1987;;;;;;;;;;;;;
7 953;47 050;39 680;6 621;211 841;;45 073;923 308;546 618;855 275;1988;;;;;;;;;;;;;
8 839;33 170;43 695;11 082;202 135;;62 355;897 229;637 398;834 116;1989;;;;;;;;;;;;;
16 442;27 880;44 832;13 740;195 172;;52 510;793 071;548 566;777 286;1990;;;;;;;;;;;;;
12 355;47 645;34 785;13 619;229 904;;58 645;713 579;576 722;806 029;1991;;;;;;;;;;;;;
18 720;35 280;45 000;13 569;205 921;;66 040;786 596;694 220;861 056;1992;;;;;;;;;;;;;
5 533;26 520;35 800;15 358;166 744;;74 085;641 758;750 739;858 013;1993;;;;;;;;;;;;;
17 584;27 470;40 800;10 035;102 701;;80 223;820 516;745 897;972 889;1994;;;;;;;;;;;;;
24 027;22 980;56 500;21 300;171 342;;72 030;780 199;830 772;1 017 484;1995;;;;;;;;;;;;;
16 718;34 740;64 300;16 191;170 027;;86 037;790 289;927 453;1 062 784;1996;;;;;;;;;;;;;
17 029;32 870;67 550;27 894;136 923;;100 666;735 795;764 836;1 118 479;1997;;;;;;;;;;;;;
10 305;36 170;80 210;28 904;126 886;;106 060;764 691;919 741;1 164 815;1998;;;;;;;;;;;;;
5 404;39 650;72 950;19 646;152 000;;102 380;812 256;1 048  150;1 207 641;1999;;;;;;;;;;;;;
14 973;34 540;100 025;23 267;158 500;;97 401;794 151;1 113  337;1 124 986;2000;;;;;;;;;;;;;
8 620;33 696;118 100;19 517;150 800;;115 612;782 146;1 124  627;1 144 852;2001;;;;;;;;;;;;;
18 500;31 800;119 310;14 205;112 600;;113 135;790 843;1 315  078;1 215 645;2002;;;;;;;;;;;;;
27 933;17 914;119 020;15 440;148 140;;67 306;871 824;1 324  050;1 164 414;2003;;;;;;;;;;;;;
36 736;21 135;125 805;13 218;121 103;;73 007;868 057;1 313  810;1 240 304;2004;;;;;;;;;;;;;
26 890;29 499;140 580;15 012;133 819;;100 370;847 580;1 114  492;1 216 612;2005;;;;;;;;;;;;;
14 330;25 792;141 490;14 122;139 209;;66 050;800 008;1 093 004;1 180 693;2006;;;;;;;;;;;;;
24 142;31 197;142 600;7 592;71 669;;88 102;806 335;1 007 665;1 140 196;2007;;;;;;;;;;;;;
23 280;36 080;111 920;11 308;112 307;;71 804;862 708;1 016 750;1 008 535;2008;;;;;;;;;;;;;
27 805;7 430;124 100;15 302;145 810;;64 270;735 833;1 123 930;1 114 309;2009;;;;;;;;;;;;;
52 802;23 550;143 450;20 800;155 143;;76 390;754 377;1 276 660;1 212 634;2010;;;;;;;;;;;;;
45 270;17 151;82 675;7 875;82 583;;54 680;406 279;428 420;526 313;2011;;;;;;;;;;;;;
31 870;14 438;116 695;11 034;171 760;;57 480;492 261;652 598;775 696;2012;;;;;;;;;;;;;
