   ;ENTREPRISE;CODE_SEC;VILLE_SIEGE;ADRESSE;TEL;FAX
1;BELDI;IAA;ARIANA;Route de Mateur Km 8;71 521 000;71 520 577
2;BISCUITERIE AZAIZ;IAA;ARIANA;Rue du tissage-ZI Ksar Saîd;71 545 141;71 501 412
3;COOPERATIVE VITICOLE DE TUNIS;IAA;ARIANA;Sabalet ben Ammar;71 537 120;71 535 318
4;GENERAL FOOD COMPANY;IAA;ARIANA;Rue Metouia BORJ LOUZIR;71 691 036;70 697 104
5;GRANDE FABRIQUE DE CONFISERIE ORIENTALE - GFCO;IAA;ARIANA;11, Rue des Entrepreneurs Z.I Ariana Aroport 2035 Tunis-Carthage;70837411;70837833
6;HUILERIE BEN AMMAR;IAA;ARIANA;Cebelet Ben Ammar Route de Bizerte Km 15;71 537 324;71 785 916
7;SIROCCO;IAA;ARIANA;Djebel Ammar;71 552 365;71 552 098
8;SOCIETE AMANI;IAA;ARIANA;Route Raoued Km 5;71 705 434;71 707 430
9;SOCIETE BGH;IAA;ARIANA;Z.I Elalia Ben Gaied Hassine;71 321 718/70823945;70823944
10;SOCIETE CARTHAGE AGRO-ALIMENTAIRE;IAA;ARIANA;Bourj Touil;70684001;70684002
11;SOCIETE DE SERVICES AGRICOLES ZAHRA;IAA;ARIANA;Bouhnech - KALAAT EL ANDALUS;25 100 200;
12;SOCIETE FROMAGERIE SCANDI;IAA;ARIANA;Avenue Mosquée Erraoudha Soukra;23 346 143/706800;70 680 009
13;SOCIETE FRUIT CENTER;IAA;ARIANA;35 Rue Mokhtar ATTIA;71 334 710;71 857 260
14;SOCIETE GIGA;IAA;ARIANA;Route Khelidia douar el Houch Naâssen;70 308 441;71 308 476
15;SOCIETE GREEN LAND ET CIE;IAA;ARIANA; route el battane jedaida 1124 mannoba;71798987;71784116
16;SOCIETE JASMIN EXPORT;IAA;ARIANA;Rue Mohamed El Habib Route de Raoued Km 7;71 866 817;71 866 826
17;SOCIETE KACEM DE PATISSERIE - KAPCO;IAA;ARIANA;20 Rue Kalaat Ayoub Riadh El Andalous;71 821 388;71 821 466
18;SOCIETE LABIDI VIANDES;IAA;ARIANA;Borj Touil;71 768 731;71 769 080
