Evolution des ventes locales annuelles des dérivés de phosphate en TUNISIE (1000 Tonne);;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Tripolyphosphate de Sodium (STPP) (Milles Tonne);Nitrate Poreux (NP)  (Milles Tonne);Nitrate Agricole (NA) (Milles Tonne);Dicalcium Phosphate (DCP) (Milles Tonne);Triple super phosphate (TSP) (Milles Tonne);Diammonium phosphate(DAP) (Milles Tonne);Acide Phosphorique 54 % P2O5 (AP 54 %) (Milles Tonne);Year;;;;;;;;;;;;;
;0;0;4;52;0;6;1980;;;;;;;;;;;;;
;0;0;4;64;0;3;1981;;;;;;;;;;;;;
;0;0;5;77;0;4;1982;;;;;;;;;;;;;
1;0;0;4;77;0;18;1983;;;;;;;;;;;;;
2;1;89;5;84;0;22;1984;;;;;;;;;;;;;
2;3;130;6;100;1;28;1985;;;;;;;;;;;;;
5;4;149;5;97;8;34;1986;;;;;;;;;;;;;
5;4;115;6;82;12;42;1987;;;;;;;;;;;;;
6;6;82;8;91;31;41;1988;;;;;;;;;;;;;
7;8;131;8;51;44;42;1989;;;;;;;;;;;;;
8;7;88;8;57;35;40;1990;;;;;;;;;;;;;
8;9;140;8;51;38;25;1991;;;;;;;;;;;;;
6;8;120;9;48;50;28;1992;;;;;;;;;;;;;
2;10;125;10;41;49;23;1993;;;;;;;;;;;;;
7;7;103;10;38;51;26;1994;;;;;;;;;;;;;
9;12;113;11;42;54;7;1995;;;;;;;;;;;;;
9;13;138;12;36;47;41;1996;;;;;;;;;;;;;
14;20;131;12;38;48;42;1997;;;;;;;;;;;;;
16;19;132;14;36;58;51;1998;;;;;;;;;;;;;
16;19;156;15;35;56;48;1999;;;;;;;;;;;;;
18;19;150;18;34;62;65;2000;;;;;;;;;;;;;
18;19;131;19;31;52;74;2001;;;;;;;;;;;;;
20;13;130;19;32;46;77;2002;;;;;;;;;;;;;
18;15;147;20;28;65;81;2003;;;;;;;;;;;;;
18;13;120;23;33;64;117;2004;;;;;;;;;;;;;
15;15;120;22;24;60;148;2005;;;;;;;;;;;;;
17;14;171;18;22;45;145;2006;;;;;;;;;;;;;
15;8;87;18;18;58;171;2007;;;;;;;;;;;;;
7;11;120;23;18;66;141;2008;;;;;;;;;;;;;
5;15;165;22;20;70;177;2009;;;;;;;;;;;;;
6;21;149;25;19;78;127;2010;;;;;;;;;;;;;
4;8;96;21;18;79;84;2011;;;;;;;;;;;;;
4;11;190;25;28;97;102;2012;;;;;;;;;;;;;
4;9;119;24;24;78;117;2013;;;;;;;;;;;;;
4;12;155;25;21;79;133;2014;;;;;;;;;;;;;
3;6;159;25;27;84;100;2015;;;;;;;;;;;;;
4;2;130;22;23;75;90;2016;;;;;;;;;;;;;
3;14;178;18;21;89;122;2017;;;;;;;;;;;;;
3;14 256;188 872;52 843;311 872;330 995;228 528;2018;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
