Year;ESSENCE S PLB_(millimes/litre);Essence Super(mil/litre);Gasoil ordinaire (mil/litre);Gasoil 50 (mil/litre);Pétrole lampant domestique( mil/litre);GPL Domestique (DT/bouteille (13 kg));;;;;;;;;;
1990;;480,05;283,50;;155,03;3,20;;;;;;;;;;
1991;;526,16;308,08;;178,08;3,47;;;;;;;;;;
1992;;530,00;310,00;;180,00;3,62;;;;;;;;;;
1993;620,00;539,21;310,00;;180,00;3,80;;;;;;;;;;
1994;620,00;570,00;310,00;;180,00;3,80;;;;;;;;;;
1995;620,00;570,00;310,00;;180,00;3,80;;;;;;;;;;
1996;620,00;570,00;310,00;;180,00;3,97;;;;;;;;;;
1997;620,00;583,89;319,26;;191,58;4,17;;;;;;;;;;
1998;643,01;636,16;347,75;;214,86;4,32;;;;;;;;;;
1999;665,44;665,44;369,53;;233,92;4,46;;;;;;;;;;
2000;693,33;693,33;398,33;;240,00;4,62;;;;;;;;;;
2001;693,33;693,33;398,33;;240,00;4,80;;;;;;;;;;
2002;716,58;716,58;415,00;;240,00;4,80;;;;;;;;;;
2003;762,36;762,36;429,90;;254,90;4,95;;;;;;;;;;
2004;802,05;802,05;456,37;;274,86;5,26;;;;;;;;;;
2005;895,78;895,78;536,37;;338,14;5,74;;;;;;;;;;
2006;1057,40;1057,40;697,40;;497,40;6,43;;;;;;;;;;
2007;1141,78;1141,78;781,78;922,57;581,78;6,77;;;;;;;;;;
2008;1279,40;1279,40;918,41;1085,21;717,86;7,33;;;;;;;;;;
2009;1272,05;1272,05;912,05;1102,05;712,05;7,31;;;;;;;;;;
2010;1315,75;;955,75;1145,75;755,75;7,48;;;;;;;;;;
2011;1370,00;  ;1010,00;1200,00;810,00;7,41;;;;;;;;;;
2012;1406,90;  ;1039,29;1236,44;812,22;7,42;;;;;;;;;;
2013;1552,74;  ;1156,19;1382,74;810,00;7,40;;;;;;;;;;
2014;1620,41;  ;1210,33;1450,41;810,00;7,40;;;;;;;;;;
2015;1670,00;  ;1250,00;1500,00;810,00;7,40;;;;;;;;;;
2016;1650,27;;1172,98;1436,83;810,00;7,40;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
