Year;Maamoura (kt);Barka & Ghrib( kt);Total(kt);;
1990;0,00;0,00;0,000;;
1991;0,00;0,00;0,000;;
1992;0,00;0,00;0,000;;
1993;0,00;0,00;0,000;;
1994;0,00;0,00;0,000;;
1995;0,00;0,00;0,000;;
1996;0,00;0,00;0,000;;
1997;0,00;0,00;0,000;;
1998;0,00;0,00;0,000;;
1999;0,00;0,00;0,000;;
2000;0,00;0,00;0,000;;
2001;0,00;0,00;0,000;;
2002;0,00;0,00;0,000;;
2003;0,00;0,00;0,000;;
2004;0,00;0,00;0,000;;
2005;0,00;0,00;0,000;;
2006;0,00;0,00;0,000;;
2007;0,00;0,00;0,000;;
2008;0,00;0,00;0,000;;
2009;0,00;0,00;0,000;;
2010;0,29;1,68;1,968;;
2011;5,19;5,62;10,805;;
2012;3,81;3,10;6,909;;
2013;3,57;2,56;6,131;;
2014;3,96;5,83;9,785;;
2015;6,70;1,89;8,590;;
2016;3,77;2,22;5,983;;
2017;5,247;1,938;7,185;;
2018;2,873;5,453;8,326;;
2019;1,454;4,881;6,335;;
