Date;Didon;El Bibane;Robbana;Ezzaouia;Mozrane;Total
1990;0,0;;;0,0;;0,0
1991;0,0;;;1061,7;;1061,7
1992;0,0;;;660,1;;660,1
1993;0,0;;;334,0;;334,0
1994;0,0;;;226,7;;226,7
1995;0,0;;;206,1;;206,1
1996;0,0;;;225,8;;225,8
1997;0,0;;;190,8;;190,8
1998;102,4;;;143,4;;245,8
1999;210,4;;;118,8;;329,2
2000;285,7;;;107,5;;393,2
2001;267,5;;;79,4;;346,9
2002;357,3;;;64,9;;422,2
2003;244,3;;;54,9;;299,2
2004;294,0;;;64,0;;358,0
2005;213,0;;;69,4;;282,4
2006;233,5;0,0;2,3;49,1;0,0;284,9
2007;707,0;0,0;1,4;57,0;5,0;770,4
2008;501,0;43,0;2,3;55,8;4,1;606,2
2009;416,8;30,5;0,3;55,1;5,2;507,9
2010;211,10;2,20;0,00;27,90;3,90;245,1
2011;137,20;4,90;0,80;28,50;3,00;174,4
2012;99,30;6,40;0,90;25,40;2,40;134,4
2013;46,10;10,50;1,30;20,80;2,40;81,1
2014;62,90;9,90;1,30;27,80;2,40;104,3
2015;41,60;8,00;1,20;21,80;1,70;74,3
2016;31,00;4,70;1,10;22,00;0,10;58,9
2017;24,80;2,90;1,10;12,90;0,00;41,7
2018;0,00;4,06;1,06;30,02;2,68;37,8
2019;0,00;3,33;1,03;24,73;6,39;35,5
