Date;Barka;Maamoura;Béni khalled;Oudna;Total;;
1990;;;;0,0;0,00;;
1991;;;;0,0;0,00;;
1992;;;;0,0;0,00;;
1993;;;;0,0;0,00;;
1994;;;;0,0;0,00;;
1995;;;;0,0;0,00;;
1996;;;;0,0;0,00;;
1997;;;;0,0;0,00;;
1998;;;;0,0;0,00;;
1999;;;;0,0;0,00;;
2000;;;;0,0;0,00;;
2001;;;;0,0;0,00;;
2002;;;;0,0;0,00;;
2003;;;;0,0;0,00;;
2004;;;;0,0;0,00;;
2005;;;;0,0;0,00;;
2006;0,00;0,00;15,20;93,60;108,80;;
2007;0,00;0,00;8,70;708,04;716,74;;
2008;0,00;0,00;5,20;191,80;197,00;;
2009;1,70;1,70;4,60;161,87;169,87;;
2010;152,70;113,50;2,60;122,86;391,66;;
2011;128,90;79,50;2,00;88,21;298,61;;
2012;63,10;56,70;2,30;13,42;135,52;;
2013;66,80;46,30;1,90;0,00;115,00;;
2014;57,10;37,50;1,70;0,00;96,30;;
2015;83,20;45,40;1,30;0,00;129,90;;
2016;66,30;36,60;1,60;0,00;104,50;;
2017;27,3;59,2;1,2;0,00;87,70;;
2018;2,955;27,393;1,003;0,00;31,35;;
2019;3,863;21,161;0,875;0,00;25,90;;
